type,number_of_arrays,array_size,time
1,1024,4,1.43575e-05
0,1024,4,0.000419752
1,1024,8,1.51779e-05
0,1024,8,0.00257861
1,1024,12,2.49205e-05
0,1024,12,0.00338294
1,1024,16,2.47154e-05
0,1024,16,0.0184475
1,1024,20,2.78946e-05
0,1024,20,0.010481
1,1024,24,3.90729e-05
0,1024,24,0.0228651
1,1024,28,4.05087e-05
0,1024,28,0.028963
1,1024,32,3.22018e-05
0,1024,32,0.141561
1,1024,36,4.75849e-05
0,1024,36,0.0910292
1,1024,40,5.0764e-05
0,1024,40,0.131831
1,1024,44,4.80976e-05
0,1024,44,0.144301
1,1024,48,5.32253e-05
0,1024,48,0.244552
1,1024,52,5.28151e-05
0,1024,52,0.211135
1,1024,56,5.25074e-05
0,1024,56,0.267174
1,1024,60,7.54794e-05
0,1024,60,0.290065
1,1024,64,7.05569e-05
0,1024,64,1.00601
1,1024,68,7.15824e-05
0,1024,68,0.82097
1,1024,72,8.28633e-05
0,1024,72,0.899056
1,1024,76,7.62999e-05
0,1024,76,0.934785
1,1024,80,7.64024e-05
0,1024,80,1.65058
1,1024,84,8.67603e-05
0,1024,84,1.03422
1,1024,88,9.19906e-05
0,1024,88,1.14632
1,1024,92,8.39914e-05
0,1024,92,1.19373
1,1024,96,0.000108912
0,1024,96,2.69924
1,1024,100,0.000107374
0,1024,100,1.75912
1,1024,104,0.000109117
0,1024,104,1.88222
1,1024,108,0.000119065
0,1024,108,1.95083
1,1024,112,0.000119372
0,1024,112,2.66163
1,1024,116,0.000121526
0,1024,116,2.47583
1,1024,120,0.000131371
0,1024,120,1.89178e+12
1,1024,124,0.000130551
0,1024,124,2.64217
1,1024,128,0.000131986
0,1024,128,4.53463
1,1024,132,0.000140806
0,1024,132,3.2772
1,1024,136,0.00013937
0,1024,136,3.50915
1,1024,140,0.000143267
0,1024,140,3.49701
1,1024,144,0.00015219
0,1024,144,4.4735
1,1024,148,0.000155266
0,1024,148,4.17173
1,1024,152,0.000152805
0,1024,152,4.44262
1,1024,156,0.000160599
0,1024,156,4.9932
1,1024,160,0.000164393
0,1024,160,8.61903
1,1024,164,0.000165521
0,1024,164,5.13075
1,1024,168,0.00017752
0,1024,168,5.85739
1,1024,172,0.000176187
0,1024,172,5.30843
1,1024,176,0.000191262
0,1024,176,6.97085
1,1024,180,0.000184596
0,1024,180,6.16841
1,1024,184,0.00017711
0,1024,184,1.89178e+12
1,1024,188,0.000201723
0,1024,188,6.84247
1,1024,192,0.000208594
0,1024,192,11.4191
1,1024,196,0.000198339
0,1024,196,7.60462
1,1024,200,0.000212081
0,1024,200,7.90762
1,1024,204,0.000209825
0,1024,204,7.81492
1,1024,208,0.000206133
0,1024,208,10.2021
1,1024,212,0.000219875
0,1024,212,8.76316
1,1024,216,0.00021926
0,1024,216,9.53342
1,1024,220,0.000218849
0,1024,220,9.45539
1,1024,224,0.000233515
0,1024,224,14.7487
1,1024,228,0.000224285
0,1024,228,9.67531
1,1024,232,0.000233515
0,1024,232,11.1829
1,1024,236,0.000245001
0,1024,236,1.89178e+12
1,1024,240,0.000246744
0,1024,240,14.6821
1,1024,244,0.000246436
0,1024,244,11.3812
1,1024,248,0.000249923
0,1024,248,12.2014
1,1024,252,0.00025782
0,1024,252,12.2018
1,1024,256,0.000261512
0,1024,256,19.2624
1,1024,260,0.000269716
0,1024,260,13.0063
1,1024,264,0.000282638
0,1024,264,13.9201
1,1024,268,0.000268588
0,1024,268,13.9446
1,1024,272,0.000280997
0,1024,272,18.2048
1,1024,276,0.000282022
0,1024,276,14.8554
1,1024,280,0.000279971
0,1024,280,16.2668
1,1024,284,0.00030202
0,1024,284,15.7531
1,1024,288,0.00029238
0,1024,288,25.3513
1,1024,292,0.000294124
0,1024,292,16.5227
1,1024,296,0.000305917
0,1024,296,18.318
1,1024,300,0.000309712
0,1024,300,17.4636
1,1024,304,0.000306328
0,1024,304,21.7146
1,1024,308,0.000315865
0,1024,308,1.89178e+12
1,1024,312,0.000311353
0,1024,312,20.9848
1,1024,316,0.000318326
0,1024,316,19.9948
1,1024,320,0.000329094
0,1024,320,35.0316
1,1024,324,0.000329505
0,1024,324,21.5953
1,1024,328,0.00033412
0,1024,328,22.6922
1,1024,332,0.000343144
0,1024,332,21.704
1,1024,336,0.000343862
0,1024,336,27.7899
1,1024,340,0.000350528
0,1024,340,22.6254
1,1024,344,0.000352169
0,1024,344,24.3192
1,1024,348,0.000350426
0,1024,348,1.89178e+12
1,1024,352,0.000373192
0,1024,352,36.8138
1,1024,356,0.000366629
0,1024,356,25.1171
1,1024,360,0.000370526
0,1024,360,27.1605
1,1024,364,0.000376577
0,1024,364,27.0884
1,1024,368,0.000377192
0,1024,368,32.5221
1,1024,372,0.000381294
0,1024,372,27.693
1,1024,376,0.126972
0,1024,376,29.65
1,1024,380,0.129801
0,1024,380,29.5735
1,1024,384,0.13211
0,1024,384,46.6508
1,1024,388,1.70898
0,1024,388,30.71
1,1024,392,1.73019
0,1024,392,32.3862
1,1024,396,1.74356
0,1024,396,31.6726
1,1024,400,1.76123
0,1024,400,40.1444
1,1024,404,1.78332
0,1024,404,33.2361
1,1024,408,1.79737
0,1024,408,34.8574
1,1024,412,1.82029
0,1024,412,33.8854
1,1024,416,1.86764
0,1024,416,1.89178e+12
1,1024,420,1.85602
0,1024,420,35.0535
1,1024,424,2.32098
0,1024,424,38.7043
1,1024,428,1.88614
0,1024,428,37.0373
1,1024,432,1.91365
0,1024,432,44.895
1,1024,436,2.37779
0,1024,436,38.7134
1,1024,440,1.94517
0,1024,440,41.1959
1,1024,444,2.40573
0,1024,444,39.3521
1,1024,448,2.09212
0,1024,448,59.8173
1,1024,452,2.00646
0,1024,452,41.0605
1,1024,456,2.02326
0,1024,456,43.7696
1,1024,460,2.03936
0,1024,460,42.8206
1,1024,464,2.11049
0,1024,464,52.4434
1,1024,468,2.07893
0,1024,468,44.4958
1,1024,472,2.54615
0,1024,472,47.5106
1,1024,476,2.56522
0,1024,476,46.4094
1,1024,480,3.24733
0,1024,480,78.3164
1,1024,484,2.60657
0,1024,484,49.9332
1,1024,488,2.65613
0,1024,488,50.7615
1,1024,492,2.67604
0,1024,492,1.89178e+12
1,1024,496,2.75152
0,1024,496,58.0064
1,1024,500,2.6989
0,1024,500,50.1003
1,1024,504,2.73948
0,1024,504,53.4572
1,1024,508,2.7583
0,1024,508,50.8985
1,1024,512,3.51934
0,1024,512,77.7599
1,1024,516,3.25895
0,1024,516,1.89178e+12
1,1024,520,2.8144
0,1024,520,56.95
1,1024,524,2.84927
0,1024,524,54.7395
1,1024,528,3.00874
0,1024,528,65.7747
1,1024,532,2.89373
0,1024,532,57.2343
1,1024,536,3.41283
0,1024,536,60.8284
1,1024,540,2.964
0,1024,540,59.7537
1,1024,544,3.80864
0,1024,544,1.89178e+12
1,1024,548,2.99841
0,1024,548,64.181
1,1024,552,3.50937
0,1024,552,65.2503
1,1024,556,3.50115
0,1024,556,62.4658
1,1024,560,3.65308
0,1024,560,78.2475
1,1024,564,3.55756
0,1024,564,64.7859
1,1024,568,3.15972
0,1024,568,1.89178e+12
1,1024,572,3.59897
0,1024,572,65.9552
1,1024,576,4.64407
0,1024,576,1.89178e+12
1,1024,580,3.20316
0,1024,580,68.4894
1,1024,584,3.70174
0,1024,584,71.4716
1,1024,588,3.68149
0,1024,588,69.8367
1,1024,592,4.38455
0,1024,592,1.89178e+12
1,1024,596,3.7339
0,1024,596,71.7965
1,1024,600,3.81717
0,1024,600,76.0585
1,1024,604,3.78636
0,1024,604,73.3735
1,1024,608,5.45925
0,1024,608,110.419
1,1024,612,4.29304
0,1024,612,75.9526
1,1024,616,4.38024
0,1024,616,82.0859
1,1024,620,4.36075
0,1024,620,1.89178e+12
1,1024,624,4.61822
0,1024,624,94.56
1,1024,628,4.41205
0,1024,628,80.5395
1,1024,632,4.5646
0,1024,632,1.89178e+12
1,1024,636,4.46566
0,1024,636,84.7983
1,1024,640,6.27402
0,1024,640,1.89178e+12
1,1024,644,4.52153
0,1024,644,87.4876
1,1024,648,4.68786
0,1024,648,90.7558
1,1024,652,5.01195
0,1024,652,86.5985
1,1024,656,5.89037
0,1024,656,1.89178e+12
1,1024,660,5.07629
0,1024,660,88.3209
1,1024,664,5.69056
0,1024,664,94.4587
1,1024,668,5.12329
0,1024,668,90.9022
1,1024,672,7.59402
0,1024,672,1.89178e+12
1,1024,676,5.19484
0,1024,676,92.767
1,1024,680,5.37352
0,1024,680,97.2294
1,1024,684,5.72962
0,1024,684,94.3818
1,1024,688,6.14568
0,1024,688,113.861
1,1024,692,5.78813
0,1024,692,99.5336
1,1024,696,5.95405
0,1024,696,103.289
1,1024,700,5.40767
0,1024,700,99.8255
1,1024,704,1.89178e+12
0,1024,704,147.977
1,1024,708,10.8602
0,1024,708,101.583
1,1024,712,11.2046
0,1024,712,107.452
1,1024,716,10.9603
0,1024,716,103.451
1,1024,720,13.0356
0,1024,720,1.89178e+12
1,1024,724,1.89178e+12
0,1024,724,1.89178e+12
1,1024,728,11.4732
0,1024,728,114.015
1,1024,732,11.2077
0,1024,732,112.941
1,1024,736,17.1796
0,1024,736,161.578
1,1024,740,11.7464
0,1024,740,111.349
1,1024,744,12.629
0,1024,744,1.89178e+12
1,1024,748,11.8992
0,1024,748,115.466
1,1024,752,15.2839
0,1024,752,1.89178e+12
1,1024,756,13.4226
0,1024,756,118.074
1,1024,760,14.2759
0,1024,760,125.222
1,1024,764,1.89178e+12
0,1024,764,120.107
1,1024,768,19.6788
0,1024,768,187.11
1,1024,772,13.6717
0,1024,772,1.89178e+12
1,1024,776,20.5953
0,1024,776,134.823
1,1024,780,19.8754
0,1024,780,1.89178e+12
1,1024,784,22.3311
0,1024,784,1.89178e+12
1,1024,788,20.5453
0,1024,788,127.669
1,1024,792,21.417
0,1024,792,1.89178e+12
1,1024,796,20.7856
0,1024,796,129.712
1,1024,800,26.8942
0,1024,800,210.79
1,1024,804,21.4576
0,1024,804,1.89178e+12
1,1024,808,22.345
0,1024,808,1.89178e+12
1,1024,812,21.6164
0,1024,812,134.729
1,1024,816,24.1152
0,1024,816,163.235
1,1024,820,22.2462
0,1024,820,135.839
1,1024,824,23.2059
0,1024,824,145.385
1,1024,828,22.5423
0,1024,828,139.343
1,1024,832,29.2867
0,1024,832,1.89178e+12
1,1024,836,23.1493
0,1024,836,1.89178e+12
1,1024,840,24.1339
0,1024,840,1.89178e+12
1,1024,844,23.3551
0,1024,844,145.372
1,1024,848,26.4902
0,1024,848,175.654
1,1024,852,24.0907
0,1024,852,152.519
1,1024,856,25.0637
0,1024,856,1.89178e+12
1,1024,860,24.2452
0,1024,860,1.89178e+12
1,1024,864,31.2464
0,1024,864,1.89178e+12
1,1024,868,24.975
0,1024,868,155.259
1,1024,872,1.89178e+12
0,1024,872,165.962
1,1024,876,25.1698
0,1024,876,1.89178e+12
1,1024,880,27.7629
0,1024,880,1.89178e+12
1,1024,884,25.8582
0,1024,884,159.514
1,1024,888,26.7883
0,1024,888,168.209
1,1024,892,26.4836
0,1024,892,1.89178e+12
1,1024,896,33.7396
0,1024,896,239.71
1,1024,900,26.7184
0,1024,900,1.89178e+12
1,1024,904,27.5612
0,1024,904,1.89178e+12
1,1024,908,26.9574
0,1024,908,170.05
1,1024,912,29.6668
0,1024,912,201.684
1,1024,916,27.6803
0,1024,916,1.89178e+12
1,1024,920,28.4751
0,1024,920,1.89178e+12
1,1024,924,28.3919
0,1024,924,177.177
1,1024,928,35.7953
0,1024,928,257.216
1,1024,932,28.5925
0,1024,932,181.652
1,1024,936,29.4827
0,1024,936,186.783
1,1024,940,29.3155
0,1024,940,182.394
1,1024,944,32.054
0,1024,944,214.916
1,1024,948,29.5007
0,1024,948,187.852
1,1024,952,30.3986
0,1024,952,1.89178e+12
1,1024,956,30.201
0,1024,956,1.89178e+12
1,1024,960,38.3229
0,1024,960,1.89178e+12
1,1024,964,30.4847
0,1024,964,192.875
1,1024,968,31.3409
0,1024,968,1.89178e+12
1,1024,972,31.1629
0,1024,972,1.89178e+12
1,1024,976,34.6527
0,1024,976,226.53
1,1024,980,31.8735
0,1024,980,1.89178e+12
1,1024,984,32.7897
0,1024,984,208.74
1,1024,988,32.1554
0,1024,988,1.89178e+12
1,1024,992,40.9745
0,1024,992,293.678
1,1024,996,32.8539
0,1024,996,203.386
1,1024,1000,33.6994
0,1024,1000,1.89178e+12
