type,number_of_arrays,array_size,time
1,4,4,7.0762e-06
0,4,4,0.000162035
1,4,8,7.0762e-06
0,4,8,0.000484873
1,4,12,7.0762e-06
0,4,12,0.00100072
1,4,16,7.0762e-06
0,4,16,0.0017629
1,4,20,7.0762e-06
0,4,20,0.00261235
1,4,24,7.0762e-06
0,4,24,0.0037067
1,4,28,7.0762e-06
0,4,28,0.00499559
1,4,32,7.0762e-06
0,4,32,0.00694975
1,4,36,7.0762e-06
0,4,36,0.00815414
1,4,40,7.0762e-06
0,4,40,0.0100232
1,4,44,7.0762e-06
0,4,44,0.0121031
1,4,48,7.0762e-06
0,4,48,0.0148998
1,4,52,7.0762e-06
0,4,52,0.0168917
1,4,56,7.0762e-06
0,4,56,0.0195118
1,4,60,7.0762e-06
0,4,60,0.0223027
1,4,64,7.0762e-06
0,4,64,0.027172
1,4,68,7.0762e-06
0,4,68,0.0286138
1,4,72,7.0762e-06
0,4,72,0.0321504
1,4,76,7.0762e-06
0,4,76,0.035928
1,4,80,7.0762e-06
0,4,80,0.041292
1,4,84,7.0762e-06
0,4,84,0.0440326
1,4,88,7.0762e-06
0,4,88,0.0482856
1,4,92,7.0762e-06
0,4,92,0.0527498
1,4,96,7.0762e-06
0,4,96,0.0615646
1,4,100,7.0762e-06
0,4,100,0.0621007
1,4,104,7.0762e-06
0,4,104,0.0670081
1,4,108,7.0762e-06
0,4,108,0.0720673
1,4,112,7.0762e-06
0,4,112,0.0798724
1,4,116,7.0762e-06
0,4,116,0.0826109
1,4,120,7.0762e-06
0,4,120,0.088222
1,4,124,7.0762e-06
0,4,124,0.0939936
1,4,128,7.0762e-06
0,4,128,0.107523
1,4,132,7.0762e-06
0,4,132,0.106542
1,4,136,7.0762e-06
0,4,136,0.113332
1,4,140,7.0762e-06
0,4,140,0.120373
1,4,144,7.0762e-06
0,4,144,0.1321
1,4,148,7.0762e-06
0,4,148,0.135122
1,4,152,7.0762e-06
0,4,152,0.142813
1,4,156,7.0762e-06
0,4,156,0.150786
1,4,160,7.0762e-06
0,4,160,0.170523
1,4,164,7.0762e-06
0,4,164,0.166782
1,4,168,7.0762e-06
0,4,168,0.174746
1,4,172,7.0762e-06
0,4,172,0.182864
1,4,176,7.0762e-06
0,4,176,0.197662
1,4,180,7.0762e-06
0,4,180,0.199921
1,4,184,7.0762e-06
0,4,184,0.209021
1,4,188,7.0762e-06
0,4,188,0.218314
1,4,192,7.0762e-06
0,4,192,0.244526
1,4,196,7.0762e-06
0,4,196,0.23717
1,4,200,7.0762e-06
0,4,200,0.246651
1,4,204,7.0762e-06
0,4,204,0.256256
1,4,208,7.0762e-06
0,4,208,0.274941
1,4,212,7.0762e-06
0,4,212,0.275854
1,4,216,7.0762e-06
0,4,216,0.285826
1,4,220,7.0762e-06
0,4,220,0.295861
1,4,224,7.0762e-06
0,4,224,0.329828
1,4,228,7.0762e-06
0,4,228,0.317854
1,4,232,7.0762e-06
0,4,232,0.329765
1,4,236,7.0762e-06
0,4,236,0.34191
1,4,240,7.0762e-06
0,4,240,0.366314
1,4,244,7.0762e-06
0,4,244,0.365086
1,4,248,7.0762e-06
0,4,248,0.375827
1,4,252,7.0762e-06
0,4,252,0.386636
1,4,256,7.0762e-06
0,4,256,0.87221
1,4,260,7.0762e-06
0,4,260,0.860545
1,4,264,7.0762e-06
0,4,264,0.869437
1,4,268,7.0762e-06
0,4,268,0.882263
1,4,272,7.0762e-06
0,4,272,0.910762
1,4,276,7.0762e-06
0,4,276,0.914047
1,4,280,7.0762e-06
0,4,280,0.929051
1,4,284,7.0762e-06
0,4,284,0.94038
1,4,288,7.0762e-06
0,4,288,0.993167
1,4,292,7.0762e-06
0,4,292,0.967347
1,4,296,7.0762e-06
0,4,296,0.978128
1,4,300,7.0762e-06
0,4,300,0.99774
1,4,304,7.0762e-06
0,4,304,1.03051
1,4,308,7.0762e-06
0,4,308,1.02594
1,4,312,7.0762e-06
0,4,312,1.0437
1,4,316,7.0762e-06
0,4,316,1.06281
1,4,320,7.0762e-06
0,4,320,1.12519
1,4,324,7.0762e-06
0,4,324,1.09498
1,4,328,7.0762e-06
0,4,328,1.10856
1,4,332,7.0762e-06
0,4,332,1.12165
1,4,336,7.0762e-06
0,4,336,1.15937
1,4,340,7.0762e-06
0,4,340,1.1568
1,4,344,7.0762e-06
0,4,344,1.17107
1,4,348,7.0762e-06
0,4,348,1.18498
1,4,352,7.0762e-06
0,4,352,1.70417
1,4,356,7.0762e-06
0,4,356,1.6651
1,4,360,7.0762e-06
0,4,360,1.68269
1,4,364,7.0762e-06
0,4,364,1.70305
1,4,368,7.0762e-06
0,4,368,1.75067
1,4,372,7.0762e-06
0,4,372,1.7352
1,4,376,7.0762e-06
0,4,376,1.75703
1,4,380,7.0762e-06
0,4,380,1.78321
1,4,384,7.0762e-06
0,4,384,1.86622
1,4,388,7.0762e-06
0,4,388,1.81978
1,4,392,7.0762e-06
0,4,392,1.83128
1,4,396,7.0762e-06
0,4,396,1.86286
1,4,400,7.0762e-06
0,4,400,1.9072
1,4,404,7.0762e-06
0,4,404,1.89407
1,4,408,7.0762e-06
0,4,408,1.90938
1,4,412,7.0762e-06
0,4,412,1.93093
1,4,416,7.0762e-06
0,4,416,2.02596
1,4,420,7.0762e-06
0,4,420,1.97394
1,4,424,7.0762e-06
0,4,424,1.98019
1,4,428,7.0762e-06
0,4,428,2.01164
1,4,432,7.0762e-06
0,4,432,2.51871
1,4,436,7.0762e-06
0,4,436,2.49688
1,4,440,7.0762e-06
0,4,440,2.51312
1,4,444,7.0762e-06
0,4,444,2.54526
1,4,448,7.0762e-06
0,4,448,2.6481
1,4,452,7.0762e-06
0,4,452,2.59702
1,4,456,7.0762e-06
0,4,456,2.60559
1,4,460,7.0762e-06
0,4,460,2.64477
1,4,464,7.0762e-06
0,4,464,2.7043
1,4,468,7.0762e-06
0,4,468,2.68481
1,4,472,7.0762e-06
0,4,472,2.70453
1,4,476,7.0762e-06
0,4,476,2.74694
1,4,480,7.0762e-06
0,4,480,2.86545
1,4,484,7.0762e-06
0,4,484,2.7935
1,4,488,7.0762e-06
0,4,488,2.79689
1,4,492,7.0762e-06
0,4,492,2.81817
1,4,496,7.0762e-06
0,4,496,3.35324
1,4,500,7.0762e-06
0,4,500,3.31589
1,4,504,7.0762e-06
0,4,504,3.31534
1,4,508,7.0762e-06
0,4,508,3.33476
1,4,512,7.0762e-06
0,4,512,3.49071
1,4,516,7.0762e-06
0,4,516,3.41693
1,4,520,7.0762e-06
0,4,520,3.44156
1,4,524,7.0762e-06
0,4,524,3.45025
1,4,528,7.0762e-06
0,4,528,3.54219
1,4,532,7.0762e-06
0,4,532,3.5335
1,4,536,7.0762e-06
0,4,536,3.54341
1,4,540,7.0762e-06
0,4,540,3.58873
1,4,544,7.0762e-06
0,4,544,4.20108
1,4,548,7.0762e-06
0,4,548,3.6416
1,4,552,7.0762e-06
0,4,552,3.64349
1,4,556,7.0762e-06
0,4,556,4.11084
1,4,560,7.0762e-06
0,4,560,4.21295
1,4,564,7.0762e-06
0,4,564,4.20075
1,4,568,7.0762e-06
0,4,568,4.18484
1,4,572,7.0762e-06
0,4,572,4.24379
1,4,576,7.0762e-06
0,4,576,4.37837
1,4,580,7.0762e-06
0,4,580,4.31373
1,4,584,7.0762e-06
0,4,584,4.32244
1,4,588,7.0762e-06
0,4,588,4.32846
1,4,592,7.0762e-06
0,4,592,4.41753
1,4,596,7.0762e-06
0,4,596,4.38622
1,4,600,7.0762e-06
0,4,600,4.41474
1,4,604,7.0762e-06
0,4,604,4.44157
1,4,608,7.0762e-06
0,4,608,5.06695
1,4,612,7.0762e-06
0,4,612,4.95942
1,4,616,7.0762e-06
0,4,616,4.97572
1,4,620,7.0762e-06
0,4,620,5.02943
1,4,624,7.0762e-06
0,4,624,5.11533
1,4,628,7.0762e-06
0,4,628,5.09783
1,4,632,7.0762e-06
0,4,632,5.1126
1,4,636,7.0762e-06
0,4,636,5.17612
1,4,640,7.0762e-06
0,4,640,5.8097
1,4,644,7.0762e-06
0,4,644,5.23678
1,4,648,7.0762e-06
0,4,648,5.21794
1,4,652,7.0762e-06
0,4,652,5.2902
1,4,656,7.0762e-06
0,4,656,5.84006
1,4,660,7.0762e-06
0,4,660,5.82179
1,4,664,7.0762e-06
0,4,664,5.80253
1,4,668,7.0762e-06
0,4,668,5.87037
1,4,672,7.0762e-06
0,4,672,6.08349
1,4,676,7.0762e-06
0,4,676,5.91156
1,4,680,7.0762e-06
0,4,680,5.93219
1,4,684,7.0762e-06
0,4,684,5.99725
1,4,688,7.0762e-06
0,4,688,6.10135
1,4,692,7.0762e-06
0,4,692,6.04547
1,4,696,7.0762e-06
0,4,696,6.07301
1,4,700,7.0762e-06
0,4,700,6.12127
1,4,704,7.0762e-06
0,4,704,6.80873
1,4,708,7.0762e-06
0,4,708,6.65756
1,4,712,7.0762e-06
0,4,712,6.65666
1,4,716,7.0762e-06
0,4,716,6.71723
1,4,720,7.0762e-06
0,4,720,6.84384
1,4,724,7.0762e-06
0,4,724,6.79163
1,4,728,7.0762e-06
0,4,728,6.80776
1,4,732,7.0762e-06
0,4,732,6.87157
1,4,736,7.0762e-06
0,4,736,7.581
1,4,740,7.0762e-06
0,4,740,6.93476
1,4,744,7.0762e-06
0,4,744,7.3771
1,4,748,7.0762e-06
0,4,748,7.48444
1,4,752,7.0762e-06
0,4,752,7.55916
1,4,756,7.0762e-06
0,4,756,7.56087
1,4,760,7.0762e-06
0,4,760,7.5541
1,4,764,7.0762e-06
0,4,764,7.62449
1,4,768,7.0762e-06
0,4,768,8.36896
1,4,772,7.0762e-06
0,4,772,7.72574
1,4,776,7.0762e-06
0,4,776,7.71334
1,4,780,7.0762e-06
0,4,780,8.22115
1,4,784,7.0762e-06
0,4,784,8.33998
1,4,788,7.0762e-06
0,4,788,8.34544
1,4,792,7.0762e-06
0,4,792,8.32579
1,4,796,7.0762e-06
0,4,796,8.39497
1,4,800,7.0762e-06
0,4,800,9.15606
1,4,804,7.0762e-06
0,4,804,8.48331
1,4,808,7.0762e-06
0,4,808,8.43655
1,4,812,7.0762e-06
