type,number_of_arrays,array_size,time
1,4,512,7.0762e-06
0,4,512,3.45174
1,8,512,7.0762e-06
0,8,512,4.16479
1,12,512,7.0762e-06
0,12,512,4.93341
1,16,512,7.0762e-06
0,16,512,5.23964
1,20,512,7.0762e-06
0,20,512,6.00532
1,24,512,0.231068
0,24,512,6.72761
1,28,512,2.85671
0,28,512,7.51621
1,32,512,3.49499
0,32,512,8.22113
1,36,512,3.49443
0,36,512,8.225
1,40,512,3.48607
0,40,512,7.79477
1,44,512,3.49407
0,44,512,8.1923
1,48,512,3.49298
0,48,512,8.2315
1,52,512,3.49409
0,52,512,8.25191
1,56,512,3.48636
0,56,512,8.58962
1,60,512,3.50194
0,60,512,1.89178e+12
1,64,512,3.48612
0,64,512,9.28099
1,68,512,3.49494
0,68,512,9.3049
1,72,512,3.49971
0,72,512,9.31369
1,76,512,3.50678
0,76,512,9.29526
1,80,512,3.49711
0,80,512,9.39524
1,84,512,3.50725
0,84,512,9.40683
1,88,512,3.49133
0,88,512,9.40493
1,92,512,3.49194
0,92,512,9.40421
1,96,512,3.49533
0,96,512,9.94719
1,100,512,3.49254
0,100,512,9.98714
1,104,512,3.49438
0,104,512,10.0359
1,108,512,3.48219
0,108,512,10.0404
1,112,512,3.50481
0,112,512,10.1061
1,116,512,3.50838
0,116,512,10.1142
1,120,512,3.50399
0,120,512,10.2091
1,124,512,3.51539
0,124,512,10.2834
1,128,512,3.49214
0,128,512,10.3335
1,132,512,3.49511
0,132,512,10.9211
1,136,512,3.49994
0,136,512,10.9929
1,140,512,3.49319
0,140,512,11.1105
1,144,512,3.50306
0,144,512,11.2018
1,148,512,3.50308
0,148,512,11.7401
1,152,512,3.50847
0,152,512,11.8195
1,156,512,3.50524
0,156,512,11.928
1,160,512,3.50157
0,160,512,12.0567
1,164,512,3.50682
0,164,512,12.6621
1,168,512,3.50839
0,168,512,12.7916
1,172,512,3.50365
0,172,512,12.9321
1,176,512,3.49679
0,176,512,13.5213
1,180,512,3.49098
0,180,512,13.6629
1,184,512,3.5047
0,184,512,13.7885
1,188,512,3.50667
0,188,512,14.3613
1,192,512,3.50463
0,192,512,14.4829
1,196,512,3.4983
0,196,512,14.6519
1,200,512,3.50721
0,200,512,15.3095
1,204,512,3.49178
0,204,512,15.4356
