type,number_of_arrays,array_size,time
1,4,4,7.0762e-06
0,4,4,0.000161727
1,8,4,7.0762e-06
0,8,4,0.000161727
1,12,4,7.0762e-06
0,12,4,0.000166239
1,16,4,7.0762e-06
0,16,4,0.000165316
1,20,4,7.0762e-06
0,20,4,0.000170342
1,24,4,7.0762e-06
0,24,4,0.000170034
1,28,4,7.0762e-06
0,28,4,0.000174444
1,32,4,7.0762e-06
0,32,4,0.000174649
1,36,4,7.0762e-06
0,36,4,0.000168701
1,40,4,7.0762e-06
0,40,4,0.000169008
1,44,4,7.0762e-06
0,44,4,0.000169008
1,48,4,7.0762e-06
0,48,4,0.000169521
1,52,4,7.0762e-06
0,52,4,0.000168598
1,56,4,7.0762e-06
0,56,4,0.000168598
1,60,4,7.0762e-06
0,60,4,0.000169008
1,64,4,7.0762e-06
0,64,4,0.000168803
1,68,4,7.0762e-06
0,68,4,0.000168188
1,72,4,7.0762e-06
0,72,4,0.000170752
1,76,4,7.0762e-06
0,76,4,0.000168188
1,80,4,7.0762e-06
0,80,4,0.000169008
1,84,4,7.0762e-06
0,84,4,0.000170547
1,88,4,7.0762e-06
0,88,4,0.000168598
1,92,4,7.0762e-06
0,92,4,0.000169829
1,96,4,7.0762e-06
0,96,4,0.000168803
1,100,4,7.0762e-06
0,100,4,0.000169008
1,104,4,7.0762e-06
0,104,4,0.000169008
1,108,4,7.0762e-06
0,108,4,0.000169008
1,112,4,7.0762e-06
0,112,4,0.000167983
1,116,4,7.0762e-06
0,116,4,0.000170649
1,120,4,7.0762e-06
0,120,4,0.000169829
1,124,4,7.0762e-06
0,124,4,0.000168598
1,128,4,7.0762e-06
0,128,4,0.000169726
1,132,4,7.38386e-06
0,132,4,0.000175982
1,136,4,7.38386e-06
0,136,4,0.000174751
1,140,4,7.38386e-06
0,140,4,0.000175777
1,144,4,7.38386e-06
0,144,4,0.00017311
1,148,4,7.38386e-06
0,148,4,0.00017752
1,152,4,7.38386e-06
0,152,4,0.000175879
1,156,4,7.38386e-06
0,156,4,0.000176085
1,160,4,7.38386e-06
0,160,4,0.000173418
1,164,4,7.38386e-06
0,164,4,0.000172495
1,168,4,7.38386e-06
0,168,4,0.000175162
1,172,4,7.38386e-06
0,172,4,0.000176187
1,176,4,7.38386e-06
0,176,4,0.000174649
1,180,4,7.38386e-06
0,180,4,0.000173931
1,184,4,7.38386e-06
0,184,4,0.000175777
1,188,4,7.38386e-06
0,188,4,0.000174854
1,192,4,7.38386e-06
0,192,4,0.000174649
1,196,4,7.2813e-06
0,196,4,0.000174956
1,200,4,7.2813e-06
0,200,4,0.000176085
1,204,4,7.2813e-06
0,204,4,0.000175572
1,208,4,7.2813e-06
0,208,4,0.0001767
1,212,4,7.2813e-06
0,212,4,0.000176802
1,216,4,7.2813e-06
0,216,4,0.000174956
1,220,4,7.2813e-06
0,220,4,0.000174546
1,224,4,7.2813e-06
0,224,4,0.000176187
1,228,4,7.38386e-06
0,228,4,0.000225926
1,232,4,7.38386e-06
0,232,4,0.000209414
1,236,4,7.38386e-06
0,236,4,0.000229002
1,240,4,7.38386e-06
0,240,4,0.000232386
1,244,4,7.38386e-06
0,244,4,0.000221106
1,248,4,7.38386e-06
0,248,4,0.000233002
1,252,4,7.38386e-06
0,252,4,0.000232694
1,256,4,7.38386e-06
0,256,4,0.00023536
1,260,4,7.38386e-06
0,260,4,0.000182443
1,264,4,7.38386e-06
0,264,4,0.000183468
1,268,4,7.38386e-06
0,268,4,0.000184289
1,272,4,7.38386e-06
0,272,4,0.000183776
1,276,4,7.38386e-06
0,276,4,0.000182033
1,280,4,7.38386e-06
0,280,4,0.000183879
1,284,4,7.38386e-06
0,284,4,0.00018593
1,288,4,7.38386e-06
0,288,4,0.000182545
1,292,4,7.58897e-06
0,292,4,0.000184699
1,296,4,7.58897e-06
0,296,4,0.00018593
1,300,4,7.58897e-06
0,300,4,0.000184904
1,304,4,7.58897e-06
0,304,4,0.000183161
1,308,4,7.58897e-06
0,308,4,0.000185007
1,312,4,7.58897e-06
0,312,4,0.00018716
1,316,4,7.58897e-06
0,316,4,0.000186237
1,320,4,7.58897e-06
0,320,4,0.00018675
1,324,4,7.58897e-06
0,324,4,0.000190647
1,328,4,7.58897e-06
0,328,4,0.000189929
1,332,4,7.58897e-06
0,332,4,0.000190955
1,336,4,7.58897e-06
0,336,4,0.000191057
1,340,4,7.58897e-06
0,340,4,0.000189622
1,344,4,7.58897e-06
