type,number_of_arrays,array_size,time
1,512,4,8.40939e-06
0,512,4,0.000243975
1,512,8,8.6145e-06
0,512,8,0.00137883
1,512,12,8.6145e-06
0,512,12,0.00173162
1,512,16,8.6145e-06
0,512,16,0.00931443
1,512,20,8.6145e-06
0,512,20,0.00528694
1,512,24,1.64086e-05
0,512,24,0.0115476
1,512,28,1.61009e-05
0,512,28,0.0132213
1,512,32,1.67162e-05
0,512,32,0.0705981
1,512,36,1.6306e-05
0,512,36,0.0254804
1,512,40,1.68188e-05
0,512,40,0.0358463
1,512,44,1.57933e-05
0,512,44,0.0389436
1,512,48,2.51256e-05
0,512,48,0.0843367
1,512,52,2.37924e-05
0,512,52,0.0573666
1,512,56,2.43052e-05
0,512,56,0.0705307
1,512,60,2.42026e-05
0,512,60,0.0810531
1,512,64,2.53307e-05
0,512,64,0.284007
1,512,68,2.50231e-05
0,512,68,0.115759
1,512,72,3.34325e-05
0,512,72,0.141806
1,512,76,3.27146e-05
0,512,76,0.152477
1,512,80,3.42529e-05
0,512,80,0.293352
1,512,84,3.40478e-05
0,512,84,0.186887
1,512,88,3.42529e-05
0,512,88,0.243516
1,512,92,3.39452e-05
0,512,92,0.253684
1,512,96,4.13291e-05
0,512,96,1.10335
1,512,100,4.18419e-05
0,512,100,0.29791
1,512,104,4.2047e-05
0,512,104,0.351734
1,512,108,4.17393e-05
0,512,108,0.362065
1,512,112,4.17393e-05
0,512,112,0.97688
1,512,116,4.15342e-05
0,512,116,0.838251
1,512,120,4.93283e-05
0,512,120,0.916422
1,512,124,4.88155e-05
0,512,124,0.882665
1,512,128,4.94308e-05
0,512,128,2.46288
1,512,132,4.96359e-05
0,512,132,0.939797
1,512,136,4.85078e-05
0,512,136,1.05064
1,512,140,4.83027e-05
0,512,140,1.04422
1,512,144,5.72249e-05
0,512,144,1.80122
1,512,148,5.79428e-05
0,512,148,1.12189
1,512,152,5.72249e-05
0,512,152,1.68088
1,512,156,5.81479e-05
0,512,156,1.68678
1,512,160,5.82504e-05
0,512,160,4.15645
1,512,164,5.61994e-05
0,512,164,1.73859
1,512,168,6.56343e-05
0,512,168,1.86654
1,512,172,6.52241e-05
0,512,172,1.79692
1,512,176,6.58394e-05
0,512,176,2.71755
1,512,180,6.62496e-05
0,512,180,2.38231
1,512,184,6.41985e-05
0,512,184,2.58507
1,512,188,7.40437e-05
0,512,188,2.4801
1,512,192,7.53769e-05
0,512,192,5.78857
1,512,196,7.29156e-05
0,512,196,2.57598
1,512,200,7.26079e-05
0,512,200,2.74116
1,512,204,7.29156e-05
0,512,204,2.62088
1,512,208,7.44539e-05
0,512,208,4.15511
1,512,212,8.15301e-05
0,512,212,3.25408
1,512,216,8.12224e-05
0,512,216,3.44889
1,512,220,8.26582e-05
0,512,220,3.34179
1,512,224,8.26582e-05
0,512,224,7.52855
1,512,228,8.1325e-05
0,512,228,3.47671
1,512,232,8.10173e-05
0,512,232,4.1709
1,512,236,9.08625e-05
0,512,236,3.60428
1,512,240,9.03497e-05
0,512,240,5.99064
1,512,244,8.98369e-05
0,512,244,4.18136
1,512,248,9.0042e-05
0,512,248,4.35467
