type,number_of_arrays,array_size,time
1,1024,4,2.59999999999999984e-05
0,1024,4,2.900000000000000017e-05
1,1024,8,2.9999999999999997372e-05
0,1024,8,2.9999999999999997372e-05
1,1024,12,2.699999999999999899e-05
0,1024,12,2.3000000000000000018e-05
1,1024,16,2.699999999999999899e-05
0,1024,16,2.900000000000000017e-05
1,1024,20,2.799999999999999958e-05
0,1024,20,2.59999999999999984e-05
1,1024,24,2.59999999999999984e-05
0,1024,24,2.799999999999999958e-05
1,1024,28,2.699999999999999899e-05
0,1024,28,2.799999999999999958e-05
1,1024,32,2.59999999999999984e-05
0,1024,32,2.9999999999999997372e-05
1,1024,36,2.59999999999999984e-05
0,1024,36,2.900000000000000017e-05
1,1024,40,2.699999999999999899e-05
0,1024,40,2.59999999999999984e-05
1,1024,44,2.799999999999999958e-05
0,1024,44,2.699999999999999899e-05
1,1024,48,2.799999999999999958e-05
0,1024,48,3.2999999999999995754e-05
1,1024,52,2.799999999999999958e-05
0,1024,52,2.799999999999999958e-05
1,1024,56,2.59999999999999984e-05
0,1024,56,2.699999999999999899e-05
1,1024,60,2.699999999999999899e-05
0,1024,60,2.9999999999999997372e-05
1,1024,64,2.9999999999999997372e-05
0,1024,64,2.699999999999999899e-05
1,1024,68,2.699999999999999899e-05
0,1024,68,2.59999999999999984e-05
1,1024,72,2.799999999999999958e-05
0,1024,72,3.1999999999999998552e-05
1,1024,76,2.699999999999999899e-05
0,1024,76,2.59999999999999984e-05
1,1024,80,2.900000000000000017e-05
0,1024,80,2.59999999999999984e-05
1,1024,84,2.59999999999999984e-05
0,1024,84,2.799999999999999958e-05
1,1024,88,2.59999999999999984e-05
0,1024,88,2.900000000000000017e-05
1,1024,92,2.59999999999999984e-05
0,1024,92,2.699999999999999899e-05
1,1024,96,2.499999999999999781e-05
0,1024,96,2.4000000000000000608e-05
1,1024,100,2.59999999999999984e-05
0,1024,100,2.499999999999999781e-05
1,1024,104,2.699999999999999899e-05
0,1024,104,2.699999999999999899e-05
1,1024,108,2.59999999999999984e-05
0,1024,108,2.799999999999999958e-05
1,1024,112,2.499999999999999781e-05
0,1024,112,2.900000000000000017e-05
1,1024,116,2.699999999999999899e-05
0,1024,116,2.59999999999999984e-05
1,1024,120,2.699999999999999899e-05
0,1024,120,2.799999999999999958e-05
1,1024,124,2.699999999999999899e-05
0,1024,124,2.59999999999999984e-05
1,1024,128,2.59999999999999984e-05
0,1024,128,2.799999999999999958e-05
1,1024,132,2.699999999999999899e-05
0,1024,132,2.900000000000000017e-05
1,1024,136,2.59999999999999984e-05
0,1024,136,2.499999999999999781e-05
1,1024,140,2.900000000000000017e-05
0,1024,140,2.499999999999999781e-05
