type,number_of_arrays,array_size,time
1,8,4,2.8e-05
0,8,4,0.004424
1,8,20,2.5e-05
0,8,20,0.004442
1,8,36,2.4e-05
0,8,36,0.004483
1,8,52,2.8e-05
0,8,52,0.004565
1,8,68,2.3e-05
0,8,68,0.004674
1,8,84,2.6e-05
0,8,84,0.004788
1,8,100,2.5e-05
0,8,100,0.004964
1,8,116,2.6e-05
0,8,116,0.005112
1,8,132,2.6e-05
0,8,132,0.005359
1,8,148,2.8e-05
0,8,148,0.005067
1,8,164,2e-05
0,8,164,0.004943
1,8,180,2.6e-05
0,8,180,0.004787
1,8,196,2.6e-05
0,8,196,0.0046
1,8,212,2.6e-05
0,8,212,0.004538
1,8,228,2.4e-05
0,8,228,0.004607
1,8,244,2.9e-05
0,8,244,0.005096
1,8,260,2.6e-05
0,8,260,0.000564
1,8,276,2.9e-05
0,8,276,0.001972
1,8,292,2.7e-05
0,8,292,0.000416
1,8,308,2.6e-05
0,8,308,0.00134
1,8,324,2.8e-05
0,8,324,0.000474
1,8,340,2.5e-05
0,8,340,0.001238
1,8,356,2.7e-05
0,8,356,0.001612
1,8,372,3e-05
0,8,372,0.001828
1,8,388,2.8e-05
0,8,388,0.000155
1,8,404,3e-05
0,8,404,0.005955
1,8,420,2.8e-05
0,8,420,0.000479
1,8,436,3.6e-05
0,8,436,0.00012
1,8,452,2.8e-05
0,8,452,0.000761
1,8,468,3.7e-05
0,8,468,0.005328
1,8,484,3e-05
0,8,484,0.000103
1,8,500,2.1e-05
0,8,500,0.003051
