type,number_of_arrays,array_size,time
1,4,512,3.1e-05
0,4,512,0.004527
1,20,512,3.2e-05
0,20,512,0.001195
1,36,512,3.2e-05
0,36,512,0.001547
1,52,512,3.1e-05
0,52,512,0.008328
1,68,512,3e-05
0,68,512,0.002002
1,84,512,3.1e-05
0,84,512,0.001088
1,100,512,3.1e-05
0,100,512,0.000408
1,116,512,2.8e-05
0,116,512,0.00342
1,132,512,2.9e-05
0,132,512,0.000162
1,148,512,3.2e-05
0,148,512,0.00044
1,164,512,2.9e-05
0,164,512,0.000807
1,180,512,3.1e-05
0,180,512,0.006412
1,196,512,3.1e-05
0,196,512,0.000347
1,212,512,3e-05
0,212,512,0.005371
1,228,512,3.1e-05
0,228,512,0.012924
1,244,512,3.3e-05
0,244,512,0.002495
1,260,512,3e-05
0,260,512,0.000971
1,276,512,3e-05
0,276,512,0.00057
1,292,512,2.9e-05
0,292,512,0.001192
1,308,512,2.9e-05
0,308,512,0.008187
1,324,512,2.9e-05
0,324,512,0.001792
1,340,512,2.8e-05
0,340,512,0.001083
1,356,512,3e-05
0,356,512,0.006824
1,372,512,2.9e-05
0,372,512,0.002858
1,388,512,3.1e-05
0,388,512,0.003869
1,404,512,2.9e-05
0,404,512,0.002011
1,420,512,3.1e-05
0,420,512,0.00122
1,436,512,2.9e-05
0,436,512,0.006598
1,452,512,3e-05
0,452,512,0.00508
1,468,512,3.2e-05
0,468,512,0.00559
1,484,512,3e-05
0,484,512,0.00401
1,500,512,3e-05
0,500,512,0.002667
1,516,512,2.7e-05
0,516,512,0.002841
1,532,512,2.9e-05
0,532,512,0.000815
1,548,512,3e-05
0,548,512,0.008173
1,564,512,2.9e-05
0,564,512,0.005739
1,580,512,2.8e-05
0,580,512,0.001242
1,596,512,3.2e-05
0,596,512,0.004063
1,612,512,3e-05
0,612,512,0.000952
1,628,512,3.1e-05
0,628,512,0.006895
1,644,512,3.1e-05
0,644,512,0.007843
1,660,512,3.6e-05
0,660,512,0.001323
1,676,512,3e-05
0,676,512,0.00526
1,692,512,2.8e-05
0,692,512,0.013255
1,708,512,3.2e-05
0,708,512,0.001294
1,724,512,3e-05
0,724,512,0.002589
1,740,512,2.9e-05
0,740,512,0.002896
1,756,512,3.5e-05
0,756,512,0.002217
1,772,512,4.1e-05
0,772,512,0.002452
1,788,512,2.9e-05
0,788,512,0.002346
1,804,512,3.1e-05
0,804,512,0.003168
1,820,512,3.1e-05
0,820,512,0.002531
1,836,512,3.1e-05
0,836,512,0.005134
1,852,512,3e-05
0,852,512,0.000636
1,868,512,3.1e-05
0,868,512,0.001144
1,884,512,3e-05
0,884,512,0.002105
1,900,512,3e-05
0,900,512,0.001006
1,916,512,3e-05
0,916,512,0.006608
1,932,512,3.1e-05
0,932,512,0.001219
1,948,512,2.8e-05
0,948,512,0.001976
1,964,512,3e-05
0,964,512,0.001555
1,980,512,2.9e-05
0,980,512,0.008345
1,996,512,3.1e-05
0,996,512,0.001793
1,1012,512,3e-05
0,1012,512,0.00403
