type,number_of_arrays,array_size,time
1,4,512,2.6e-05
0,4,512,0.004911
1,20,512,2.3e-05
0,20,512,0.00078
1,36,512,2.8e-05
0,36,512,0.003937
1,52,512,2.5e-05
0,52,512,0.00099
1,68,512,2.5e-05
0,68,512,0.004187
1,84,512,2.6e-05
0,84,512,0.000971
1,100,512,2.7e-05
0,100,512,0.001212
1,116,512,2.7e-05
0,116,512,0.003891
1,132,512,2.6e-05
0,132,512,0.00725
1,148,512,2.8e-05
0,148,512,0.000401
1,164,512,2.9e-05
0,164,512,0.002948
1,180,512,3.1e-05
0,180,512,0.001431
1,196,512,2.9e-05
0,196,512,0.002145
1,212,512,2.8e-05
0,212,512,0.001018
1,228,512,3.2e-05
0,228,512,0.001098
1,244,512,2.1e-05
0,244,512,0.000444
1,260,512,2.6e-05
0,260,512,0.004391
1,276,512,2.7e-05
0,276,512,0.000885
1,292,512,2.7e-05
0,292,512,0.003273
1,308,512,2.7e-05
0,308,512,0.001424
1,324,512,2.5e-05
0,324,512,0.006831
1,340,512,2.6e-05
0,340,512,0.00189
1,356,512,2.7e-05
0,356,512,0.001669
1,372,512,4.2e-05
0,372,512,0.001754
1,388,512,2.9e-05
0,388,512,0.002638
1,404,512,3e-05
0,404,512,0.000373
1,420,512,3.1e-05
0,420,512,0.001219
1,436,512,2.2e-05
0,436,512,0.000712
1,452,512,2.8e-05
0,452,512,0.004408
1,468,512,2.8e-05
0,468,512,0.001737
1,484,512,2.9e-05
0,484,512,0.010132
1,500,512,2.9e-05
0,500,512,0.001489
