type,number_of_arrays,array_size,time
1,4,4,9.000000000000000228e-06
0,4,4,9.000000000000000228e-06
1,8,4,9.000000000000000228e-06
0,8,4,9.000000000000000228e-06
1,12,4,9.000000000000000228e-06
0,12,4,9.000000000000000228e-06
1,16,4,9.000000000000000228e-06
0,16,4,9.000000000000000228e-06
1,20,4,9.000000000000000228e-06
0,20,4,7.999999999999999638e-06
1,24,4,7.999999999999999638e-06
0,24,4,7.999999999999999638e-06
1,28,4,9.999999999999999124e-06
0,28,4,7.999999999999999638e-06
1,32,4,7.999999999999999638e-06
0,32,4,9.000000000000000228e-06
1,36,4,7.999999999999999638e-06
0,36,4,7.999999999999999638e-06
1,40,4,9.000000000000000228e-06
0,40,4,9.000000000000000228e-06
1,44,4,7.999999999999999638e-06
0,44,4,9.000000000000000228e-06
1,48,4,9.000000000000000228e-06
0,48,4,9.000000000000000228e-06
1,52,4,9.000000000000000228e-06
0,52,4,1.29999999999999992e-05
1,56,4,9.000000000000000228e-06
0,56,4,7.999999999999999638e-06
1,60,4,9.000000000000000228e-06
0,60,4,9.000000000000000228e-06
1,64,4,7.999999999999999638e-06
0,64,4,9.000000000000000228e-06
1,68,4,9.000000000000000228e-06
0,68,4,9.000000000000000228e-06
1,72,4,7.999999999999999638e-06
0,72,4,7.999999999999999638e-06
1,76,4,9.000000000000000228e-06
0,76,4,7.999999999999999638e-06
1,80,4,9.000000000000000228e-06
0,80,4,9.000000000000000228e-06
1,84,4,7.999999999999999638e-06
0,84,4,9.000000000000000228e-06
1,88,4,9.000000000000000228e-06
0,88,4,7.999999999999999638e-06
1,92,4,7.999999999999999638e-06
0,92,4,9.999999999999999124e-06
1,96,4,7.999999999999999638e-06
0,96,4,7.999999999999999638e-06
1,100,4,9.000000000000000228e-06
0,100,4,9.000000000000000228e-06
1,104,4,9.000000000000000228e-06
0,104,4,9.000000000000000228e-06
1,108,4,7.999999999999999638e-06
0,108,4,9.000000000000000228e-06
1,112,4,7.999999999999999638e-06
0,112,4,9.000000000000000228e-06
1,116,4,9.000000000000000228e-06
0,116,4,9.000000000000000228e-06
1,120,4,9.000000000000000228e-06
0,120,4,7.999999999999999638e-06
1,124,4,9.000000000000000228e-06
0,124,4,9.000000000000000228e-06
1,128,4,9.000000000000000228e-06
0,128,4,7.999999999999999638e-06
1,132,4,9.999999999999999124e-06
0,132,4,7.999999999999999638e-06
1,136,4,9.000000000000000228e-06
0,136,4,9.000000000000000228e-06
1,140,4,9.000000000000000228e-06
0,140,4,9.000000000000000228e-06
1,144,4,9.000000000000000228e-06
0,144,4,7.999999999999999638e-06
1,148,4,9.000000000000000228e-06
0,148,4,9.000000000000000228e-06
1,152,4,7.999999999999999638e-06
0,152,4,9.000000000000000228e-06
1,156,4,7.999999999999999638e-06
0,156,4,7.999999999999999638e-06
1,160,4,9.000000000000000228e-06
0,160,4,9.000000000000000228e-06
1,164,4,9.999999999999999124e-06
0,164,4,9.000000000000000228e-06
1,168,4,9.000000000000000228e-06
0,168,4,7.999999999999999638e-06
1,172,4,9.000000000000000228e-06
0,172,4,9.000000000000000228e-06
1,176,4,9.000000000000000228e-06
0,176,4,7.999999999999999638e-06
1,180,4,9.000000000000000228e-06
0,180,4,9.000000000000000228e-06
1,184,4,9.000000000000000228e-06
0,184,4,9.000000000000000228e-06
1,188,4,9.000000000000000228e-06
0,188,4,7.999999999999999638e-06
1,192,4,9.000000000000000228e-06
0,192,4,7.999999999999999638e-06
1,196,4,9.000000000000000228e-06
0,196,4,9.000000000000000228e-06
1,200,4,9.000000000000000228e-06
0,200,4,7.999999999999999638e-06
1,204,4,9.000000000000000228e-06
0,204,4,9.000000000000000228e-06
1,208,4,9.000000000000000228e-06
0,208,4,9.000000000000000228e-06
1,212,4,9.000000000000000228e-06
0,212,4,7.999999999999999638e-06
1,216,4,7.999999999999999638e-06
0,216,4,9.000000000000000228e-06
1,220,4,9.999999999999999124e-06
0,220,4,9.000000000000000228e-06
1,224,4,9.000000000000000228e-06
0,224,4,9.000000000000000228e-06
1,228,4,9.000000000000000228e-06
0,228,4,9.000000000000000228e-06
1,232,4,9.000000000000000228e-06
0,232,4,7.999999999999999638e-06
1,236,4,9.999999999999999124e-06
0,236,4,7.999999999999999638e-06
1,240,4,9.000000000000000228e-06
0,240,4,9.000000000000000228e-06
1,244,4,9.000000000000000228e-06
0,244,4,9.000000000000000228e-06
1,248,4,9.999999999999999124e-06
0,248,4,9.000000000000000228e-06
1,252,4,7.999999999999999638e-06
0,252,4,7.999999999999999638e-06
1,256,4,9.000000000000000228e-06
0,256,4,7.999999999999999638e-06
1,260,4,9.000000000000000228e-06
0,260,4,9.000000000000000228e-06
1,264,4,9.000000000000000228e-06
0,264,4,9.000000000000000228e-06
1,268,4,9.000000000000000228e-06
0,268,4,7.999999999999999638e-06
