type,number_of_arrays,array_size,time
1,8,8,2.9e-05
0,8,8,5.5e-05
1,16,8,2.8e-05
0,16,8,6.2e-05
1,32,8,2.7e-05
0,32,8,5.6e-05
1,64,8,3e-05
0,64,8,6e-05
1,128,8,2.9e-05
0,128,8,5.7e-05
1,256,8,2.8e-05
0,256,8,5.8e-05
1,512,8,2.5e-05
0,512,8,5.5e-05
1,1024,8,2.6e-05
0,1024,8,6e-05
1,8,16,2.7e-05
0,8,16,5.8e-05
1,16,16,2.7e-05
0,16,16,6.2e-05
1,32,16,2.6e-05
0,32,16,5.8e-05
1,64,16,2.9e-05
0,64,16,5.9e-05
1,128,16,2.8e-05
0,128,16,6.1e-05
1,256,16,2.8e-05
0,256,16,6.6e-05
1,512,16,2.6e-05
0,512,16,7.6e-05
1,1024,16,2.9e-05
0,1024,16,9.3e-05
1,8,32,2.8e-05
0,8,32,5.5e-05
1,16,32,2.7e-05
0,16,32,7.3e-05
1,32,32,2.7e-05
0,32,32,0.000108
1,64,32,2.8e-05
0,64,32,0.000108
1,128,32,2.6e-05
0,128,32,0.000108
1,256,32,2.9e-05
0,256,32,0.000116
1,512,32,2.9e-05
0,512,32,0.000143
1,1024,32,2.8e-05
0,1024,32,0.00019
1,8,64,2.9e-05
0,8,64,0.000167
1,16,64,2.8e-05
0,16,64,0.000274
1,32,64,2.9e-05
0,32,64,7.9e-05
1,64,64,2.9e-05
0,64,64,0.000283
1,128,64,2.8e-05
0,128,64,0.000198
1,256,64,2.8e-05
0,256,64,0.000293
1,512,64,2.6e-05
0,512,64,0.000332
1,1024,64,3e-05
0,1024,64,0.00033
1,8,128,2.8e-05
0,8,128,0.000217
1,16,128,2.9e-05
0,16,128,0.00095
1,32,128,3.1e-05
0,32,128,0.000607
1,64,128,2.8e-05
0,64,128,0.000952
1,128,128,2.6e-05
0,128,128,0.000966
1,256,128,2.8e-05
0,256,128,0.000142
1,512,128,3e-05
0,512,128,0.001035
1,1024,128,2.8e-05
0,1024,128,0.001143
1,8,256,2.6e-05
0,8,256,0.000895
1,16,256,3.5e-05
0,16,256,0.001209
1,32,256,3e-05
0,32,256,0.000141
1,64,256,2.7e-05
0,64,256,0.001385
1,128,256,2.8e-05
0,128,256,0.000395
1,256,256,2.7e-05
0,256,256,0.001476
1,512,256,2.8e-05
0,512,256,0.002033
1,1024,256,2.7e-05
0,1024,256,0.000834
1,8,512,2.5e-05
0,8,512,0.002918
1,16,512,2.6e-05
0,16,512,0.001443
1,32,512,2.6e-05
0,32,512,0.004679
1,64,512,2.8e-05
0,64,512,0.0052
1,128,512,3e-05
0,128,512,0.001649
1,256,512,2.8e-05
0,256,512,0.000607
1,512,512,2.6e-05
0,512,512,0.000691
1,1024,512,3.1e-05
0,1024,512,0.002187
1,8,1024,2.8e-05
0,8,1024,0.003729
1,16,1024,3.1e-05
0,16,1024,0.002448
1,32,1024,2.8e-05
0,32,1024,0.003917
1,64,1024,2.9e-05
0,64,1024,0.000211
1,128,1024,2.8e-05
0,128,1024,0.00458
1,256,1024,2.7e-05
0,256,1024,0.007905
1,512,1024,2.6e-05
0,512,1024,0.001434
1,1024,1024,2.9e-05
0,1024,1024,0.00242
1,8,2048,2.7e-05
0,8,2048,0.004523
1,16,2048,3.9e-05
0,16,2048,0.000852
1,32,2048,3e-05
0,32,2048,0.01223
1,64,2048,3e-05
0,64,2048,0.011501
1,128,2048,2.8e-05
0,128,2048,0.005427
1,256,2048,2.7e-05
0,256,2048,0.002621
1,512,2048,2.9e-05
0,512,2048,0.015605
1,1024,2048,2.7e-05
0,1024,2048,0.003852
1,8,4096,2.8e-05
0,8,4096,0.000763
1,16,4096,2.9e-05
0,16,4096,0.005882
1,32,4096,2.7e-05
0,32,4096,0.020871
1,64,4096,2.7e-05
0,64,4096,0.007611
1,128,4096,3.1e-05
0,128,4096,0.025488
1,256,4096,2.9e-05
0,256,4096,0.031222
1,512,4096,2.9e-05
0,512,4096,0.00645
1,1024,4096,2.6e-05
0,1024,4096,0.030525
1,8,8192,1.2e-05
0,8,8192,0.017492
1,16,8192,1.1e-05
0,16,8192,0.069528
1,32,8192,1.2e-05
0,32,8192,0.071461
1,64,8192,1.2e-05
0,64,8192,0.047171
1,128,8192,1.2e-05
0,128,8192,0.066028
1,256,8192,1.3e-05
0,256,8192,0.049038
1,512,8192,1.3e-05
0,512,8192,0.064866
1,1024,8192,1.2e-05
0,1024,8192,0.033466
