type,number_of_arrays,array_size,time
1,512,4,8.40939e-06
0,512,4,0.000245513
1,512,8,8.6145e-06
0,512,8,0.00138088
1,512,12,8.6145e-06
0,512,12,0.00175572
1,512,16,8.6145e-06
0,512,16,0.00928602
1,512,20,8.6145e-06
0,512,20,0.005289
1,512,24,1.64086e-05
0,512,24,0.0115773
1,512,28,1.61009e-05
0,512,28,0.0132557
1,512,32,1.67162e-05
0,512,32,0.0706393
1,512,36,1.71264e-05
0,512,36,0.0255145
1,512,40,1.68188e-05
0,512,40,0.0358031
1,512,44,1.6306e-05
0,512,44,0.0389687
1,512,48,2.51256e-05
0,512,48,0.0843501
1,512,52,2.3895e-05
0,512,52,0.0573122
1,512,56,2.46129e-05
0,512,56,0.0707555
1,512,60,2.47154e-05
0,512,60,0.0811614
1,512,64,2.53307e-05
0,512,64,0.28395
1,512,68,2.50231e-05
0,512,68,0.117257
1,512,72,3.34325e-05
0,512,72,0.142962
1,512,76,3.27146e-05
0,512,76,0.152756
1,512,80,3.42529e-05
0,512,80,0.291828
1,512,84,3.40478e-05
0,512,84,0.189265
1,512,88,3.42529e-05
0,512,88,0.240549
1,512,92,3.39452e-05
0,512,92,0.254273
1,512,96,4.16368e-05
0,512,96,1.10602
1,512,100,4.18419e-05
0,512,100,0.297605
1,512,104,4.2047e-05
0,512,104,0.353258
1,512,108,4.17393e-05
0,512,108,0.360679
1,512,112,4.17393e-05
0,512,112,0.984467
1,512,116,4.15342e-05
0,512,116,0.839043
1,512,120,4.93283e-05
0,512,120,0.920701
1,512,124,4.88155e-05
0,512,124,0.890421
1,512,128,4.93283e-05
0,512,128,2.48553
1,512,132,4.96359e-05
0,512,132,0.954243
1,512,136,4.85078e-05
0,512,136,1.06255
1,512,140,4.85078e-05
0,512,140,1.05015
1,512,144,5.73275e-05
0,512,144,1.79836
1,512,148,5.68147e-05
0,512,148,1.12518
1,512,152,5.72249e-05
0,512,152,1.68588
1,512,156,5.81479e-05
0,512,156,1.69211
1,512,160,5.81479e-05
0,512,160,4.20643
1,512,164,5.61994e-05
0,512,164,1.74171
1,512,168,6.54292e-05
0,512,168,1.85808
1,512,172,6.54292e-05
0,512,172,1.79291
1,512,176,6.60445e-05
0,512,176,2.71479
1,512,180,6.52241e-05
0,512,180,2.38494
1,512,184,6.39934e-05
0,512,184,2.5751
1,512,188,7.3736e-05
0,512,188,2.47043
1,512,192,7.48641e-05
0,512,192,5.78817
1,512,196,7.27105e-05
0,512,196,2.56887
1,512,200,7.34284e-05
0,512,200,2.73884
1,512,204,7.34284e-05
0,512,204,2.61478
1,512,208,7.43513e-05
0,512,208,4.1557
1,512,212,8.09148e-05
0,512,212,3.24108
1,512,216,8.10173e-05
0,512,216,3.43497
1,512,220,8.28633e-05
0,512,220,3.34419
1,512,224,8.25556e-05
0,512,224,7.52246
1,512,228,8.10173e-05
0,512,228,3.46248
1,512,232,8.11199e-05
0,512,232,4.14044
1,512,236,8.99395e-05
0,512,236,3.57774
1,512,240,9.03497e-05
0,512,240,5.97308
1,512,244,8.99395e-05
0,512,244,4.18039
1,512,248,8.97344e-05
0,512,248,4.36854
1,512,252,9.02472e-05
0,512,252,4.23816
1,512,256,9.0042e-05
0,512,256,10.071
1,512,260,9.91693e-05
0,512,260,4.40689
1,512,264,9.83489e-05
0,512,264,5.10464
1,512,268,9.75285e-05
0,512,268,5.06313
1,512,272,9.82463e-05
0,512,272,7.65005
1,512,276,9.73234e-05
0,512,276,5.27717
1,512,280,9.79387e-05
0,512,280,6.00043
1,512,284,0.000107886
0,512,284,5.84781
1,512,288,0.000107066
0,512,288,12.7333
1,512,292,0.000104092
0,512,292,5.94039
1,512,296,0.000107579
0,512,296,6.9086
1,512,300,0.000105425
0,512,300,6.1492
1,512,304,0.000106246
0,512,304,9.3434
1,512,308,0.000114963
0,512,308,6.90719
1,512,312,0.000115578
0,512,312,7.82843
1,512,316,0.000112296
0,512,316,7.54792
1,512,320,0.000115475
0,512,320,17.2099
1,512,324,0.000113014
0,512,324,7.69857
1,512,328,0.000114245
0,512,328,8.61826
1,512,332,0.000120706
0,512,332,7.76914
1,512,336,0.000122962
0,512,336,11.3383
1,512,340,0.000121936
0,512,340,7.82147
1,512,344,0.000121834
0,512,344,1.89178e+12
1,512,348,0.000121013
0,512,348,8.55903
1,512,352,0.000132704
0,512,352,18.3092
1,512,356,0.00012891
0,512,356,9.2174
1,512,360,0.000127474
0,512,360,1.89178e+12
1,512,364,0.00012932
0,512,364,9.57772
1,512,368,0.000132499
0,512,368,13.7832
1,512,372,0.000129935
0,512,372,10.0212
1,512,376,0.126728
0,512,376,11.2005
1,512,380,0.129554
0,512,380,10.4053
1,512,384,0.131874
0,512,384,23.3719
1,512,388,1.71925
0,512,388,11.231
1,512,392,1.72953
0,512,392,12.1993
1,512,396,1.74718
0,512,396,11.2779
1,512,400,1.76486
0,512,400,1.89178e+12
1,512,404,1.7805
0,512,404,12.0541
1,512,408,1.7924
0,512,408,13.0229
1,512,412,1.79677
0,512,412,12.1446
1,512,416,1.87276
0,512,416,26.137
1,512,420,1.85296
0,512,420,12.8385
1,512,424,2.30429
0,512,424,14.6805
1,512,428,1.88971
0,512,428,13.6561
1,512,432,1.90832
0,512,432,19.1192
1,512,436,2.36476
0,512,436,13.9358
1,512,440,1.94496
0,512,440,15.6749
1,512,444,2.41088
0,512,444,14.4634
1,512,448,2.09508
0,512,448,29.8225
1,512,452,1.99918
0,512,452,1.89178e+12
1,512,456,2.03314
0,512,456,16.5826
1,512,460,2.04233
0,512,460,15.4919
1,512,464,2.11404
0,512,464,22.4816
1,512,468,2.07607
0,512,468,16.2965
1,512,472,2.56447
0,512,472,18.1728
1,512,476,2.11691
0,512,476,16.6343
1,512,480,2.80502
0,512,480,1.89178e+12
1,512,484,2.59376
0,512,484,18.0405
1,512,488,2.64726
0,512,488,19.154
1,512,492,2.67491
0,512,492,18.0815
1,512,496,2.76628
0,512,496,24.5942
1,512,500,2.70735
0,512,500,18.2655
1,512,504,2.73214
0,512,504,20.8151
1,512,508,2.76796
0,512,508,18.0342
1,512,512,3.52301
0,512,512,40.1686
1,512,516,3.23436
0,512,516,18.1774
1,512,520,2.82025
0,512,520,21.8418
1,512,524,2.84114
0,512,524,20.0318
1,512,528,3.00632
0,512,528,27.9442
1,512,532,2.89036
0,512,532,20.9647
1,512,536,3.40361
0,512,536,23.4816
1,512,540,2.95468
0,512,540,21.755
1,512,544,3.80216
0,512,544,1.89178e+12
1,512,548,2.99136
0,512,548,23.2781
1,512,552,3.49093
0,512,552,25.004
1,512,556,3.5035
0,512,556,23.2561
1,512,560,3.67674
0,512,560,33.951
1,512,564,3.53815
0,512,564,23.5574
1,512,568,3.15425
0,512,568,26.9738
1,512,572,3.58697
0,512,572,24.2606
1,512,576,4.63809
0,512,576,51.0604
1,512,580,3.65214
0,512,580,25.1694
1,512,584,3.71927
0,512,584,27.7181
1,512,588,3.68899
0,512,588,25.8524
1,512,592,4.37695
0,512,592,36.221
1,512,596,3.72822
0,512,596,26.0314
1,512,600,3.81294
0,512,600,29.2722
1,512,604,3.79967
0,512,604,26.8513
1,512,608,5.43009
0,512,608,55.7448
1,512,612,3.84492
0,512,612,27.6431
1,512,616,4.36801
0,512,616,31.8306
1,512,620,4.34837
0,512,620,29.3386
1,512,624,4.621
0,512,624,40.6964
1,512,628,4.39688
0,512,628,30.0863
1,512,632,4.55604
0,512,632,34.5336
1,512,636,4.46254
0,512,636,30.997
1,512,640,6.2543
0,512,640,69.0545
1,512,644,4.06422
0,512,644,31.8714
1,512,648,4.66454
0,512,648,35.3456
1,512,652,4.9968
0,512,652,31.9063
1,512,656,5.86273
0,512,656,1.89178e+12
1,512,660,5.08461
0,512,660,32.0486
1,512,664,5.6934
0,512,664,36.3421
1,512,668,5.10583
0,512,668,33.0888
1,512,672,7.57457
0,512,672,70.8078
1,512,676,5.18198
0,512,676,34.4714
1,512,680,5.79987
0,512,680,37.4392
1,512,684,6.15918
0,512,684,34.5241
1,512,688,6.12062
0,512,688,48.8465
1,512,692,5.75555
0,512,692,36.4259
1,512,696,5.93136
0,512,696,39.1567
1,512,700,5.38264
0,512,700,36.5298
1,512,704,7.94326
0,512,704,74.2415
1,512,708,10.7988
0,512,708,37.3438
1,512,712,11.1971
0,512,712,41.741
1,512,716,10.9142
0,512,716,38.1689
1,512,720,13.395
0,512,720,56.4519
1,512,724,11.0745
0,512,724,39.8638
1,512,728,11.8753
0,512,728,43.5884
1,512,732,11.1463
0,512,732,41.6158
1,512,736,17.1352
0,512,736,81.4089
1,512,740,11.765
0,512,740,40.9797
1,512,744,12.6207
0,512,744,45.2159
1,512,748,11.4428
0,512,748,1.89178e+12
1,512,752,15.3122
0,512,752,59.136
1,512,756,13.3943
0,512,756,1.89178e+12
1,512,760,13.8081
0,512,760,48.4376
1,512,764,13.5688
0,512,764,44.2095
1,512,768,19.6614
0,512,768,93.3707
1,512,772,13.7133
0,512,772,45.1203
1,512,776,20.6123
0,512,776,1.89178e+12
1,512,780,19.8724
0,512,780,45.3527
1,512,784,22.3412
0,512,784,64.5676
1,512,788,20.5165
0,512,788,1.89178e+12
1,512,792,21.4072
0,512,792,52.9639
1,512,796,20.7487
0,512,796,47.7868
1,512,800,26.8173
0,512,800,104.068
1,512,804,21.3679
0,512,804,48.9074
1,512,808,22.3127
0,512,808,55.6162
1,512,812,21.5971
0,512,812,1.89178e+12
1,512,816,24.1724
0,512,816,70.4976
1,512,820,22.2035
0,512,820,49.5679
1,512,824,23.2178
0,512,824,55.7926
1,512,828,22.407
0,512,828,51.3048
1,512,832,29.2027
0,512,832,105.667
1,512,836,23.1206
0,512,836,52.9822
1,512,840,24.0387
0,512,840,58.2186
1,512,844,23.3402
0,512,844,53.835
1,512,848,26.4134
0,512,848,75.7436
1,512,852,24.0329
0,512,852,56.5317
1,512,856,24.9628
0,512,856,1.89178e+12
1,512,860,24.2273
0,512,860,57.2452
1,512,864,31.2033
0,512,864,115.379
1,512,868,24.421
0,512,868,57.3935
1,512,872,25.719
0,512,872,64.4895
1,512,876,25.5388
0,512,876,58.4437
1,512,880,27.6641
0,512,880,84.5398
1,512,884,25.8385
0,512,884,58.6124
1,512,888,26.6632
0,512,888,64.7118
1,512,892,25.9899
0,512,892,59.3542
1,512,896,33.6564
0,512,896,1.89178e+12
1,512,900,26.6926
0,512,900,60.8589
1,512,904,27.5222
0,512,904,67.2731
1,512,908,26.9401
0,512,908,62.7539
1,512,912,29.5699
0,512,912,1.89178e+12
1,512,916,27.558
0,512,916,1.89178e+12
1,512,920,27.963
0,512,920,69.7218
1,512,924,27.8577
0,512,924,64.6722
1,512,928,36.1128
0,512,928,130.507
1,512,932,28.5628
0,512,932,66.9554
1,512,936,29.4229
0,512,936,1.89178e+12
1,512,940,29.1802
0,512,940,1.89178e+12
1,512,944,31.993
0,512,944,1.89178e+12
1,512,948,29.4615
0,512,948,72.1973
1,512,952,30.3329
0,512,952,76.6783
1,512,956,30.133
0,512,956,71.3962
1,512,960,38.2797
0,512,960,1.89178e+12
1,512,964,30.8177
0,512,964,1.89178e+12
1,512,968,31.253
0,512,968,81.41
1,512,972,31.1323
0,512,972,72.4467
1,512,976,34.5901
