type,number_of_arrays,array_size,time
1,4,1024,7.0762e-06
0,4,1024,14.5935
1,8,1024,7.0762e-06
0,8,1024,17.1297
1,12,1024,1.74932
0,12,1024,19.7574
1,16,1024,12.9278
0,16,1024,22.3545
1,20,1024,14.6175
0,20,1024,25.0477
1,24,1024,30.9629
0,24,1024,27.6245
1,28,1024,42.2213
0,28,1024,33.7406
1,32,1024,1.89178e+12
0,32,1024,37.2315
1,36,1024,43.8723
0,36,1024,37.2923
1,40,1024,43.9208
0,40,1024,37.3492
1,44,1024,43.8745
0,44,1024,37.3258
1,48,1024,43.4847
0,48,1024,37.3868
1,52,1024,43.5445
0,52,1024,37.9047
1,56,1024,43.4787
0,56,1024,37.8959
1,60,1024,43.4783
0,60,1024,38.0034
1,64,1024,43.5503
0,64,1024,38.2973
1,68,1024,43.4798
0,68,1024,1.89178e+12
1,72,1024,43.5058
0,72,1024,38.3882
1,76,1024,43.5364
0,76,1024,38.9108
1,80,1024,43.5142
0,80,1024,38.9677
1,84,1024,1.89178e+12
0,84,1024,38.9759
1,88,1024,43.4943
0,88,1024,39.0555
1,92,1024,43.4886
0,92,1024,39.0656
1,96,1024,43.5574
0,96,1024,39.7913
1,100,1024,43.5635
0,100,1024,1.89178e+12
1,104,1024,43.5574
0,104,1024,40.1862
1,108,1024,43.5331
0,108,1024,40.7744
1,112,1024,43.5449
0,112,1024,40.9009
1,116,1024,43.5965
0,116,1024,41.6012
1,120,1024,43.5551
0,120,1024,41.7196
1,124,1024,43.5462
0,124,1024,41.9423
1,128,1024,43.588
0,128,1024,42.7626
1,132,1024,43.5459
0,132,1024,43.6199
1,136,1024,43.589
0,136,1024,1.89178e+12
1,140,1024,43.5936
0,140,1024,1.89178e+12
1,144,1024,43.6072
0,144,1024,46.1301
1,148,1024,43.5797
0,148,1024,46.996
1,152,1024,43.5492
0,152,1024,47.8806
1,156,1024,1.89178e+12
0,156,1024,48.7105
1,160,1024,43.5889
0,160,1024,49.5683
1,164,1024,43.5924
0,164,1024,50.7019
1,168,1024,43.5752
0,168,1024,1.89178e+12
1,172,1024,43.5803
0,172,1024,53.0893
1,176,1024,43.5774
0,176,1024,54.0401
1,180,1024,43.5612
0,180,1024,55.038
1,184,1024,43.5901
0,184,1024,56.568
1,188,1024,43.6066
0,188,1024,57.4714
1,192,1024,43.6131
0,192,1024,58.3865
1,196,1024,43.544
0,196,1024,60.1025
1,200,1024,43.542
0,200,1024,61.0653
1,204,1024,43.5898
0,204,1024,62.1203
1,208,1024,43.6091
0,208,1024,63.5426
1,212,1024,43.5444
0,212,1024,64.5965
1,216,1024,43.5868
0,216,1024,65.5574
1,220,1024,43.6415
0,220,1024,1.89178e+12
1,224,1024,43.556
0,224,1024,68.0593
1,228,1024,43.5719
0,228,1024,69.7939
1,232,1024,43.5523
0,232,1024,70.8038
1,236,1024,1.89178e+12
0,236,1024,71.8113
1,240,1024,43.548
0,240,1024,73.2848
1,244,1024,43.5843
0,244,1024,74.3123
1,248,1024,43.6123
0,248,1024,75.826
1,252,1024,1.89178e+12
0,252,1024,76.8508
1,256,1024,43.5327
0,256,1024,77.8636
1,260,1024,43.5724
0,260,1024,1.89178e+12
1,264,1024,43.5697
0,264,1024,80.5932
1,268,1024,43.5888
0,268,1024,81.9726
1,272,1024,43.6033
0,272,1024,83.1437
1,276,1024,43.5565
0,276,1024,84.1796
1,280,1024,43.6236
0,280,1024,85.7345
1,284,1024,43.5928
0,284,1024,87.6384
1,288,1024,43.5976
0,288,1024,89.9526
1,292,1024,43.5575
0,292,1024,91.6192
1,296,1024,1.89178e+12
0,296,1024,1.89178e+12
1,300,1024,43.5474
0,300,1024,93.5745
1,304,1024,43.5452
0,304,1024,95.0908
1,308,1024,43.5301
0,308,1024,96.1453
1,312,1024,43.5439
0,312,1024,97.1645
1,316,1024,43.577
0,316,1024,1.89178e+12
1,320,1024,43.5845
0,320,1024,98.973
1,324,1024,43.5633
0,324,1024,100.665
1,328,1024,43.5303
0,328,1024,101.576
1,332,1024,43.572
0,332,1024,103.113
1,336,1024,43.5369
0,336,1024,104.103
1,340,1024,43.5409
0,340,1024,105.692
1,344,1024,43.483
0,344,1024,106.783
1,348,1024,43.5795
0,348,1024,108.391
1,352,1024,1.89178e+12
0,352,1024,110.112
1,356,1024,1.89178e+12
0,356,1024,111.195
1,360,1024,1.89178e+12
0,360,1024,112.233
1,364,1024,1.89178e+12
0,364,1024,113.611
1,368,1024,43.4937
0,368,1024,114.656
1,372,1024,43.5358
0,372,1024,116.26
