type,number_of_arrays,array_size,time
0,4,8,0.0368
1,4,8,0.017056
0,4,8,0.03648
1,4,8,0.016384
0,4,8,0.036864
1,4,8,0.016576
0,8,8,0.03584
1,8,8,0.017568
0,8,8,0.036288
1,8,8,0.017696
0,8,8,0.036192
1,8,8,0.018016
0,12,8,0.036384
1,12,8,0.01776
0,12,8,0.039456
1,12,8,0.017952
0,12,8,0.038592
1,12,8,0.017728
0,16,8,0.036864
1,16,8,0.018752
0,16,8,0.03824
1,16,8,0.0184
0,16,8,0.038336
1,16,8,0.017824
0,20,8,0.038528
1,20,8,0.019776
0,20,8,0.03904
1,20,8,0.019072
0,20,8,0.039264
1,20,8,0.020096
0,24,8,0.038112
1,24,8,0.018528
0,24,8,0.038048
1,24,8,0.019552
0,24,8,0.03888
1,24,8,0.019648
0,28,8,0.038112
1,28,8,0.019904
0,28,8,0.039776
1,28,8,0.02
0,28,8,0.038656
1,28,8,0.019808
0,32,8,0.040288
1,32,8,0.019808
0,32,8,0.038368
1,32,8,0.019264
0,32,8,0.037792
1,32,8,0.019232
0,36,8,0.038656
1,36,8,0.020256
0,36,8,0.03856
1,36,8,0.019712
0,36,8,0.039456
1,36,8,0.020192
0,40,8,0.03888
1,40,8,0.020224
0,40,8,0.045152
1,40,8,0.021024
0,40,8,0.039808
1,40,8,0.0208
0,44,8,0.038464
1,44,8,0.019808
0,44,8,0.040512
1,44,8,0.020928
0,44,8,0.040832
1,44,8,0.020224
0,48,8,0.038944
1,48,8,0.020864
0,48,8,0.04128
1,48,8,0.020224
0,48,8,0.037408
1,48,8,0.020032
0,52,8,0.04016
1,52,8,0.020128
0,52,8,0.043296
1,52,8,0.019936
0,52,8,0.039776
1,52,8,0.020192
0,56,8,0.039488
1,56,8,0.020192
0,56,8,0.04128
1,56,8,0.020736
0,56,8,0.03952
1,56,8,0.019904
0,60,8,0.039712
1,60,8,0.019936
0,60,8,0.03984
1,60,8,0.020928
0,60,8,0.040416
1,60,8,0.020384
0,64,8,0.042816
1,64,8,0.022336
0,64,8,0.038624
1,64,8,0.022016
0,64,8,0.04128
1,64,8,0.021696
0,68,8,0.039616
1,68,8,0.024672
0,68,8,0.039872
1,68,8,0.02384
0,68,8,0.040992
1,68,8,0.023392
0,72,8,0.041696
1,72,8,0.023264
0,72,8,0.040544
1,72,8,0.024128
0,72,8,0.039488
1,72,8,0.023488
0,76,8,0.040096
1,76,8,0.023296
0,76,8,0.045056
1,76,8,0.024064
0,76,8,0.055136
1,76,8,0.0232
0,80,8,0.040512
1,80,8,0.02384
0,80,8,0.041408
1,80,8,0.023392
0,80,8,0.040256
1,80,8,0.023104
0,84,8,0.04096
1,84,8,0.023424
0,84,8,0.040256
1,84,8,0.023584
0,84,8,0.039616
1,84,8,0.023232
0,88,8,0.041824
1,88,8,0.023424
0,88,8,0.039616
1,88,8,0.023456
0,88,8,0.040928
1,88,8,0.023104
0,92,8,0.039136
1,92,8,0.02352
0,92,8,0.05056
1,92,8,0.023296
0,92,8,0.039392
1,92,8,0.02352
0,96,8,0.04192
1,96,8,0.026112
0,96,8,0.041312
1,96,8,0.025888
0,96,8,0.047648
1,96,8,0.024736
0,100,8,0.041504
1,100,8,0.025312
0,100,8,0.040352
1,100,8,0.02544
0,100,8,0.040032
1,100,8,0.025344
0,104,8,0.043712
1,104,8,0.025248
0,104,8,0.043104
1,104,8,0.025216
0,104,8,0.039616
1,104,8,0.026176
0,108,8,0.042976
1,108,8,0.025696
0,108,8,0.040512
1,108,8,0.025632
0,108,8,0.040672
1,108,8,0.025632
0,112,8,0.047424
1,112,8,0.0256
0,112,8,0.043104
1,112,8,0.02592
0,112,8,0.041312
1,112,8,0.02624
0,116,8,0.042976
1,116,8,0.025856
0,116,8,0.040896
1,116,8,0.026016
0,116,8,0.040864
1,116,8,0.026944
0,120,8,0.04048
1,120,8,0.025888
0,120,8,0.04144
1,120,8,0.025312
0,120,8,0.04128
1,120,8,0.025216
0,124,8,0.04112
1,124,8,0.02544
0,124,8,0.039168
1,124,8,0.025632
0,124,8,0.044192
1,124,8,0.025536
0,128,8,0.041312
1,128,8,0.025088
0,128,8,0.041152
1,128,8,0.02528
0,128,8,0.040384
1,128,8,0.025984
0,132,8,0.042368
1,132,8,0.02944
0,132,8,0.044256
1,132,8,0.028768
0,132,8,0.044192
1,132,8,0.028512
0,136,8,0.042624
1,136,8,0.029824
0,136,8,0.041408
1,136,8,0.027936
0,136,8,0.043744
1,136,8,0.028736
0,140,8,0.042432
1,140,8,0.028064
0,140,8,0.043584
1,140,8,0.029248
0,140,8,0.042528
