type,number_of_arrays,array_size,time
Nested Shm,2,4,0.04704
Nested Shfl,2,4,0.0136
Shfl Hash,2,4,0.012576
Shfl Unroll 2,2,4,0.011776
Shfl Unroll,2,4,0.0112
Shfl Sort Search,2,4,0.015104
Nested Shm,2,4,0.03904
Nested Shfl,2,4,0.012992
Shfl Hash,2,4,0.011456
Shfl Unroll 2,2,4,0.00976
Shfl Unroll,2,4,0.010784
Shfl Sort Search,2,4,0.013728
Nested Shm,2,4,0.038496
Nested Shfl,2,4,0.012864
Shfl Hash,2,4,0.012064
Shfl Unroll 2,2,4,0.010464
Shfl Unroll,2,4,0.011168
Shfl Sort Search,2,4,0.013312
Nested Shm,4,4,0.040512
Nested Shfl,4,4,0.012288
Shfl Hash,4,4,0.012256
Shfl Unroll 2,4,4,0.01072
Shfl Unroll,4,4,0.010848
Shfl Sort Search,4,4,0.015168
Nested Shm,4,4,0.037536
Nested Shfl,4,4,0.012928
Shfl Hash,4,4,0.011328
Shfl Unroll 2,4,4,0.010496
Shfl Unroll,4,4,0.01024
Shfl Sort Search,4,4,0.014592
Nested Shm,4,4,0.03712
Nested Shfl,4,4,0.012448
Shfl Hash,4,4,0.011776
Shfl Unroll 2,4,4,0.0112
Shfl Unroll,4,4,0.010112
Shfl Sort Search,4,4,0.013312
Nested Shm,8,4,0.03984
Nested Shfl,8,4,0.012576
Shfl Hash,8,4,0.01104
Shfl Unroll 2,8,4,0.012192
Shfl Unroll,8,4,0.010688
Shfl Sort Search,8,4,0.014624
Nested Shm,8,4,0.041024
Nested Shfl,8,4,0.012768
Shfl Hash,8,4,0.01184
Shfl Unroll 2,8,4,0.012
Shfl Unroll,8,4,0.010176
Shfl Sort Search,8,4,0.014048
Nested Shm,8,4,0.04064
Nested Shfl,8,4,0.011776
Shfl Hash,8,4,0.011264
Shfl Unroll 2,8,4,0.011392
Shfl Unroll,8,4,0.010336
Shfl Sort Search,8,4,0.014912
Nested Shm,16,4,0.042368
Nested Shfl,16,4,0.0128
Shfl Hash,16,4,0.012096
