type,number_of_arrays,array_size,time
Nested Shm,2,8,0.04512
Nested Shfl,2,8,0.0208
Shfl Hash,2,8,0.017344
Shfl Unroll 2,2,8,0.018496
Shfl Unroll,2,8,0.018944
Shfl Sort Search,2,8,0.042432
Nested Shm,2,8,0.037376
Nested Shfl,2,8,0.019072
Shfl Hash,2,8,0.015872
Shfl Unroll 2,2,8,0.017792
Shfl Unroll,2,8,0.018432
Shfl Sort Search,2,8,0.039392
Nested Shm,2,8,0.036224
Nested Shfl,2,8,0.019008
Shfl Hash,2,8,0.015584
Shfl Unroll 2,2,8,0.017344
Shfl Unroll,2,8,0.017536
Shfl Sort Search,2,8,0.04032
Nested Shm,4,8,0.039232
Nested Shfl,4,8,0.018912
Shfl Hash,4,8,0.01536
Shfl Unroll 2,4,8,0.018688
Shfl Unroll,4,8,0.017344
Shfl Sort Search,4,8,0.04096
Nested Shm,4,8,0.038496
Nested Shfl,4,8,0.018752
Shfl Hash,4,8,0.015168
Shfl Unroll 2,4,8,0.018208
Shfl Unroll,4,8,0.017408
Shfl Sort Search,4,8,0.044608
Nested Shm,4,8,0.039712
Nested Shfl,4,8,0.01824
Shfl Hash,4,8,0.014752
Shfl Unroll 2,4,8,0.01792
Shfl Unroll,4,8,0.017888
Shfl Sort Search,4,8,0.040192
Nested Shm,8,8,0.042464
Nested Shfl,8,8,0.019712
Shfl Hash,8,8,0.015296
Shfl Unroll 2,8,8,0.019072
Shfl Unroll,8,8,0.019072
Shfl Sort Search,8,8,0.04608
Nested Shm,8,8,0.040864
Nested Shfl,8,8,0.019264
Shfl Hash,8,8,0.015968
Shfl Unroll 2,8,8,0.018784
Shfl Unroll,8,8,0.019296
Shfl Sort Search,8,8,0.045664
Nested Shm,8,8,0.042336
Nested Shfl,8,8,0.018912
Shfl Hash,8,8,0.016032
Shfl Unroll 2,8,8,0.018528
Shfl Unroll,8,8,0.018624
Shfl Sort Search,8,8,0.050336
Nested Shm,16,8,0.044864
Nested Shfl,16,8,0.020288
Shfl Hash,16,8,0.015808
Shfl Unroll 2,16,8,0.019872
Shfl Unroll,16,8,0.021856
Shfl Sort Search,16,8,0.062304
Nested Shm,16,8,0.0448
Nested Shfl,16,8,0.019904
Shfl Hash,16,8,0.015776
Shfl Unroll 2,16,8,0.02048
Shfl Unroll,16,8,0.020992
Shfl Sort Search,16,8,0.057376
Nested Shm,16,8,0.046336
Nested Shfl,16,8,0.02032
Shfl Hash,16,8,0.015648
Shfl Unroll 2,16,8,0.0208
Shfl Unroll,16,8,0.020896
Shfl Sort Search,16,8,0.062848
Nested Shm,32,8,0.049696
Nested Shfl,32,8,0.021664
Shfl Hash,32,8,0.016608
Shfl Unroll 2,32,8,0.0224
Shfl Unroll,32,8,0.024384
Shfl Sort Search,32,8,0.079328
Nested Shm,32,8,0.050848
Nested Shfl,32,8,0.020576
Shfl Hash,32,8,0.016768
Shfl Unroll 2,32,8,0.022976
Shfl Unroll,32,8,0.023936
Shfl Sort Search,32,8,0.073184
Nested Shm,32,8,0.047968
Nested Shfl,32,8,0.02192
Shfl Hash,32,8,0.016768
Shfl Unroll 2,32,8,0.022752
Shfl Unroll,32,8,0.023232
Shfl Sort Search,32,8,0.094848
Nested Shm,64,8,0.049536
Nested Shfl,64,8,0.024736
Shfl Hash,64,8,0.019968
Shfl Unroll 2,64,8,0.027456
Shfl Unroll,64,8,0.029984
Shfl Sort Search,64,8,0.117376
Nested Shm,64,8,0.051232
Nested Shfl,64,8,0.025344
Shfl Hash,64,8,0.021088
Shfl Unroll 2,64,8,0.027168
Shfl Unroll,64,8,0.030112
Shfl Sort Search,64,8,0.12256
Nested Shm,64,8,0.057856
Nested Shfl,64,8,0.024736
Shfl Hash,64,8,0.021312
Shfl Unroll 2,64,8,0.026944
Shfl Unroll,64,8,0.029792
Shfl Sort Search,64,8,0.118368
Nested Shm,128,8,0.05424
Nested Shfl,128,8,0.028928
Shfl Hash,128,8,0.038336
Shfl Unroll 2,128,8,0.032512
Shfl Unroll,128,8,0.034368
Shfl Sort Search,128,8,0.167808
Nested Shm,128,8,0.053792
Nested Shfl,128,8,0.028352
Shfl Hash,128,8,0.038464
Shfl Unroll 2,128,8,0.03216
Shfl Unroll,128,8,0.034688
Shfl Sort Search,128,8,0.173472
Nested Shm,128,8,0.052288
Nested Shfl,128,8,0.02784
Shfl Hash,128,8,0.038304
