type,number_of_arrays,array_size,time
Nested Shm,2,16,0.057984
Nested Shfl,2,16,0.049376
Shfl Hash,2,16,0.03504
Shfl Unroll 2,2,16,0.049376
Shfl Unroll,2,16,0.048256
Shfl Sort Search,2,16,0.089056
Nested Shm,2,16,0.041696
Nested Shfl,2,16,0.046432
Shfl Hash,2,16,0.02752
Shfl Unroll 2,2,16,0.04848
Shfl Unroll,2,16,0.048352
Shfl Sort Search,2,16,0.088224
Nested Shm,2,16,0.043648
Nested Shfl,2,16,0.046272
Shfl Hash,2,16,0.030432
Shfl Unroll 2,2,16,0.0472
Shfl Unroll,2,16,0.046656
Shfl Sort Search,2,16,0.085664
Nested Shm,4,16,0.047872
Nested Shfl,4,16,0.045024
Shfl Hash,4,16,0.032256
Shfl Unroll 2,4,16,0.045568
Shfl Unroll,4,16,0.045152
Shfl Sort Search,4,16,0.101088
Nested Shm,4,16,0.048832
Nested Shfl,4,16,0.045024
Shfl Hash,4,16,0.028736
Shfl Unroll 2,4,16,0.046784
Shfl Unroll,4,16,0.046592
Shfl Sort Search,4,16,0.1016
Nested Shm,4,16,0.04816
Nested Shfl,4,16,0.045184
Shfl Hash,4,16,0.028384
Shfl Unroll 2,4,16,0.047072
Shfl Unroll,4,16,0.04576
Shfl Sort Search,4,16,0.09696
Nested Shm,8,16,0.056896
Nested Shfl,8,16,0.045504
Shfl Hash,8,16,0.030304
Shfl Unroll 2,8,16,0.048192
Shfl Unroll,8,16,0.04848
Shfl Sort Search,8,16,0.10352
Nested Shm,8,16,0.055136
Nested Shfl,8,16,0.045056
Shfl Hash,8,16,0.02752
Shfl Unroll 2,8,16,0.048608
Shfl Unroll,8,16,0.048608
Shfl Sort Search,8,16,0.10192
Nested Shm,8,16,0.057312
Nested Shfl,8,16,0.044736
Shfl Hash,8,16,0.027488
Shfl Unroll 2,8,16,0.050304
Shfl Unroll,8,16,0.049152
Shfl Sort Search,8,16,0.10176
Nested Shm,16,16,0.06592
Nested Shfl,16,16,0.04656
Shfl Hash,16,16,0.030784
Shfl Unroll 2,16,16,0.05184
Shfl Unroll,16,16,0.054176
Shfl Sort Search,16,16,0.144352
Nested Shm,16,16,0.06928
Nested Shfl,16,16,0.04752
Shfl Hash,16,16,0.029408
Shfl Unroll 2,16,16,0.052608
Shfl Unroll,16,16,0.055296
Shfl Sort Search,16,16,0.141824
Nested Shm,16,16,0.077248
Nested Shfl,16,16,0.047552
Shfl Hash,16,16,0.03248
Shfl Unroll 2,16,16,0.05392
Shfl Unroll,16,16,0.055872
Shfl Sort Search,16,16,0.1336
Nested Shm,32,16,0.079552
Nested Shfl,32,16,0.049824
Shfl Hash,32,16,0.029376
Shfl Unroll 2,32,16,0.059616
Shfl Unroll,32,16,0.064608
Shfl Sort Search,32,16,0.224512
Nested Shm,32,16,0.077344
Nested Shfl,32,16,0.050176
Shfl Hash,32,16,0.033248
Shfl Unroll 2,32,16,0.059712
Shfl Unroll,32,16,0.065024
Shfl Sort Search,32,16,0.228864
Nested Shm,32,16,0.08
Nested Shfl,32,16,0.050496
