timestamp, temperature_gpu, power_draw_w, power_limit_w, memory_used_mib, memory_free_mib
1641487019201341642, 37, 107, 350, 297, 25149
1641487019203644786, 37, 107, 350, 297, 25149
1641487019205478138, 37, 107, 350, 297, 25149
1641487019207319206, 37, 107, 350, 297, 25149
1641487019209208618, 37, 107, 350, 297, 25149
1641487019211076105, 37, 107, 350, 297, 25149
1641487019212989168, 37, 107, 350, 297, 25149
1641487019214889314, 37, 107, 350, 297, 25149
1641487019216751139, 37, 107, 350, 297, 25149
1641487019218602545, 37, 107, 350, 297, 25149
1641487019220453690, 37, 107, 350, 297, 25149
1641487019222299654, 37, 107, 350, 297, 25149
1641487019224199100, 37, 107, 350, 297, 25149
1641487019226106467, 37, 107, 350, 297, 25149
1641487019228020437, 37, 107, 350, 297, 25149
1641487019229893986, 37, 107, 350, 297, 25149
1641487019231736345, 37, 107, 350, 297, 25149
1641487019233565402, 37, 107, 350, 297, 25149
1641487019235403537, 37, 107, 350, 297, 25149
1641487019237293037, 37, 107, 350, 297, 25149
1641487019239182799, 37, 107, 350, 297, 25149
1641487019241073398, 37, 107, 350, 297, 25149
1641487019242974851, 37, 107, 350, 297, 25149
1641487019244864761, 37, 107, 350, 297, 25149
1641487019246702572, 37, 107, 350, 297, 25149
1641487019248533010, 37, 107, 350, 297, 25149
1641487019250360508, 37, 107, 350, 297, 25149
1641487019252263355, 37, 107, 350, 297, 25149
1641487019254154580, 37, 107, 350, 297, 25149
1641487019256069120, 37, 107, 350, 297, 25149
1641487019257870924, 37, 107, 350, 297, 25149
1641487019259676902, 37, 107, 350, 297, 25149
1641487019261516660, 37, 107, 350, 297, 25149
1641487019263363302, 37, 107, 350, 297, 25149
1641487019265255882, 37, 107, 350, 297, 25149
1641487019267073109, 37, 107, 350, 297, 25149
1641487019268925587, 37, 107, 350, 297, 25149
1641487019270767223, 37, 107, 350, 297, 25149
1641487019272597071, 37, 107, 350, 297, 25149
1641487019274425266, 37, 107, 350, 297, 25149
1641487019276299018, 37, 107, 350, 297, 25149
1641487019278101458, 37, 107, 350, 297, 25149
1641487019279952084, 37, 107, 350, 297, 25149
1641487019281842503, 37, 107, 350, 297, 25149
1641487019283680251, 37, 107, 350, 297, 25149
1641487019285499103, 37, 107, 350, 297, 25149
1641487019287387462, 37, 107, 350, 297, 25149
1641487019289227010, 37, 107, 350, 297, 25149
1641487019291081271, 37, 107, 350, 297, 25149
1641487019292975914, 37, 107, 350, 297, 25149
1641487019294864301, 37, 107, 350, 297, 25149
1641487019296719652, 37, 107, 350, 297, 25149
1641487019298529710, 37, 107, 350, 297, 25149
1641487019300353538, 37, 107, 350, 297, 25149
1641487019302219873, 37, 107, 350, 297, 25149
1641487019304119093, 37, 107, 350, 297, 25149
1641487019306003042, 37, 107, 350, 297, 25149
1641487019307823761, 37, 107, 350, 297, 25149
1641487019309658339, 37, 107, 350, 297, 25149
1641487019311476026, 37, 107, 350, 297, 25149
1641487019313341289, 37, 107, 350, 297, 25149
1641487019315226088, 37, 107, 350, 297, 25149
1641487019317086736, 37, 107, 350, 297, 25149
1641487019318970375, 37, 107, 350, 297, 25149
1641487019320803250, 37, 107, 350, 297, 25149
1641487019322619758, 37, 107, 350, 297, 25149
1641487019324425112, 37, 107, 350, 297, 25149
1641487019326291354, 37, 107, 350, 297, 25149
1641487019328183363, 37, 107, 350, 297, 25149
1641487019330048669, 37, 107, 350, 297, 25149
1641487019331949329, 37, 107, 350, 297, 25149
