timesteptype, temperature_gpu, power_draw_w, power_limit_w, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 38, shm_nested, 48, 350,1695,9501,1695
1, 38, shm_nested, 48, 350,1695,9501,1695
2, 38, shm_nested, 48, 350,1695,9501,1695
3, 38, shm_nested, 53, 350,1695,9501,1695
4, 38, shm_nested, 53, 350,1695,9501,1695
5, 38, shm_nested, 53, 350,1695,9501,1695
6, 38, shm_nested, 53, 350,1695,9501,1695
7, 38, shm_nested, 53, 350,1695,9501,1695
8, 38, shm_nested, 53, 350,1695,9501,1695
9, 38, shm_nested, 53, 350,1695,9501,1695
10, 38, shm_nested, 53, 350,1695,9501,1695
11, 38, shm_nested, 53, 350,1695,9501,1695
12, 38, shm_nested, 53, 350,1695,9501,1695
13, 38, shm_nested, 53, 350,1695,9501,1695
14, 38, shm_nested, 53, 350,1695,9501,1695
15, 38, shm_nested, 53, 350,1695,9501,1695
16, 38, shm_nested, 53, 350,1695,9501,1695
17, 38, shm_nested, 53, 350,1695,9501,1695
18, 38, shm_nested, 53, 350,1695,9501,1695
19, 38, shm_nested, 53, 350,1695,9501,1695
20, 38, shm_nested, 53, 350,1695,9501,1695
21, 38, shm_nested, 53, 350,1695,9501,1695
22, 38, shm_nested, 53, 350,1695,9501,1695
23, 38, shm_nested, 53, 350,1695,9501,1695
24, 38, shm_nested, 53, 350,1695,9501,1695
25, 38, shm_nested, 53, 350,1695,9501,1695
26, 38, shm_nested, 53, 350,1695,9501,1695
27, 38, shm_nested, 53, 350,1695,9501,1695
28, 38, shm_nested, 53, 350,1695,9501,1695
29, 38, shm_nested, 53, 350,1695,9501,1695
30, 38, shm_nested, 53, 350,1695,9501,1695
31, 38, shm_nested, 53, 350,1695,9501,1695
32, 38, shm_nested, 53, 350,1695,9501,1695
33, 38, shm_nested, 53, 350,1695,9501,1695
34, 38, shm_nested, 53, 350,1695,9501,1695
35, 38, shm_nested, 53, 350,1695,9501,1695
36, 38, shm_nested, 53, 350,1695,9501,1695
37, 38, shm_nested, 53, 350,1695,9501,1695
38, 38, shm_nested, 58, 350,1695,9501,1695
39, 38, shm_nested, 58, 350,1695,9501,1695
40, 38, shm_nested, 58, 350,1695,9501,1695
41, 38, shm_nested, 58, 350,1695,9501,1695
42, 38, shm_nested, 58, 350,1695,9501,1695
43, 38, shm_nested, 58, 350,1695,9501,1695
44, 38, shm_nested, 58, 350,1695,9501,1695
45, 38, shm_nested, 58, 350,1695,9501,1695
46, 38, shm_nested, 58, 350,1695,9501,1695
47, 38, shm_nested, 58, 350,1695,9501,1695
48, 38, shm_nested, 58, 350,1695,9501,1695
49, 38, shm_nested, 58, 350,1695,9501,1695
50, 38, shm_nested, 58, 350,1695,9501,1695
51, 38, shm_nested, 58, 350,1695,9501,1695
52, 38, shm_nested, 58, 350,1695,9501,1695
53, 38, shm_nested, 58, 350,1695,9501,1695
54, 38, shm_nested, 58, 350,1695,9501,1695
55, 38, shm_nested, 58, 350,1695,9501,1695
56, 38, shm_nested, 58, 350,1695,9501,1695
57, 38, shm_nested, 58, 350,1695,9501,1695
58, 38, shm_nested, 58, 350,1695,9501,1695
59, 38, shm_nested, 58, 350,1695,9501,1695
60, 38, shm_nested, 58, 350,1695,9501,1695
61, 38, shm_nested, 58, 350,1695,9501,1695
62, 38, shm_nested, 58, 350,1695,9501,1695
63, 38, shm_nested, 62, 350,1695,9501,1695
64, 38, shm_nested, 62, 350,1695,9501,1695
65, 38, shm_nested, 62, 350,1695,9501,1695
66, 38, shm_nested, 62, 350,1695,9501,1695
67, 38, shm_nested, 62, 350,1695,9501,1695
68, 38, shm_nested, 62, 350,1695,9501,1695
69, 38, shm_nested, 62, 350,1695,9501,1695
70, 38, shm_nested, 62, 350,1695,9501,1695
71, 38, shm_nested, 62, 350,1695,9501,1695
72, 38, shm_nested, 62, 350,1695,9501,1695
73, 38, shm_nested, 62, 350,1695,9501,1695
74, 38, shm_nested, 62, 350,1695,9501,1695
75, 38, shm_nested, 62, 350,1695,9501,1695
76, 38, shm_nested, 62, 350,1695,9501,1695
77, 38, shm_nested, 62, 350,1695,9501,1695
78, 38, shm_nested, 62, 350,1695,9501,1695
79, 38, shm_nested, 62, 350,1695,9501,1695
80, 38, shm_nested, 62, 350,1695,9501,1695
81, 38, shm_nested, 62, 350,1695,9501,1695
82, 38, shm_nested, 62, 350,1695,9501,1695
83, 38, shm_nested, 62, 350,1695,9501,1695
84, 38, shm_nested, 62, 350,1695,9501,1695
85, 38, shm_nested, 62, 350,1695,9501,1695
86, 38, shm_nested, 62, 350,1695,9501,1695
87, 38, shm_nested, 62, 350,1695,9501,1695
88, 38, shm_nested, 62, 350,1695,9501,1695
89, 38, shm_nested, 62, 350,1695,9501,1695
90, 38, shm_nested, 62, 350,1695,9501,1695
91, 38, shm_nested, 62, 350,1695,9501,1695
92, 38, shm_nested, 62, 350,1695,9501,1695
93, 38, shm_nested, 62, 350,1695,9501,1695
94, 38, shm_nested, 62, 350,1695,9501,1695
95, 38, shm_nested, 62, 350,1695,9501,1695
96, 38, shm_nested, 62, 350,1695,9501,1695
97, 38, shm_nested, 62, 350,1695,9501,1695
98, 38, shm_nested, 62, 350,1695,9501,1695
99, 38, shm_nested, 62, 350,1695,9501,1695
100, 38, shm_nested, 62, 350,1695,9501,1695
101, 38, shm_nested, 66, 350,1695,9501,1695
