type,number_of_arrays,array_size,time
1,2,4,0.032512
2,2,4,0.009408
3,2,4,0.00672
4,2,4,0.010368
1,2,4,0.031328
2,2,4,0.009472
3,2,4,0.006624
4,2,4,0.009824
1,2,4,0.030976
2,2,4,0.009472
3,2,4,0.006848
4,2,4,0.009824
1,4,4,0.03072
2,4,4,0.010016
3,4,4,0.006784
4,4,4,0.010656
1,4,4,0.031424
2,4,4,0.00944
3,4,4,0.007776
4,4,4,0.010176
1,4,4,0.034592
2,4,4,0.010272
3,4,4,0.006976
4,4,4,0.010752
1,8,4,0.03344
2,8,4,0.010016
3,8,4,0.008672
4,8,4,0.009472
1,8,4,0.033408
2,8,4,0.009824
3,8,4,0.008992
4,8,4,0.00928
1,8,4,0.034016
2,8,4,0.009984
3,8,4,0.008384
4,8,4,0.009344
1,16,4,0.035264
2,16,4,0.010208
3,16,4,0.00992
4,16,4,0.009728
1,16,4,0.034272
2,16,4,0.010112
3,16,4,0.009824
4,16,4,0.009568
1,16,4,0.03504
2,16,4,0.010464
3,16,4,0.009728
4,16,4,0.009824
1,32,4,0.03632
2,32,4,0.0104
3,32,4,0.010944
4,32,4,0.009248
1,32,4,0.035296
2,32,4,0.010496
3,32,4,0.010752
4,32,4,0.009696
1,32,4,0.033888
2,32,4,0.011424
3,32,4,0.010624
4,32,4,0.01008
1,64,4,0.035392
2,64,4,0.01184
3,64,4,0.012448
4,64,4,0.010464
1,64,4,0.035136
2,64,4,0.011648
3,64,4,0.01376
4,64,4,0.010848
1,64,4,0.035104
2,64,4,0.01184
3,64,4,0.01312
4,64,4,0.010592
1,128,4,0.043264
2,128,4,0.013696
3,128,4,0.01472
4,128,4,0.012608
1,128,4,0.039488
2,128,4,0.01456
3,128,4,0.014688
4,128,4,0.013984
1,128,4,0.039008
2,128,4,0.013504
3,128,4,0.013952
4,128,4,0.012096
1,256,4,0.038912
2,256,4,0.01504
3,256,4,0.03184
4,256,4,0.021984
1,256,4,0.039808
2,256,4,0.01456
3,256,4,0.030528
4,256,4,0.021632
1,256,4,0.041024
2,256,4,0.015104
3,256,4,0.03232
4,256,4,0.022688
1,512,4,0.051936
2,512,4,0.020384
3,512,4,0.041824
4,512,4,0.031776
1,512,4,0.052192
2,512,4,0.021792
3,512,4,0.041888
4,512,4,0.032832
1,512,4,0.055168
2,512,4,0.020096
3,512,4,0.04128
4,512,4,0.032256
1,1024,4,0.064128
2,1024,4,0.029504
3,1024,4,0.05552
4,1024,4,0.0416
1,1024,4,0.06464
2,1024,4,0.029312
3,1024,4,0.055136
4,1024,4,0.040672
1,1024,4,0.064864
2,1024,4,0.029344
3,1024,4,0.054784
4,1024,4,0.040704
