type,number_of_arrays,array_size,time
1,2,24,0.046112
2,2,24,0.089856
3,2,24,0.029376
4,2,24,0.052608
1,2,24,0.043008
2,2,24,0.088768
3,2,24,0.030304
4,2,24,0.052992
1,2,24,0.049888
2,2,24,0.089504
3,2,24,0.027136
4,2,24,0.05376
1,4,24,0.05456
2,4,24,0.086144
3,4,24,0.0408
4,4,24,0.06208
1,4,24,0.058144
2,4,24,0.086112
3,4,24,0.043904
4,4,24,0.063008
1,4,24,0.053984
2,4,24,0.085024
3,4,24,0.036992
4,4,24,0.06432
1,8,24,0.073728
2,8,24,0.084704
3,8,24,0.047136
4,8,24,0.0552
1,8,24,0.074208
2,8,24,0.084544
3,8,24,0.04448
4,8,24,0.053856
1,8,24,0.072992
2,8,24,0.083648
3,8,24,0.041888
4,8,24,0.053696
1,16,24,0.094304
2,16,24,0.086176
3,16,24,0.054592
4,16,24,0.059872
1,16,24,0.094912
2,16,24,0.086304
3,16,24,0.061312
4,16,24,0.068544
1,16,24,0.09552
2,16,24,0.086688
3,16,24,0.056
4,16,24,0.064928
1,32,24,0.11584
2,32,24,0.093216
3,32,24,0.065728
4,32,24,0.0664
1,32,24,0.11328
2,32,24,0.091808
3,32,24,0.05952
4,32,24,0.073184
1,32,24,0.116352
2,32,24,0.090944
3,32,24,0.066432
4,32,24,0.068864
1,64,24,0.137088
2,64,24,0.117728
3,64,24,0.167168
4,64,24,0.148576
1,64,24,0.135616
2,64,24,0.118048
3,64,24,0.149184
4,64,24,0.143712
1,64,24,0.143968
2,64,24,0.119552
3,64,24,0.144544
4,64,24,0.136416
1,128,24,0.234816
2,128,24,0.215136
3,128,24,0.175424
4,128,24,0.163104
1,128,24,0.23648
2,128,24,0.214112
3,128,24,0.172768
4,128,24,0.160832
1,128,24,0.232704
2,128,24,0.213632
3,128,24,0.171104
4,128,24,0.159296
1,256,24,0.43888
2,256,24,0.390176
3,256,24,0.21248
4,256,24,0.186048
1,256,24,0.438816
2,256,24,0.387328
3,256,24,0.212
4,256,24,0.184416
1,256,24,0.444832
2,256,24,0.387968
3,256,24,0.21376
4,256,24,0.188064
1,512,24,0.562112
2,512,24,0.489888
3,512,24,0.2792
4,512,24,0.22304
1,512,24,0.558944
2,512,24,0.492128
3,512,24,0.28192
4,512,24,0.22464
1,512,24,0.55968
2,512,24,0.492224
3,512,24,0.278112
4,512,24,0.220768
1,1024,24,0.655104
2,1024,24,0.542624
3,1024,24,0.410144
4,1024,24,0.320864
1,1024,24,0.655424
2,1024,24,0.541568
3,1024,24,0.4096
4,1024,24,0.31952
1,1024,24,0.655744
2,1024,24,0.540384
3,1024,24,0.411712
4,1024,24,0.32112
