type,number_of_arrays,array_size,time
1,2,8,0.032832
2,2,8,0.017664
3,2,8,0.006464
4,2,8,0.015008
1,2,8,0.02976
2,2,8,0.017952
3,2,8,0.007104
4,2,8,0.013856
1,2,8,0.03152
2,2,8,0.016896
3,2,8,0.007776
4,2,8,0.014784
1,4,8,0.032608
2,4,8,0.016512
3,4,8,0.008448
4,4,8,0.013952
1,4,8,0.032992
2,4,8,0.016736
3,4,8,0.008576
4,4,8,0.013504
1,4,8,0.032384
2,4,8,0.016704
3,4,8,0.00864
4,4,8,0.014656
1,8,8,0.034688
2,8,8,0.017664
3,8,8,0.011296
4,8,8,0.015072
1,8,8,0.038176
2,8,8,0.016512
3,8,8,0.010976
4,8,8,0.014816
1,8,8,0.03568
2,8,8,0.016256
3,8,8,0.010848
4,8,8,0.015008
1,16,8,0.039808
2,16,8,0.017824
3,16,8,0.013248
4,16,8,0.014624
1,16,8,0.039776
2,16,8,0.017856
3,16,8,0.013792
4,16,8,0.015424
1,16,8,0.04032
2,16,8,0.018624
3,16,8,0.01312
4,16,8,0.014752
1,32,8,0.04272
2,32,8,0.01968
3,32,8,0.014496
4,32,8,0.015232
1,32,8,0.04208
2,32,8,0.019776
3,32,8,0.014496
4,32,8,0.015456
1,32,8,0.043968
2,32,8,0.018912
3,32,8,0.014656
4,32,8,0.014976
1,64,8,0.043744
2,64,8,0.023584
3,64,8,0.023872
4,64,8,0.019488
1,64,8,0.045792
2,64,8,0.023008
3,64,8,0.018592
4,64,8,0.021248
1,64,8,0.04496
2,64,8,0.023136
3,64,8,0.024736
4,64,8,0.022336
1,128,8,0.046848
2,128,8,0.026464
3,128,8,0.050016
4,128,8,0.038336
1,128,8,0.04656
2,128,8,0.027232
3,128,8,0.047904
4,128,8,0.03872
1,128,8,0.049408
2,128,8,0.026496
3,128,8,0.050144
4,128,8,0.039712
1,256,8,0.068096
2,256,8,0.043552
3,256,8,0.06576
4,256,8,0.0552
1,256,8,0.0664
2,256,8,0.041984
3,256,8,0.066976
4,256,8,0.053664
1,256,8,0.069888
2,256,8,0.041888
3,256,8,0.065952
4,256,8,0.053344
1,512,8,0.103328
2,512,8,0.066592
3,512,8,0.084224
4,512,8,0.063712
1,512,8,0.100896
2,512,8,0.066976
3,512,8,0.083936
4,512,8,0.064224
1,512,8,0.101536
2,512,8,0.067584
3,512,8,0.08208
4,512,8,0.063552
1,1024,8,0.124512
2,1024,8,0.082368
3,1024,8,0.11712
4,1024,8,0.090272
1,1024,8,0.12544
2,1024,8,0.0824
3,1024,8,0.117408
4,1024,8,0.088896
1,1024,8,0.125664
2,1024,8,0.082688
3,1024,8,0.117248
4,1024,8,0.090272
