type,number_of_arrays,array_size,time
0,8,4,0.040864
1,8,4,0.009824
0,8,4,0.032832
1,8,4,0.00976
0,8,4,0.03488
1,8,4,0.01008
0,16,4,0.036
1,16,4,0.010272
0,16,4,0.03392
1,16,4,0.011584
0,16,4,0.033536
1,16,4,0.010592
0,24,4,0.038176
1,24,4,0.019552
0,24,4,0.037248
1,24,4,0.011328
0,24,4,0.034848
1,24,4,0.011072
0,32,4,0.037024
1,32,4,0.010368
0,32,4,0.036128
1,32,4,0.011232
0,32,4,0.03632
1,32,4,0.011264
0,40,4,0.036384
1,40,4,0.011136
0,40,4,0.03792
1,40,4,0.01136
0,40,4,0.037408
1,40,4,0.011424
0,48,4,0.037056
1,48,4,0.011488
0,48,4,0.035232
1,48,4,0.011712
0,48,4,0.035616
1,48,4,0.011008
0,56,4,0.037696
1,56,4,0.011328
0,56,4,0.036384
1,56,4,0.01168
0,56,4,0.035552
1,56,4,0.011104
0,64,4,0.03568
1,64,4,0.01296
0,64,4,0.037472
1,64,4,0.012096
0,64,4,0.03872
1,64,4,0.011904
0,72,4,0.038016
1,72,4,0.0128
0,72,4,0.03744
1,72,4,0.01248
0,72,4,0.036896
1,72,4,0.01184
0,80,4,0.038432
1,80,4,0.012288
0,80,4,0.036928
1,80,4,0.011872
0,80,4,0.040544
1,80,4,0.012384
0,88,4,0.0376
1,88,4,0.012352
0,88,4,0.03936
1,88,4,0.012
0,88,4,0.038944
1,88,4,0.012288
0,96,4,0.036608
1,96,4,0.012832
0,96,4,0.038496
1,96,4,0.01312
0,96,4,0.036512
1,96,4,0.013888
0,104,4,0.037568
1,104,4,0.014304
0,104,4,0.038176
1,104,4,0.01408
0,104,4,0.035936
1,104,4,0.013536
0,112,4,0.038432
1,112,4,0.013664
0,112,4,0.038944
1,112,4,0.013632
0,112,4,0.037664
1,112,4,0.013408
0,120,4,0.038528
1,120,4,0.013184
0,120,4,0.039264
1,120,4,0.013504
0,120,4,0.052544
1,120,4,0.0136
0,128,4,0.039008
1,128,4,0.013248
0,128,4,0.037568
1,128,4,0.013952
0,128,4,0.049792
1,128,4,0.013504
0,136,4,0.038752
1,136,4,0.01344
0,136,4,0.037408
1,136,4,0.013632
0,136,4,0.03856
1,136,4,0.01376
0,144,4,0.041216
1,144,4,0.013408
0,144,4,0.038912
1,144,4,0.013472
0,144,4,0.038784
1,144,4,0.0136
0,152,4,0.037568
1,152,4,0.013216
0,152,4,0.042848
1,152,4,0.014272
0,152,4,0.04096
1,152,4,0.013952
0,160,4,0.038688
1,160,4,0.014912
0,160,4,0.040864
1,160,4,0.014528
0,160,4,0.0392
1,160,4,0.014752
0,168,4,0.03936
1,168,4,0.015264
0,168,4,0.038656
1,168,4,0.015392
0,168,4,0.037888
1,168,4,0.015264
0,176,4,0.056128
1,176,4,0.014912
0,176,4,0.041216
1,176,4,0.014528
0,176,4,0.038336
1,176,4,0.015104
0,184,4,0.041568
