timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1649096281157929824,56, shfl_hash, 112225, 350000,1395,9501,1395
1, 1649096281161524471,56, shfl_hash, 112225, 350000,1395,9501,1395
2, 1649096281166148100,56, shfl_hash, 112225, 350000,1395,9501,1395
3, 1649096281174897913,56, shfl_hash, 112225, 350000,1395,9501,1395
4, 1649096281177809203,56, shfl_hash, 112225, 350000,1395,9501,1395
5, 1649096281180701262,56, shfl_hash, 112225, 350000,1395,9501,1395
6, 1649096281183581220,56, shfl_hash, 112225, 350000,1395,9501,1395
7, 1649096281188328862,56, shfl_hash, 112225, 350000,1395,9501,1395
8, 1649096281192846188,56, shfl_hash, 112225, 350000,1395,9501,1395
9, 1649096281196014342,56, shfl_hash, 112225, 350000,1395,9501,1395
10, 1649096281198888204,56, shfl_hash, 112225, 350000,1395,9501,1395
11, 1649096281201759985,56, shfl_hash, 112225, 350000,1395,9501,1395
12, 1649096281204630017,56, shfl_hash, 112225, 350000,1395,9501,1395
13, 1649096281209229945,56, shfl_hash, 112225, 350000,1395,9501,1395
14, 1649096281214318024,56, shfl_hash, 112225, 350000,1395,9501,1395
15, 1649096281217273577,56, shfl_hash, 112225, 350000,1395,9501,1395
16, 1649096281220179856,56, shfl_hash, 112225, 350000,1395,9501,1395
17, 1649096281223092182,56, shfl_hash, 112225, 350000,1395,9501,1395
18, 1649096281225972894,56, shfl_hash, 112225, 350000,1395,9501,1395
19, 1649096281230523258,56, shfl_hash, 112225, 350000,1395,9501,1395
20, 1649096281235304527,56, shfl_hash, 112225, 350000,1395,9501,1395
21, 1649096281238234806,56, shfl_hash, 112225, 350000,1395,9501,1395
22, 1649096281241124974,56, shfl_hash, 112225, 350000,1395,9501,1395
23, 1649096281244003646,56, shfl_hash, 112225, 350000,1395,9501,1395
24, 1649096281247246135,56, shfl_hash, 112225, 350000,1395,9501,1395
25, 1649096281251506777,56, shfl_hash, 112215, 350000,1395,9501,1395
26, 1649096281260848720,56, shfl_hash, 112215, 350000,1395,9501,1395
27, 1649096281263817284,56, shfl_hash, 112215, 350000,1395,9501,1395
28, 1649096281266710276,56, shfl_hash, 112215, 350000,1395,9501,1395
29, 1649096281269565617,56, shfl_hash, 112215, 350000,1395,9501,1395
30, 1649096281274235059,56, shfl_hash, 112215, 350000,1395,9501,1395
31, 1649096281282642223,56, shfl_hash, 112215, 350000,1395,9501,1395
32, 1649096281285523764,56, shfl_hash, 112215, 350000,1395,9501,1395
33, 1649096281288375105,56, shfl_hash, 112215, 350000,1395,9501,1395
34, 1649096281291252697,56, shfl_hash, 112215, 350000,1395,9501,1395
35, 1649096281295909864,56, shfl_hash, 112215, 350000,1395,9501,1395
36, 1649096281300390132,56, shfl_hash, 112215, 350000,1395,9501,1395
37, 1649096281303422688,56, shfl_hash, 112215, 350000,1395,9501,1395
38, 1649096281306301413,56, shfl_hash, 112215, 350000,1395,9501,1395
39, 1649096281309157387,56, shfl_hash, 112215, 350000,1395,9501,1395
40, 1649096281312014435,56, shfl_hash, 112215, 350000,1395,9501,1395
41, 1649096281316541888,56, shfl_hash, 112215, 350000,1395,9501,1395
42, 1649096281321443976,56, shfl_hash, 112215, 350000,1395,9501,1395
43, 1649096281324399590,56, shfl_hash, 112215, 350000,1395,9501,1395
44, 1649096281327255911,56, shfl_hash, 112215, 350000,1395,9501,1395
45, 1649096281330116295,56, shfl_hash, 112215, 350000,1395,9501,1395
46, 1649096281332997120,56, shfl_hash, 112215, 350000,1395,9501,1395
47, 1649096281336944255,56, shfl_hash, 112215, 350000,1395,9501,1395
48, 1649096281341706554,56, shfl_hash, 112215, 350000,1395,9501,1395
49, 1649096281344759408,56, shfl_hash, 112215, 350000,1395,9501,1395
50, 1649096281347639570,56, shfl_hash, 112215, 350000,1395,9501,1395
51, 1649096281350513142,56, shfl_hash, 112215, 350000,1395,9501,1395
