timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1644368983287657414,38, shfl_nested, 108647, 350000,1695,9501,1695
1, 1644368983290810396,38, shfl_nested, 108647, 350000,1695,9501,1695
2, 1644368983293111980,38, shfl_nested, 108647, 350000,1695,9501,1695
3, 1644368983295707020,38, shfl_nested, 108647, 350000,1695,9501,1695
4, 1644368983297995814,38, shfl_nested, 108647, 350000,1695,9501,1695
5, 1644368983300472773,38, shfl_nested, 108647, 350000,1695,9501,1695
6, 1644368983302761392,38, shfl_nested, 108647, 350000,1695,9501,1695
7, 1644368983305773652,38, shfl_nested, 108647, 350000,1695,9501,1695
8, 1644368983309776575,38, shfl_nested, 108647, 350000,1695,9501,1695
9, 1644368983314185157,38, shfl_nested, 108647, 350000,1695,9501,1695
10, 1644368983316565258,38, shfl_nested, 108647, 350000,1695,9501,1695
11, 1644368983318857082,38, shfl_nested, 108647, 350000,1695,9501,1695
12, 1644368983321159622,38, shfl_nested, 108647, 350000,1695,9501,1695
13, 1644368983323440529,38, shfl_nested, 108647, 350000,1695,9501,1695
14, 1644368983325713579,38, shfl_nested, 108647, 350000,1695,9501,1695
15, 1644368983329776075,38, shfl_nested, 108647, 350000,1695,9501,1695
16, 1644368983334003722,38, shfl_nested, 108647, 350000,1695,9501,1695
17, 1644368983336579361,38, shfl_nested, 108647, 350000,1695,9501,1695
18, 1644368983338862673,38, shfl_nested, 108647, 350000,1695,9501,1695
19, 1644368983341146845,38, shfl_nested, 108647, 350000,1695,9501,1695
20, 1644368983343585266,38, shfl_nested, 108647, 350000,1695,9501,1695
21, 1644368983346269745,38, shfl_nested, 108647, 350000,1695,9501,1695
22, 1644368983349864447,38, shfl_nested, 109069, 350000,1695,9501,1695
23, 1644368983354864598,38, shfl_nested, 109069, 350000,1695,9501,1695
24, 1644368983358652617,38, shfl_nested, 109069, 350000,1695,9501,1695
25, 1644368983360945119,38, shfl_nested, 109069, 350000,1695,9501,1695
26, 1644368983363258964,38, shfl_nested, 109069, 350000,1695,9501,1695
27, 1644368983365562439,38, shfl_nested, 109069, 350000,1695,9501,1695
28, 1644368983367843793,38, shfl_nested, 109069, 350000,1695,9501,1695
29, 1644368983371561572,38, shfl_nested, 109069, 350000,1695,9501,1695
30, 1644368983375676966,38, shfl_nested, 109069, 350000,1695,9501,1695
31, 1644368983379598593,38, shfl_nested, 109069, 350000,1695,9501,1695
32, 1644368983381860522,38, shfl_nested, 109069, 350000,1695,9501,1695
33, 1644368983384128656,38, shfl_nested, 109069, 350000,1695,9501,1695
34, 1644368983386402454,38, shfl_nested, 109069, 350000,1695,9501,1695
35, 1644368983388794830,38, shfl_nested, 109069, 350000,1695,9501,1695
36, 1644368983391891910,38, shfl_nested, 109069, 350000,1695,9501,1695
37, 1644368983395977476,38, shfl_nested, 109069, 350000,1695,9501,1695
38, 1644368983399931103,38, shfl_nested, 109069, 350000,1695,9501,1695
39, 1644368983402279382,38, shfl_nested, 109069, 350000,1695,9501,1695
40, 1644368983404574302,38, shfl_nested, 109069, 350000,1695,9501,1695
41, 1644368983406860367,38, shfl_nested, 109069, 350000,1695,9501,1695
42, 1644368983409126562,38, shfl_nested, 109069, 350000,1695,9501,1695
43, 1644368983411398746,38, shfl_nested, 109069, 350000,1695,9501,1695
44, 1644368983415299812,38, shfl_nested, 109069, 350000,1695,9501,1695
45, 1644368983419418858,38, shfl_nested, 109069, 350000,1695,9501,1695
46, 1644368983423172666,38, shfl_nested, 109069, 350000,1695,9501,1695
47, 1644368983425466553,38, shfl_nested, 109069, 350000,1695,9501,1695
48, 1644368983427752554,38, shfl_nested, 109069, 350000,1695,9501,1695
49, 1644368983430037748,38, shfl_nested, 109069, 350000,1695,9501,1695
50, 1644368983432332768,38, shfl_nested, 109069, 350000,1695,9501,1695
