timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1644787508394999454,35, coalescing_memory, 33718, 350000,1695,9501,1695
1, 1644787508399967845,35, coalescing_memory, 33718, 350000,1695,9501,1695
2, 1644787508403056273,35, coalescing_memory, 33718, 350000,1695,9501,1695
3, 1644787508405844078,35, coalescing_memory, 33718, 350000,1695,9501,1695
4, 1644787508408363405,35, coalescing_memory, 33718, 350000,1695,9501,1695
5, 1644787508410884541,35, coalescing_memory, 33718, 350000,1695,9501,1695
6, 1644787508413420284,35, coalescing_memory, 33718, 350000,1695,9501,1695
7, 1644787508416728420,35, coalescing_memory, 33718, 350000,1695,9501,1695
8, 1644787508421178938,35, coalescing_memory, 33718, 350000,1695,9501,1695
9, 1644787508424809551,35, coalescing_memory, 33718, 350000,1695,9501,1695
10, 1644787508427315557,35, coalescing_memory, 33718, 350000,1695,9501,1695
11, 1644787508429838890,35, coalescing_memory, 33718, 350000,1695,9501,1695
12, 1644787508432362257,35, coalescing_memory, 33718, 350000,1695,9501,1695
13, 1644787508434890113,35, coalescing_memory, 33718, 350000,1695,9501,1695
14, 1644787508438037506,35, coalescing_memory, 33718, 350000,1695,9501,1695
15, 1644787508442429798,35, coalescing_memory, 33718, 350000,1695,9501,1695
16, 1644787508446069908,35, coalescing_memory, 33718, 350000,1695,9501,1695
17, 1644787508448591278,35, coalescing_memory, 33718, 350000,1695,9501,1695
18, 1644787508451124524,35, coalescing_memory, 33718, 350000,1695,9501,1695
19, 1644787508453661324,35, coalescing_memory, 33718, 350000,1695,9501,1695
20, 1644787508456730556,35, coalescing_memory, 33718, 350000,1695,9501,1695
21, 1644787508460356638,35, coalescing_memory, 38891, 350000,1695,9501,1695
22, 1644787508465461389,35, coalescing_memory, 38891, 350000,1695,9501,1695
23, 1644787508474090374,35, coalescing_memory, 38891, 350000,1695,9501,1695
24, 1644787508476631115,35, coalescing_memory, 38891, 350000,1695,9501,1695
25, 1644787508479185725,35, coalescing_memory, 38891, 350000,1695,9501,1695
26, 1644787508483592298,35, coalescing_memory, 38891, 350000,1695,9501,1695
27, 1644787508488238055,35, coalescing_memory, 38891, 350000,1695,9501,1695
28, 1644787508491007771,35, coalescing_memory, 38891, 350000,1695,9501,1695
29, 1644787508493531896,35, coalescing_memory, 38891, 350000,1695,9501,1695
30, 1644787508496055896,35, coalescing_memory, 38891, 350000,1695,9501,1695
31, 1644787508498583510,35, coalescing_memory, 38891, 350000,1695,9501,1695
32, 1644787508501118943,35, coalescing_memory, 38891, 350000,1695,9501,1695
33, 1644787508505398513,35, coalescing_memory, 38891, 350000,1695,9501,1695
34, 1644787508510046365,35, coalescing_memory, 38891, 350000,1695,9501,1695
35, 1644787508512764805,35, coalescing_memory, 38891, 350000,1695,9501,1695
36, 1644787508515261517,35, coalescing_memory, 38891, 350000,1695,9501,1695
37, 1644787508517786501,35, coalescing_memory, 38891, 350000,1695,9501,1695
38, 1644787508520314110,35, coalescing_memory, 38891, 350000,1695,9501,1695
39, 1644787508523017827,35, coalescing_memory, 38891, 350000,1695,9501,1695
40, 1644787508527327431,35, coalescing_memory, 38891, 350000,1695,9501,1695
41, 1644787508531663356,35, coalescing_memory, 38891, 350000,1695,9501,1695
42, 1644787508534193913,35, coalescing_memory, 38891, 350000,1695,9501,1695
43, 1644787508536717749,35, coalescing_memory, 38891, 350000,1695,9501,1695
44, 1644787508539236695,35, coalescing_memory, 38891, 350000,1695,9501,1695
45, 1644787508541767302,35, coalescing_memory, 38891, 350000,1695,9501,1695
46, 1644787508544416667,35, coalescing_memory, 38891, 350000,1695,9501,1695
47, 1644787508548767163,35, coalescing_memory, 38891, 350000,1695,9501,1695
48, 1644787508553131514,35, coalescing_memory, 38891, 350000,1695,9501,1695
49, 1644787508556588600,35, coalescing_memory, 38891, 350000,1695,9501,1695
50, 1644787508559109967,35, coalescing_memory, 38891, 350000,1695,9501,1695
51, 1644787508561829157,35, coalescing_memory, 38891, 350000,1695,9501,1695
52, 1644787508564746091,35, coalescing_memory, 43390, 350000,1695,9501,1695
53, 1644787508568847718,35, coalescing_memory, 43390, 350000,1695,9501,1695
54, 1644787508573392731,35, coalescing_memory, 43390, 350000,1695,9501,1695
55, 1644787508576805375,35, coalescing_memory, 43390, 350000,1695,9501,1695
56, 1644787508579312899,35, coalescing_memory, 43390, 350000,1695,9501,1695
57, 1644787508581847312,35, coalescing_memory, 43390, 350000,1695,9501,1695
58, 1644787508584399516,35, coalescing_memory, 43390, 350000,1695,9501,1695
59, 1644787508586910368,35, coalescing_memory, 43390, 350000,1695,9501,1695
60, 1644787508591225185,35, coalescing_memory, 43390, 350000,1695,9501,1695
61, 1644787508599893338,35, coalescing_memory, 43390, 350000,1695,9501,1695
62, 1644787508602396694,35, coalescing_memory, 43390, 350000,1695,9501,1695
63, 1644787508605359083,35, coalescing_memory, 43390, 350000,1695,9501,1695
64, 1644787508607882356,35, coalescing_memory, 43390, 350000,1695,9501,1695
65, 1644787508612075391,35, coalescing_memory, 43390, 350000,1695,9501,1695
66, 1644787508617308841,35, coalescing_memory, 43390, 350000,1695,9501,1695
67, 1644787508619882345,35, coalescing_memory, 43390, 350000,1695,9501,1695
68, 1644787508622424442,35, coalescing_memory, 43390, 350000,1695,9501,1695
69, 1644787508624919438,35, coalescing_memory, 43390, 350000,1695,9501,1695
70, 1644787508627453211,35, coalescing_memory, 43390, 350000,1695,9501,1695
71, 1644787508629965861,35, coalescing_memory, 43390, 350000,1695,9501,1695
72, 1644787508634365167,35, coalescing_memory, 43390, 350000,1695,9501,1695
73, 1644787508638724142,35, coalescing_memory, 43390, 350000,1695,9501,1695
74, 1644787508641318443,35, coalescing_memory, 43390, 350000,1695,9501,1695
75, 1644787508643852630,35, coalescing_memory, 43390, 350000,1695,9501,1695
76, 1644787508646364699,35, coalescing_memory, 43390, 350000,1695,9501,1695
77, 1644787508648884912,36, coalescing_memory, 43390, 350000,1695,9501,1695
78, 1644787508651409619,36, coalescing_memory, 43390, 350000,1695,9501,1695
79, 1644787508655757904,36, coalescing_memory, 43390, 350000,1695,9501,1695
80, 1644787508660420452,36, coalescing_memory, 43390, 350000,1695,9501,1695
