timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1644977378764217089,34,matrixMul_compute,23488,350000,210,405,210
1,1644977378768285066,34,matrixMul_compute,23488,350000,210,405,210
2,1644977378771767474,34,matrixMul_compute,23488,350000,210,405,210
3,1644977378775240724,34,matrixMul_compute,23488,350000,210,405,210
4,1644977378778697601,34,matrixMul_compute,23488,350000,210,405,210
5,1644977378782173446,34,matrixMul_compute,23488,350000,210,405,210
6,1644977378785847265,34,matrixMul_compute,23488,350000,210,405,210
7,1644977378789340023,34,matrixMul_compute,23488,350000,210,405,210
8,1644977378792845927,34,matrixMul_compute,23488,350000,210,405,210
9,1644977378796289635,34,matrixMul_compute,23488,350000,210,405,210
10,1644977378799773188,34,matrixMul_compute,23488,350000,210,405,210
11,1644977378803244701,34,matrixMul_compute,23488,350000,210,405,210
12,1644977378806769114,34,matrixMul_compute,23488,350000,210,405,210
13,1644977378810287850,34,matrixMul_compute,23488,350000,210,405,210
14,1644977378813758173,34,matrixMul_compute,23488,350000,210,405,210
15,1644977378817213565,34,matrixMul_compute,23488,350000,210,405,210
16,1644977378820377472,34,matrixMul_compute,23488,350000,210,405,210
17,1644977378823824066,34,matrixMul_compute,23488,350000,210,405,210
18,1644977378827285977,34,matrixMul_compute,23488,350000,210,405,210
19,1644977378830782585,34,matrixMul_compute,23488,350000,210,405,210
20,1644977378834319198,34,matrixMul_compute,23488,350000,210,405,210
21,1644977378837805381,34,matrixMul_compute,23488,350000,210,405,210
22,1644977378841343524,34,matrixMul_compute,23488,350000,210,405,210
23,1644977378844864243,34,matrixMul_compute,23488,350000,210,405,210
24,1644977378848338943,34,matrixMul_compute,23488,350000,210,405,210
25,1644977378851965641,34,matrixMul_compute,23488,350000,210,405,210
26,1644977378855434479,34,matrixMul_compute,23488,350000,210,405,210
27,1644977378858915946,34,matrixMul_compute,23488,350000,210,405,210
28,1644977378862478799,35,matrixMul_compute,23488,350000,210,405,210
29,1644977378865926943,35,matrixMul_compute,23964,350000,210,405,210
30,1644977378869369403,35,matrixMul_compute,23964,350000,210,405,210
31,1644977378872930765,35,matrixMul_compute,23964,350000,210,405,210
32,1644977378876399790,35,matrixMul_compute,23964,350000,210,405,210
33,1644977378879841515,35,matrixMul_compute,23964,350000,210,405,210
34,1644977378883276860,35,matrixMul_compute,23964,350000,210,405,210
35,1644977378886728741,35,matrixMul_compute,23964,350000,210,405,210
36,1644977378890182975,35,matrixMul_compute,23964,350000,210,405,210
37,1644977378893820895,35,matrixMul_compute,23964,350000,210,405,210
38,1644977378897241157,35,matrixMul_compute,23964,350000,210,405,210
39,1644977378900325008,35,matrixMul_compute,23964,350000,210,405,210
40,1644977378903814551,35,matrixMul_compute,23964,350000,210,405,210
41,1644977378907256903,35,matrixMul_compute,23964,350000,210,405,210
42,1644977378910696010,35,matrixMul_compute,23964,350000,210,405,210
43,1644977378914134415,35,matrixMul_compute,23964,350000,210,405,210
44,1644977378917647325,35,matrixMul_compute,23964,350000,210,405,210
45,1644977378921211174,35,matrixMul_compute,23964,350000,210,405,210
46,1644977378924328131,35,matrixMul_compute,23964,350000,210,405,210
47,1644977378927814819,35,matrixMul_compute,23964,350000,210,405,210
48,1644977378931283669,35,matrixMul_compute,23964,350000,210,405,210
49,1644977378934757860,35,matrixMul_compute,23964,350000,210,405,210
50,1644977378938227418,35,matrixMul_compute,23964,350000,210,405,210
51,1644977378941708135,35,matrixMul_compute,23964,350000,210,405,210
52,1644977378945143269,35,matrixMul_compute,23964,350000,210,405,210
53,1644977378948554395,34,matrixMul_compute,23964,350000,210,405,210
54,1644977378952045216,34,matrixMul_compute,23964,350000,210,405,210
55,1644977378955505254,34,matrixMul_compute,23964,350000,210,405,210
56,1644977378959008052,34,matrixMul_compute,23964,350000,210,405,210
57,1644977378962474666,34,matrixMul_compute,23964,350000,210,405,210
58,1644977378965938741,34,matrixMul_compute,23964,350000,210,405,210
59,1644977378969683269,34,matrixMul_compute,23964,350000,210,405,210
60,1644977378973538962,34,matrixMul_compute,24398,350000,210,405,210
61,1644977378977040261,34,matrixMul_compute,24398,350000,210,405,210
62,1644977378981253071,34,matrixMul_compute,24398,350000,210,405,210
63,1644977378984693359,34,matrixMul_compute,24398,350000,210,405,210
64,1644977378988128472,34,matrixMul_compute,24398,350000,210,405,210
65,1644977378991585149,34,matrixMul_compute,24398,350000,210,405,210
66,1644977378995078434,34,matrixMul_compute,24398,350000,210,405,210
67,1644977378998535747,34,matrixMul_compute,24398,350000,210,405,210
68,1644977379002359395,34,matrixMul_compute,24398,350000,210,405,210
69,1644977379005824386,34,matrixMul_compute,24398,350000,210,405,210
70,1644977379009295332,34,matrixMul_compute,24398,350000,210,405,210
71,1644977379012746918,35,matrixMul_compute,24398,350000,210,405,210
72,1644977379016182841,35,matrixMul_compute,24398,350000,210,405,210
73,1644977379019621845,35,matrixMul_compute,24398,350000,210,405,210
74,1644977379023181781,35,matrixMul_compute,24398,350000,210,405,210
75,1644977379026491632,35,matrixMul_compute,24398,350000,210,405,210
76,1644977379029981096,35,matrixMul_compute,24398,350000,210,405,210
77,1644977379033439333,35,matrixMul_compute,24398,350000,210,405,210
78,1644977379036952889,35,matrixMul_compute,24398,350000,210,405,210
79,1644977379040471757,35,matrixMul_compute,24398,350000,210,405,210
80,1644977379044284249,35,matrixMul_compute,24398,350000,210,405,210
81,1644977379047772499,35,matrixMul_compute,24398,350000,210,405,210
