timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1644853232685720536,37,simpleCUFFT_hybrid,46789,350000,1695,9501,1695
1,1644853232688679418,37,simpleCUFFT_hybrid,46789,350000,1695,9501,1695
2,1644853232691327159,37,simpleCUFFT_hybrid,46789,350000,1695,9501,1695
3,1644853232694746981,37,simpleCUFFT_hybrid,46789,350000,1695,9501,1695
4,1644853232699097551,37,simpleCUFFT_hybrid,46789,350000,1695,9501,1695
5,1644853232702279948,37,simpleCUFFT_hybrid,46789,350000,1695,9501,1695
6,1644853232704917154,37,simpleCUFFT_hybrid,46789,350000,1695,9501,1695
7,1644853232707464804,37,simpleCUFFT_hybrid,46789,350000,1695,9501,1695
8,1644853232710015137,37,simpleCUFFT_hybrid,46789,350000,1695,9501,1695
9,1644853232712640787,37,simpleCUFFT_hybrid,46789,350000,1695,9501,1695
10,1644853232715878880,37,simpleCUFFT_hybrid,46789,350000,1695,9501,1695
11,1644853232720203826,37,simpleCUFFT_hybrid,46789,350000,1695,9501,1695
12,1644853232723933713,37,simpleCUFFT_hybrid,46789,350000,1695,9501,1695
13,1644853232726470101,37,simpleCUFFT_hybrid,46789,350000,1695,9501,1695
14,1644853232729011248,37,simpleCUFFT_hybrid,46789,350000,1695,9501,1695
15,1644853232731817465,37,simpleCUFFT_hybrid,46789,350000,1695,9501,1695
16,1644853232734503947,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
17,1644853232738296433,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
18,1644853232742839915,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
19,1644853232746986403,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
20,1644853232749529237,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
21,1644853232752080425,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
22,1644853232754675319,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
23,1644853232757228376,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
24,1644853232761698075,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
25,1644853232766585348,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
26,1644853232769161081,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
27,1644853232771721069,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
28,1644853232774310318,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
29,1644853232776844784,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
30,1644853232779758898,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
31,1644853232784127406,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
32,1644853232788061773,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
33,1644853232790823840,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
34,1644853232793359718,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
35,1644853232795856004,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
36,1644853232798379420,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
37,1644853232802041297,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
38,1644853232806587937,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
39,1644853232810102127,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
40,1644853232812649221,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
41,1644853232815236602,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
42,1644853232817873401,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
43,1644853232820399488,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
44,1644853232824016590,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
45,1644853232828486084,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
46,1644853232831622964,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
47,1644853232834247855,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
48,1644853232836874611,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
49,1644853232839648249,37,simpleCUFFT_hybrid,52038,350000,1695,9501,1695
50,1644853232842892176,37,simpleCUFFT_hybrid,56659,350000,1695,9501,1695
51,1644853232847152798,37,simpleCUFFT_hybrid,56659,350000,1695,9501,1695
52,1644853232855460026,37,simpleCUFFT_hybrid,56659,350000,1695,9501,1695
53,1644853232858023707,37,simpleCUFFT_hybrid,56659,350000,1695,9501,1695
54,1644853232860585534,37,simpleCUFFT_hybrid,56659,350000,1695,9501,1695
55,1644853232863189615,37,simpleCUFFT_hybrid,56659,350000,1695,9501,1695
56,1644853232866920431,37,simpleCUFFT_hybrid,56659,350000,1695,9501,1695
57,1644853232871587346,37,simpleCUFFT_hybrid,56659,350000,1695,9501,1695
58,1644853232875138471,37,simpleCUFFT_hybrid,56659,350000,1695,9501,1695
59,1644853232877777717,37,simpleCUFFT_hybrid,56659,350000,1695,9501,1695
60,1644853232880297428,37,simpleCUFFT_hybrid,56659,350000,1695,9501,1695
61,1644853232882827884,37,simpleCUFFT_hybrid,56659,350000,1695,9501,1695
62,1644853232885360983,37,simpleCUFFT_hybrid,56659,350000,1695,9501,1695
63,1644853232889751396,37,simpleCUFFT_hybrid,56659,350000,1695,9501,1695
