timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1644787176152990448,35, transpose_hybrid, 34302, 350000,1695,9501,1695
1, 1644787176156394402,35, transpose_hybrid, 34302, 350000,1695,9501,1695
2, 1644787176159105467,35, transpose_hybrid, 34302, 350000,1695,9501,1695
3, 1644787176161790087,35, transpose_hybrid, 34302, 350000,1695,9501,1695
4, 1644787176165615447,35, transpose_hybrid, 34302, 350000,1695,9501,1695
5, 1644787176175500075,35, transpose_hybrid, 34302, 350000,1695,9501,1695
6, 1644787176178202452,35, transpose_hybrid, 34302, 350000,1695,9501,1695
7, 1644787176180749679,35, transpose_hybrid, 34302, 350000,1695,9501,1695
8, 1644787176183460007,35, transpose_hybrid, 34302, 350000,1695,9501,1695
9, 1644787176187296451,35, transpose_hybrid, 34302, 350000,1695,9501,1695
10, 1644787176192826274,35, transpose_hybrid, 34302, 350000,1695,9501,1695
11, 1644787176195674717,35, transpose_hybrid, 34302, 350000,1695,9501,1695
12, 1644787176198400051,35, transpose_hybrid, 34302, 350000,1695,9501,1695
13, 1644787176201103972,35, transpose_hybrid, 34302, 350000,1695,9501,1695
14, 1644787176203799271,35, transpose_hybrid, 34302, 350000,1695,9501,1695
15, 1644787176206596680,35, transpose_hybrid, 34302, 350000,1695,9501,1695
16, 1644787176211249056,35, transpose_hybrid, 34302, 350000,1695,9501,1695
17, 1644787176216249258,35, transpose_hybrid, 34302, 350000,1695,9501,1695
18, 1644787176218946670,35, transpose_hybrid, 34302, 350000,1695,9501,1695
19, 1644787176221614900,35, transpose_hybrid, 34302, 350000,1695,9501,1695
20, 1644787176224292973,35, transpose_hybrid, 34302, 350000,1695,9501,1695
21, 1644787176226943773,35, transpose_hybrid, 34302, 350000,1695,9501,1695
22, 1644787176231246863,35, transpose_hybrid, 34302, 350000,1695,9501,1695
23, 1644787176235744164,35, transpose_hybrid, 34302, 350000,1695,9501,1695
24, 1644787176238592738,35, transpose_hybrid, 34302, 350000,1695,9501,1695
25, 1644787176241292015,35, transpose_hybrid, 34302, 350000,1695,9501,1695
26, 1644787176243985415,35, transpose_hybrid, 34302, 350000,1695,9501,1695
27, 1644787176246816738,35, transpose_hybrid, 34302, 350000,1695,9501,1695
28, 1644787176250281435,35, transpose_hybrid, 38253, 350000,1695,9501,1695
29, 1644787176254765119,35, transpose_hybrid, 38253, 350000,1695,9501,1695
30, 1644787176259014282,35, transpose_hybrid, 38253, 350000,1695,9501,1695
31, 1644787176261717495,35, transpose_hybrid, 38253, 350000,1695,9501,1695
32, 1644787176264414389,35, transpose_hybrid, 38253, 350000,1695,9501,1695
33, 1644787176267310720,35, transpose_hybrid, 38253, 350000,1695,9501,1695
34, 1644787176270002703,35, transpose_hybrid, 38253, 350000,1695,9501,1695
35, 1644787176274467745,35, transpose_hybrid, 38253, 350000,1695,9501,1695
36, 1644787176284282117,35, transpose_hybrid, 38253, 350000,1695,9501,1695
37, 1644787176286992239,35, transpose_hybrid, 38253, 350000,1695,9501,1695
38, 1644787176289715523,35, transpose_hybrid, 38253, 350000,1695,9501,1695
39, 1644787176292650984,35, transpose_hybrid, 38253, 350000,1695,9501,1695
40, 1644787176297368904,35, transpose_hybrid, 38253, 350000,1695,9501,1695
41, 1644787176301286470,35, transpose_hybrid, 38253, 350000,1695,9501,1695
42, 1644787176304252152,35, transpose_hybrid, 38253, 350000,1695,9501,1695
43, 1644787176306941875,35, transpose_hybrid, 38253, 350000,1695,9501,1695
44, 1644787176309631118,35, transpose_hybrid, 38253, 350000,1695,9501,1695
45, 1644787176312342509,35, transpose_hybrid, 38253, 350000,1695,9501,1695
46, 1644787176316370934,35, transpose_hybrid, 38253, 350000,1695,9501,1695
47, 1644787176320920336,35, transpose_hybrid, 38253, 350000,1695,9501,1695
48, 1644787176324050446,35, transpose_hybrid, 38253, 350000,1695,9501,1695
49, 1644787176326734766,35, transpose_hybrid, 38253, 350000,1695,9501,1695
50, 1644787176329406156,35, transpose_hybrid, 38253, 350000,1695,9501,1695
51, 1644787176332081285,35, transpose_hybrid, 38253, 350000,1695,9501,1695
52, 1644787176334743822,35, transpose_hybrid, 38253, 350000,1695,9501,1695
53, 1644787176339307518,35, transpose_hybrid, 38253, 350000,1695,9501,1695
54, 1644787176343971339,35, transpose_hybrid, 38253, 350000,1695,9501,1695
55, 1644787176346689623,35, transpose_hybrid, 38253, 350000,1695,9501,1695
56, 1644787176349379297,35, transpose_hybrid, 38253, 350000,1695,9501,1695
57, 1644787176352070807,35, transpose_hybrid, 38253, 350000,1695,9501,1695
58, 1644787176355111947,35, transpose_hybrid, 38253, 350000,1695,9501,1695
59, 1644787176359089415,35, transpose_hybrid, 60269, 350000,1695,9501,1695
60, 1644787176367683585,35, transpose_hybrid, 60269, 350000,1695,9501,1695
61, 1644787176370450923,35, transpose_hybrid, 60269, 350000,1695,9501,1695
62, 1644787176373159878,35, transpose_hybrid, 60269, 350000,1695,9501,1695
63, 1644787176375859411,36, transpose_hybrid, 60269, 350000,1695,9501,1695
64, 1644787176379071929,36, transpose_hybrid, 60269, 350000,1695,9501,1695
65, 1644787176383723234,36, transpose_hybrid, 60269, 350000,1695,9501,1695
66, 1644787176387554910,36, transpose_hybrid, 60269, 350000,1695,9501,1695
67, 1644787176390243114,36, transpose_hybrid, 60269, 350000,1695,9501,1695
68, 1644787176392952004,36, transpose_hybrid, 60269, 350000,1695,9501,1695
69, 1644787176395668956,36, transpose_hybrid, 60269, 350000,1695,9501,1695
70, 1644787176398376556,36, transpose_hybrid, 60269, 350000,1695,9501,1695
