timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1644808524535843744,37, vectorAdd_compute, 32154, 350000,1695,9501,1695
1, 1644808524540724590,37, vectorAdd_compute, 32154, 350000,1695,9501,1695
2, 1644808524545570166,37, vectorAdd_compute, 32154, 350000,1695,9501,1695
3, 1644808524548596416,37, vectorAdd_compute, 32154, 350000,1695,9501,1695
4, 1644808524551537905,37, vectorAdd_compute, 32154, 350000,1695,9501,1695
5, 1644808524554496620,37, vectorAdd_compute, 32154, 350000,1695,9501,1695
6, 1644808524557544324,37, vectorAdd_compute, 32154, 350000,1695,9501,1695
7, 1644808524561150713,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
8, 1644808524566616032,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
9, 1644808524575121971,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
10, 1644808524578117900,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
11, 1644808524581044959,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
12, 1644808524585887808,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
13, 1644808524593644594,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
14, 1644808524596603594,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
15, 1644808524599542589,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
16, 1644808524602495921,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
17, 1644808524607232094,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
18, 1644808524611620960,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
19, 1644808524614809497,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
20, 1644808524617769075,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
21, 1644808524620694460,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
22, 1644808524623627555,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
23, 1644808524628636711,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
24, 1644808524634199354,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
25, 1644808524637199718,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
26, 1644808524640158480,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
27, 1644808524643125580,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
28, 1644808524646274455,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
29, 1644808524651087140,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
30, 1644808524654717021,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
31, 1644808524657634385,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
32, 1644808524660562683,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
33, 1644808524663565470,37, vectorAdd_compute, 38035, 350000,1695,9501,1695
34, 1644808524666829612,37, vectorAdd_compute, 42877, 350000,1695,9501,1695
35, 1644808524671826931,37, vectorAdd_compute, 42877, 350000,1695,9501,1695
36, 1644808524676194536,37, vectorAdd_compute, 42877, 350000,1695,9501,1695
37, 1644808524679164298,37, vectorAdd_compute, 42877, 350000,1695,9501,1695
38, 1644808524682112140,37, vectorAdd_compute, 42877, 350000,1695,9501,1695
39, 1644808524685083796,37, vectorAdd_compute, 42877, 350000,1695,9501,1695
40, 1644808524688032411,37, vectorAdd_compute, 42877, 350000,1695,9501,1695
41, 1644808524692822849,37, vectorAdd_compute, 42877, 350000,1695,9501,1695
42, 1644808524700868536,37, vectorAdd_compute, 42877, 350000,1695,9501,1695
43, 1644808524703803074,37, vectorAdd_compute, 42877, 350000,1695,9501,1695
44, 1644808524706735775,37, vectorAdd_compute, 42877, 350000,1695,9501,1695
45, 1644808524709644003,37, vectorAdd_compute, 42877, 350000,1695,9501,1695
46, 1644808524714472192,37, vectorAdd_compute, 42877, 350000,1695,9501,1695
