timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1644808823807913428,37, wordcount_memory, 45509, 350000,1695,9501,1695
1, 1644808823812810682,37, wordcount_memory, 45509, 350000,1695,9501,1695
2, 1644808823817387999,37, wordcount_memory, 45509, 350000,1695,9501,1695
3, 1644808823821608111,37, wordcount_memory, 45509, 350000,1695,9501,1695
4, 1644808823824434776,37, wordcount_memory, 45509, 350000,1695,9501,1695
5, 1644808823827267610,37, wordcount_memory, 45509, 350000,1695,9501,1695
6, 1644808823830115960,37, wordcount_memory, 45509, 350000,1695,9501,1695
7, 1644808823834153018,37, wordcount_memory, 45509, 350000,1695,9501,1695
8, 1644808823838751582,37, wordcount_memory, 45509, 350000,1695,9501,1695
9, 1644808823841773522,37, wordcount_memory, 45509, 350000,1695,9501,1695
10, 1644808823844594687,37, wordcount_memory, 45509, 350000,1695,9501,1695
11, 1644808823847418228,37, wordcount_memory, 45509, 350000,1695,9501,1695
12, 1644808823850560253,37, wordcount_memory, 45509, 350000,1695,9501,1695
13, 1644808823854036946,37, wordcount_memory, 50725, 350000,1695,9501,1695
14, 1644808823858659394,37, wordcount_memory, 50725, 350000,1695,9501,1695
15, 1644808823862560503,37, wordcount_memory, 50725, 350000,1695,9501,1695
16, 1644808823865397809,37, wordcount_memory, 50725, 350000,1695,9501,1695
17, 1644808823868228636,37, wordcount_memory, 50725, 350000,1695,9501,1695
18, 1644808823871072079,37, wordcount_memory, 50725, 350000,1695,9501,1695
19, 1644808823873940526,37, wordcount_memory, 50725, 350000,1695,9501,1695
20, 1644808823878608888,37, wordcount_memory, 50725, 350000,1695,9501,1695
21, 1644808823887538909,37, wordcount_memory, 50725, 350000,1695,9501,1695
22, 1644808823890386932,37, wordcount_memory, 50725, 350000,1695,9501,1695
23, 1644808823893230565,37, wordcount_memory, 50725, 350000,1695,9501,1695
24, 1644808823896206135,37, wordcount_memory, 50725, 350000,1695,9501,1695
25, 1644808823900920564,37, wordcount_memory, 50725, 350000,1695,9501,1695
