timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1643141104907704169,37, simpleCUFFT, 56975, 350000,1695,9501,1695
1, 1643141104912809083,37, simpleCUFFT, 56975, 350000,1695,9501,1695
2, 1643141104915680352,37, simpleCUFFT, 56975, 350000,1695,9501,1695
3, 1643141104918263303,37, simpleCUFFT, 56975, 350000,1695,9501,1695
4, 1643141104920868939,37, simpleCUFFT, 56975, 350000,1695,9501,1695
5, 1643141104923459405,37, simpleCUFFT, 56975, 350000,1695,9501,1695
6, 1643141104926030641,37, simpleCUFFT, 56975, 350000,1695,9501,1695
7, 1643141104928641310,37, simpleCUFFT, 56975, 350000,1695,9501,1695
8, 1643141104932928587,37, simpleCUFFT, 56975, 350000,1695,9501,1695
9, 1643141104937351302,37, simpleCUFFT, 56975, 350000,1695,9501,1695
10, 1643141104939993692,37, simpleCUFFT, 56975, 350000,1695,9501,1695
11, 1643141104942561679,37, simpleCUFFT, 56975, 350000,1695,9501,1695
12, 1643141104945147564,37, simpleCUFFT, 56975, 350000,1695,9501,1695
13, 1643141104947955479,37, simpleCUFFT, 56975, 350000,1695,9501,1695
14, 1643141104951502407,37, simpleCUFFT, 61391, 350000,1695,9501,1695
15, 1643141104956653906,37, simpleCUFFT, 61391, 350000,1695,9501,1695
16, 1643141104963661625,37, simpleCUFFT, 61391, 350000,1695,9501,1695
17, 1643141104966259293,37, simpleCUFFT, 61391, 350000,1695,9501,1695
18, 1643141104968827043,37, simpleCUFFT, 61391, 350000,1695,9501,1695
19, 1643141104971405316,37, simpleCUFFT, 61391, 350000,1695,9501,1695
20, 1643141104975898095,37, simpleCUFFT, 61391, 350000,1695,9501,1695
21, 1643141104980325536,37, simpleCUFFT, 61391, 350000,1695,9501,1695
22, 1643141104982968728,37, simpleCUFFT, 61391, 350000,1695,9501,1695
23, 1643141104985542984,37, simpleCUFFT, 61391, 350000,1695,9501,1695
24, 1643141104988128277,37, simpleCUFFT, 61391, 350000,1695,9501,1695
25, 1643141104990725148,37, simpleCUFFT, 61391, 350000,1695,9501,1695
26, 1643141104993407389,37, simpleCUFFT, 61391, 350000,1695,9501,1695
27, 1643141104997948906,37, simpleCUFFT, 61391, 350000,1695,9501,1695
28, 1643141105002199410,37, simpleCUFFT, 61391, 350000,1695,9501,1695
29, 1643141105004887638,37, simpleCUFFT, 61391, 350000,1695,9501,1695
30, 1643141105007456295,37, simpleCUFFT, 61391, 350000,1695,9501,1695
31, 1643141105010288420,37, simpleCUFFT, 61391, 350000,1695,9501,1695
