timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1647039193375877703,36,idle256_coalescing_memory,23926,350000,210,405,210
1,1647039193386702540,36,idle256_coalescing_memory,23926,350000,210,405,210
2,1647039193394447274,37,idle256_coalescing_memory,23926,350000,210,405,210
3,1647039193402073198,37,idle256_coalescing_memory,23926,350000,210,405,210
4,1647039193409803989,37,idle256_coalescing_memory,23926,350000,210,405,210
5,1647039193417586314,37,idle256_coalescing_memory,24243,350000,210,405,210
6,1647039193425359178,37,idle256_coalescing_memory,24243,350000,210,405,210
7,1647039193433013725,37,idle256_coalescing_memory,24243,350000,210,405,210
8,1647039193440775796,37,idle256_coalescing_memory,24243,350000,210,405,210
9,1647039193448407728,37,idle256_coalescing_memory,24243,350000,210,405,210
10,1647039193459957559,37,idle256_coalescing_memory,24243,350000,210,405,210
11,1647039193467573660,37,idle256_coalescing_memory,24243,350000,210,405,210
12,1647039193475221456,37,idle256_coalescing_memory,24243,350000,210,405,210
13,1647039193482864518,37,idle256_coalescing_memory,24243,350000,210,405,210
14,1647039193490501820,37,idle256_coalescing_memory,24243,350000,210,405,210
15,1647039193498092081,37,idle256_coalescing_memory,24243,350000,210,405,210
16,1647039193505711129,37,idle256_coalescing_memory,24243,350000,210,405,210
17,1647039193513328334,37,idle256_coalescing_memory,24243,350000,210,405,210
18,1647039193520941032,37,idle256_coalescing_memory,24243,350000,210,405,210
19,1647039193528772831,37,idle256_coalescing_memory,24803,350000,210,405,210
20,1647039193536633117,37,idle256_coalescing_memory,24803,350000,210,405,210
21,1647039193544251069,37,idle256_coalescing_memory,24803,350000,210,405,210
22,1647039193551835119,37,idle256_coalescing_memory,24803,350000,210,405,210
23,1647039193568453689,37,idle256_coalescing_memory,24803,350000,210,405,210
24,1647039193576064067,37,idle256_coalescing_memory,24803,350000,210,405,210
25,1647039193583786961,37,idle256_coalescing_memory,24803,350000,210,405,210
26,1647039193591672664,37,idle256_coalescing_memory,24803,350000,210,405,210
27,1647039193599449656,37,idle256_coalescing_memory,24803,350000,210,405,210
28,1647039193607193773,37,idle256_coalescing_memory,24803,350000,210,405,210
29,1647039193614948141,37,idle256_coalescing_memory,24803,350000,210,405,210
30,1647039193622734063,37,idle256_coalescing_memory,24803,350000,210,405,210
31,1647039193630335834,37,idle256_coalescing_memory,24803,350000,210,405,210
32,1647039193638475539,37,idle256_coalescing_memory,25268,350000,210,405,210
33,1647039193646782543,37,idle256_coalescing_memory,25268,350000,210,405,210
34,1647039193654377294,37,idle256_coalescing_memory,25268,350000,210,405,210
35,1647039193662002992,37,idle256_coalescing_memory,25268,350000,210,405,210
36,1647039193677224662,37,idle256_coalescing_memory,25268,350000,210,405,210
37,1647039193684835396,37,idle256_coalescing_memory,25268,350000,210,405,210
38,1647039193692645869,37,idle256_coalescing_memory,25268,350000,210,405,210
39,1647039193700286923,37,idle256_coalescing_memory,25268,350000,210,405,210
40,1647039193707860324,37,idle256_coalescing_memory,25268,350000,210,405,210
41,1647039193715470548,37,idle256_coalescing_memory,25268,350000,210,405,210
42,1647039193723040913,37,idle256_coalescing_memory,25268,350000,210,405,210
43,1647039193730639837,37,idle256_coalescing_memory,25268,350000,210,405,210
44,1647039193738258455,37,idle256_coalescing_memory,25268,350000,210,405,210
45,1647039193746143309,37,idle256_coalescing_memory,25659,350000,210,405,210
46,1647039193754036642,37,idle256_coalescing_memory,25659,350000,210,405,210
47,1647039193761648171,37,idle256_coalescing_memory,25659,350000,210,405,210
48,1647039193769261879,37,idle256_coalescing_memory,25659,350000,210,405,210
49,1647039193777140206,37,idle256_coalescing_memory,25659,350000,210,405,210
50,1647039193784753824,37,idle256_coalescing_memory,25659,350000,210,405,210
51,1647039193792426820,37,idle256_coalescing_memory,25659,350000,210,405,210
52,1647039193799994781,37,idle256_coalescing_memory,25659,350000,210,405,210
53,1647039193807745981,37,idle256_coalescing_memory,25659,350000,210,405,210
54,1647039193815587761,37,idle256_coalescing_memory,25659,350000,210,405,210
55,1647039193823398023,37,idle256_coalescing_memory,25659,350000,210,405,210
56,1647039193831178981,37,idle256_coalescing_memory,25659,350000,210,405,210
57,1647039193838974410,37,idle256_coalescing_memory,25659,350000,210,405,210
58,1647039193846766662,37,idle256_coalescing_memory,25659,350000,210,405,210
59,1647039193855064065,37,idle256_coalescing_memory,26005,350000,210,405,210
60,1647039193863602935,37,idle256_coalescing_memory,26005,350000,210,405,210
61,1647039193871440892,37,idle256_coalescing_memory,26005,350000,210,405,210
62,1647039193879231210,37,idle256_coalescing_memory,26005,350000,210,405,210
63,1647039193894894365,37,idle256_coalescing_memory,26005,350000,210,405,210
64,1647039193902672294,37,idle256_coalescing_memory,26005,350000,210,405,210
65,1647039193910513717,37,idle256_coalescing_memory,26005,350000,210,405,210
66,1647039193918316231,37,idle256_coalescing_memory,26005,350000,210,405,210
67,1647039193926131201,37,idle256_coalescing_memory,26005,350000,210,405,210
68,1647039193933963477,37,idle256_coalescing_memory,26005,350000,210,405,210
69,1647039193941807499,37,idle256_coalescing_memory,26005,350000,210,405,210
70,1647039193949464182,37,idle256_coalescing_memory,26005,350000,210,405,210
71,1647039193957009342,37,idle256_coalescing_memory,26005,350000,210,405,210
72,1647039193965000791,37,idle256_coalescing_memory,26311,350000,210,405,210
73,1647039193972771883,37,idle256_coalescing_memory,26311,350000,210,405,210
74,1647039193980377780,37,idle256_coalescing_memory,26311,350000,210,405,210
75,1647039193987982352,37,idle256_coalescing_memory,26311,350000,210,405,210
76,1647039193996104303,37,idle256_coalescing_memory,26311,350000,210,405,210
77,1647039194003732265,37,idle256_coalescing_memory,26311,350000,210,405,210
78,1647039194011351084,37,idle256_coalescing_memory,26311,350000,210,405,210
79,1647039194019071974,37,idle256_coalescing_memory,26311,350000,210,405,210
80,1647039194026715412,37,idle256_coalescing_memory,26311,350000,210,405,210
81,1647039194034343574,37,idle256_coalescing_memory,26311,350000,210,405,210
82,1647039194042015110,37,idle256_coalescing_memory,26311,350000,210,405,210
83,1647039194049868167,37,idle256_coalescing_memory,26311,350000,210,405,210
84,1647039194057471638,37,idle256_coalescing_memory,26311,350000,210,405,210
85,1647039194065072782,37,idle256_coalescing_memory,26311,350000,210,405,210
86,1647039194073270897,37,idle256_coalescing_memory,26583,350000,210,405,210
87,1647039194081629634,37,idle256_coalescing_memory,26583,350000,210,405,210
88,1647039194089270228,37,idle256_coalescing_memory,26583,350000,210,405,210
89,1647039194096872743,37,idle256_coalescing_memory,26583,350000,210,405,210
90,1647039194112466533,37,idle256_coalescing_memory,26583,350000,210,405,210
91,1647039194120089705,37,idle256_coalescing_memory,26583,350000,210,405,210
92,1647039194127816289,37,idle256_coalescing_memory,26583,350000,210,405,210
93,1647039194135423307,37,idle256_coalescing_memory,26583,350000,210,405,210
94,1647039194143044106,37,idle256_coalescing_memory,26583,350000,210,405,210
95,1647039194150664901,37,idle256_coalescing_memory,26583,350000,210,405,210
96,1647039194158292728,37,idle256_coalescing_memory,26583,350000,210,405,210
97,1647039194165940590,37,idle256_coalescing_memory,26583,350000,210,405,210
98,1647039194173559649,37,idle256_coalescing_memory,26583,350000,210,405,210
99,1647039194181490386,37,idle256_coalescing_memory,26823,350000,210,405,210
100,1647039194189412091,37,idle256_coalescing_memory,26823,350000,210,405,210
101,1647039194197033473,37,idle256_coalescing_memory,26823,350000,210,405,210
102,1647039194204654968,37,idle256_coalescing_memory,26823,350000,210,405,210
103,1647039194212487508,37,idle256_coalescing_memory,26823,350000,210,405,210
104,1647039194220082102,37,idle256_coalescing_memory,26823,350000,210,405,210
105,1647039194227712737,37,idle256_coalescing_memory,26823,350000,210,405,210
106,1647039194235507148,37,idle256_coalescing_memory,26823,350000,210,405,210
107,1647039194243120939,37,idle256_coalescing_memory,26823,350000,210,405,210
108,1647039194250721988,37,idle256_coalescing_memory,26823,350000,210,405,210
109,1647039194258433905,37,idle256_coalescing_memory,26823,350000,210,405,210
110,1647039194266039016,37,idle256_coalescing_memory,26823,350000,210,405,210
111,1647039194273658640,37,idle256_coalescing_memory,26823,350000,210,405,210
112,1647039194281294013,37,idle256_coalescing_memory,26823,350000,210,405,210
113,1647039194288935914,37,idle256_coalescing_memory,30268,350000,210,405,210
114,1647039194296664579,37,idle256_coalescing_memory,30268,350000,210,405,210
115,1647039194304307371,37,idle256_coalescing_memory,30268,350000,210,405,210
116,1647039194311922559,37,idle256_coalescing_memory,30268,350000,210,405,210
117,1647039194320151467,37,idle256_coalescing_memory,30268,350000,210,405,210
118,1647039194330887198,37,idle256_coalescing_memory,30268,350000,210,405,210
119,1647039194338501186,37,idle256_coalescing_memory,30268,350000,210,405,210
120,1647039194346273506,37,idle256_coalescing_memory,30268,350000,210,405,210
121,1647039194353933860,37,idle256_coalescing_memory,30268,350000,210,405,210
122,1647039194361536700,37,idle256_coalescing_memory,30268,350000,210,405,210
123,1647039194369213597,37,idle256_coalescing_memory,30268,350000,0,405,0
124,1647039194376975857,37,idle256_coalescing_memory,30268,350000,0,405,0
125,1647039194384630846,37,idle256_coalescing_memory,30268,350000,0,405,0
126,1647039194392263921,37,idle256_coalescing_memory,30268,350000,0,405,0
127,1647039194400241197,37,idle256_coalescing_memory,30268,350000,0,405,0
128,1647039194407939784,37,idle256_coalescing_memory,30268,350000,0,405,0
129,1647039194415586236,37,idle256_coalescing_memory,30268,350000,0,405,0
130,1647039194423238368,37,idle256_coalescing_memory,30268,350000,0,405,0
131,1647039194430909574,37,idle256_coalescing_memory,30268,350000,0,405,0
132,1647039194438568379,37,idle256_coalescing_memory,30268,350000,0,405,0
133,1647039194446188380,37,idle256_coalescing_memory,30268,350000,0,405,0
134,1647039194453823890,37,idle256_coalescing_memory,30268,350000,0,405,0
135,1647039194461441805,37,idle256_coalescing_memory,30268,350000,0,405,0
136,1647039194469059903,37,idle256_coalescing_memory,30268,350000,0,405,0
137,1647039194476711478,37,idle256_coalescing_memory,30268,350000,0,405,0
138,1647039194484329010,37,idle256_coalescing_memory,30268,350000,0,405,0
139,1647039194491972785,37,idle256_coalescing_memory,30268,350000,0,405,0
140,1647039194499609743,37,idle256_coalescing_memory,30268,350000,0,405,0
141,1647039194507341925,37,idle256_coalescing_memory,30268,350000,0,405,0
142,1647039194515557249,37,idle256_coalescing_memory,30268,350000,0,405,0
143,1647039194523269962,37,idle256_coalescing_memory,30268,350000,0,405,0
144,1647039194530925355,37,idle256_coalescing_memory,30268,350000,0,405,0
145,1647039194538571793,37,idle256_coalescing_memory,30268,350000,0,405,0
146,1647039194546209595,37,idle256_coalescing_memory,30268,350000,0,405,0
147,1647039194553861283,37,idle256_coalescing_memory,30268,350000,0,405,0
148,1647039194561548883,37,idle256_coalescing_memory,30268,350000,0,405,0
149,1647039194569203048,37,idle256_coalescing_memory,30268,350000,0,405,0
150,1647039194576820197,37,idle256_coalescing_memory,30268,350000,0,405,0
151,1647039194584436519,37,idle256_coalescing_memory,30268,350000,0,405,0
152,1647039194592043443,37,idle256_coalescing_memory,30268,350000,0,405,0
153,1647039194599674529,37,idle256_coalescing_memory,30268,350000,0,405,0
154,1647039194607239408,37,idle256_coalescing_memory,30268,350000,0,405,0
155,1647039194615007404,37,idle256_coalescing_memory,30268,350000,0,405,0
156,1647039194622613008,37,idle256_coalescing_memory,30268,350000,0,405,0
157,1647039194630244109,37,idle256_coalescing_memory,30268,350000,0,405,0
158,1647039194637884475,37,idle256_coalescing_memory,30268,350000,0,405,0
159,1647039194645506703,37,idle256_coalescing_memory,30268,350000,0,405,0
160,1647039194653063224,37,idle256_coalescing_memory,30268,350000,0,405,0
161,1647039194660716243,37,idle256_coalescing_memory,30268,350000,0,405,0
162,1647039194668346400,37,idle256_coalescing_memory,30268,350000,0,405,0
163,1647039194675948681,37,idle256_coalescing_memory,30268,350000,0,405,0
164,1647039194683582350,37,idle256_coalescing_memory,30268,350000,0,405,0
165,1647039194691187728,37,idle256_coalescing_memory,30268,350000,0,405,0
166,1647039194698817809,37,idle256_coalescing_memory,30268,350000,0,405,0
167,1647039194706455841,37,idle256_coalescing_memory,30268,350000,0,405,0
168,1647039194714076877,37,idle256_coalescing_memory,30268,350000,0,405,0
169,1647039194721722402,37,idle256_coalescing_memory,30268,350000,0,405,0
170,1647039194729319123,37,idle256_coalescing_memory,30268,350000,0,405,0
171,1647039194736979029,37,idle256_coalescing_memory,30268,350000,0,405,0
172,1647039194744618438,37,idle256_coalescing_memory,30268,350000,0,405,0
173,1647039194752246979,37,idle256_coalescing_memory,30268,350000,0,405,0
174,1647039194759887858,37,idle256_coalescing_memory,30268,350000,0,405,0
175,1647039194767530160,37,idle256_coalescing_memory,30268,350000,0,405,0
176,1647039194775156191,37,idle256_coalescing_memory,30268,350000,0,405,0
177,1647039194782867392,37,idle256_coalescing_memory,30268,350000,0,405,0
178,1647039194790503833,37,idle256_coalescing_memory,30268,350000,0,405,0
179,1647039194798111221,37,idle256_coalescing_memory,30268,350000,0,405,0
180,1647039194805745967,37,idle256_coalescing_memory,30268,350000,0,405,0
181,1647039194813527908,37,idle256_coalescing_memory,30268,350000,0,405,0
182,1647039194821161297,37,idle256_coalescing_memory,30268,350000,0,405,0
183,1647039194828806732,37,idle256_coalescing_memory,30268,350000,0,405,0
184,1647039194836550933,37,idle256_coalescing_memory,30268,350000,0,405,0
185,1647039194844323728,37,idle256_coalescing_memory,30268,350000,0,405,0
186,1647039194852203401,37,idle256_coalescing_memory,30268,350000,0,405,0
187,1647039194860068038,37,idle256_coalescing_memory,30268,350000,0,405,0
188,1647039194868075091,37,idle256_coalescing_memory,30268,350000,0,405,0
189,1647039194875973355,37,idle256_coalescing_memory,30268,350000,0,405,0
190,1647039194883787260,37,idle256_coalescing_memory,30268,350000,0,405,0
191,1647039194891597887,37,idle256_coalescing_memory,30268,350000,0,405,0
192,1647039194899434209,37,idle256_coalescing_memory,30268,350000,0,405,0
193,1647039194907239087,37,idle256_coalescing_memory,30268,350000,0,405,0
194,1647039194915067377,37,idle256_coalescing_memory,30268,350000,0,405,0
195,1647039194922861783,37,idle256_coalescing_memory,30268,350000,0,405,0
196,1647039194930656068,37,idle256_coalescing_memory,30268,350000,0,405,0
197,1647039194938462897,37,idle256_coalescing_memory,30268,350000,0,405,0
198,1647039194946322263,37,idle256_coalescing_memory,30268,350000,0,405,0
199,1647039194954205120,37,idle256_coalescing_memory,30268,350000,0,405,0
200,1647039194962060467,37,idle256_coalescing_memory,30268,350000,0,405,0
201,1647039194969893070,37,idle256_coalescing_memory,30268,350000,0,405,0
202,1647039194977719938,37,idle256_coalescing_memory,30268,350000,0,405,0
203,1647039194985351113,37,idle256_coalescing_memory,30268,350000,0,405,0
204,1647039194993217523,37,idle256_coalescing_memory,30268,350000,0,405,0
205,1647039195000823541,37,idle256_coalescing_memory,30268,350000,0,405,0
206,1647039195008410173,37,idle256_coalescing_memory,30268,350000,0,405,0
207,1647039195015972102,37,idle256_coalescing_memory,30268,350000,0,405,0
208,1647039195023573307,37,idle256_coalescing_memory,30268,350000,0,405,0
209,1647039195031245350,37,idle256_coalescing_memory,30268,350000,0,405,0
210,1647039195038873845,37,idle256_coalescing_memory,30268,350000,0,405,0
211,1647039195046492116,37,idle256_coalescing_memory,30268,350000,0,405,0
212,1647039195054127698,37,idle256_coalescing_memory,30268,350000,0,405,0
213,1647039195061749499,37,idle256_coalescing_memory,30268,350000,0,405,0
214,1647039195069370981,37,idle256_coalescing_memory,30268,350000,0,405,0
215,1647039195077059205,37,idle256_coalescing_memory,30268,350000,0,405,0
216,1647039195084705373,37,idle256_coalescing_memory,30268,350000,0,405,0
217,1647039195092308454,37,idle256_coalescing_memory,30268,350000,0,405,0
218,1647039195099929526,37,idle256_coalescing_memory,30268,350000,0,405,0
219,1647039195107549107,37,idle256_coalescing_memory,30268,350000,0,405,0
220,1647039195115184242,37,idle256_coalescing_memory,30268,350000,0,405,0
221,1647039195122825431,37,idle256_coalescing_memory,30268,350000,0,405,0
222,1647039195130446316,37,idle256_coalescing_memory,30268,350000,0,405,0
223,1647039195138024257,37,idle256_coalescing_memory,30268,350000,0,405,0
224,1647039195145649695,37,idle256_coalescing_memory,30268,350000,0,405,0
225,1647039195153292283,37,idle256_coalescing_memory,30268,350000,0,405,0
226,1647039195160899112,37,idle256_coalescing_memory,30268,350000,0,405,0
