timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1646015691179010225,35,matrixMul_compute,23586,350000,210,405,210
1,1646015691187584954,35,matrixMul_compute,23586,350000,210,405,210
2,1646015691195615154,35,matrixMul_compute,23586,350000,210,405,210
3,1646015691203661746,35,matrixMul_compute,23586,350000,210,405,210
4,1646015691211736955,35,matrixMul_compute,23586,350000,210,405,210
5,1646015691219752333,35,matrixMul_compute,23586,350000,210,405,210
6,1646015691227804922,35,matrixMul_compute,23586,350000,210,405,210
7,1646015691235820523,35,matrixMul_compute,23586,350000,210,405,210
8,1646015691243896479,35,matrixMul_compute,23586,350000,210,405,210
9,1646015691251934392,35,matrixMul_compute,23586,350000,210,405,210
10,1646015691260067982,35,matrixMul_compute,24138,350000,210,405,210
11,1646015691268138318,35,matrixMul_compute,24138,350000,210,405,210
12,1646015691276176205,35,matrixMul_compute,24138,350000,210,405,210
13,1646015691284169762,35,matrixMul_compute,24138,350000,210,405,210
14,1646015691292239898,35,matrixMul_compute,24138,350000,210,405,210
15,1646015691300066682,35,matrixMul_compute,24138,350000,210,405,210
16,1646015691308088489,35,matrixMul_compute,24138,350000,210,405,210
17,1646015691316210743,35,matrixMul_compute,24138,350000,210,405,210
18,1646015691324221398,35,matrixMul_compute,24138,350000,210,405,210
19,1646015691332246211,35,matrixMul_compute,24138,350000,210,405,210
20,1646015691340281683,35,matrixMul_compute,24138,350000,210,405,210
21,1646015691348295893,35,matrixMul_compute,24138,350000,210,405,210
22,1646015691356319574,35,matrixMul_compute,24138,350000,210,405,210
23,1646015691364323394,35,matrixMul_compute,24138,350000,210,405,210
24,1646015691372450862,35,matrixMul_compute,24741,350000,210,405,210
25,1646015691380522360,35,matrixMul_compute,24741,350000,210,405,210
26,1646015691388540029,35,matrixMul_compute,24741,350000,210,405,210
27,1646015691396545599,35,matrixMul_compute,24741,350000,210,405,210
28,1646015691408774913,35,matrixMul_compute,24741,350000,210,405,210
29,1646015691416794403,35,matrixMul_compute,24741,350000,210,405,210
30,1646015691424884106,35,matrixMul_compute,24741,350000,210,405,210
31,1646015691432915357,35,matrixMul_compute,24741,350000,210,405,210
32,1646015691440953936,35,matrixMul_compute,24741,350000,210,405,210
33,1646015691448966672,35,matrixMul_compute,24741,350000,210,405,210
34,1646015691457003254,35,matrixMul_compute,24741,350000,210,405,210
35,1646015691465028014,35,matrixMul_compute,24741,350000,210,405,210
36,1646015691473091701,35,matrixMul_compute,24741,350000,210,405,210
37,1646015691481242820,35,matrixMul_compute,25250,350000,210,405,210
38,1646015691489338781,35,matrixMul_compute,25250,350000,210,405,210
39,1646015691497358595,35,matrixMul_compute,25250,350000,210,405,210
40,1646015691505402003,35,matrixMul_compute,25250,350000,210,405,210
41,1646015691513498767,35,matrixMul_compute,25250,350000,210,405,210
42,1646015691521533253,35,matrixMul_compute,25250,350000,210,405,210
43,1646015691529556691,35,matrixMul_compute,25250,350000,210,405,210
44,1646015691537631635,35,matrixMul_compute,25250,350000,210,405,210
45,1646015691545662767,35,matrixMul_compute,25250,350000,210,405,210
46,1646015691553856738,35,matrixMul_compute,25250,350000,210,405,210
47,1646015691561905275,35,matrixMul_compute,25250,350000,210,405,210
48,1646015691569940643,35,matrixMul_compute,25250,350000,210,405,210
49,1646015691577983059,35,matrixMul_compute,25250,350000,210,405,210
50,1646015691586113364,35,matrixMul_compute,25680,350000,210,405,210
51,1646015691594191790,35,matrixMul_compute,25680,350000,210,405,210
52,1646015691602328283,35,matrixMul_compute,25680,350000,210,405,210
53,1646015691610355956,35,matrixMul_compute,25680,350000,210,405,210
54,1646015691626237791,35,matrixMul_compute,25680,350000,210,405,210
55,1646015691634319242,35,matrixMul_compute,25680,350000,210,405,210
56,1646015691642477934,35,matrixMul_compute,25680,350000,210,405,210
57,1646015691650900894,35,matrixMul_compute,25680,350000,210,405,210
58,1646015691658999724,35,matrixMul_compute,25680,350000,210,405,210
59,1646015691666958089,35,matrixMul_compute,25680,350000,210,405,210
60,1646015691674831497,35,matrixMul_compute,25680,350000,210,405,210
61,1646015691682920958,35,matrixMul_compute,25680,350000,210,405,210
