timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1645236313765007471,36,vectorAdd_compute,23527,350000,210,405,210
1,1645236313773213640,36,vectorAdd_compute,23527,350000,210,405,210
2,1645236313781365769,36,vectorAdd_compute,23622,350000,210,405,210
3,1645236313789533723,36,vectorAdd_compute,23622,350000,210,405,210
4,1645236313797583200,36,vectorAdd_compute,23622,350000,210,405,210
5,1645236313805641328,36,vectorAdd_compute,23622,350000,210,405,210
6,1645236313819065203,36,vectorAdd_compute,23622,350000,210,405,210
7,1645236313827025752,36,vectorAdd_compute,23622,350000,210,405,210
8,1645236313835030823,36,vectorAdd_compute,23622,350000,210,405,210
9,1645236313842959029,36,vectorAdd_compute,23622,350000,210,405,210
10,1645236313850899805,36,vectorAdd_compute,23622,350000,210,405,210
11,1645236313858853828,36,vectorAdd_compute,23622,350000,210,405,210
12,1645236313866796822,36,vectorAdd_compute,23622,350000,210,405,210
13,1645236313874744971,36,vectorAdd_compute,23622,350000,210,405,210
14,1645236313882694249,36,vectorAdd_compute,24230,350000,210,405,210
15,1645236313890709812,36,vectorAdd_compute,24230,350000,210,405,210
16,1645236313898807273,36,vectorAdd_compute,24230,350000,210,405,210
17,1645236313906755404,36,vectorAdd_compute,24230,350000,210,405,210
18,1645236313914706343,36,vectorAdd_compute,24230,350000,210,405,210
19,1645236313927377721,36,vectorAdd_compute,24230,350000,210,405,210
20,1645236313935326333,36,vectorAdd_compute,24230,350000,210,405,210
21,1645236313943395789,36,vectorAdd_compute,24230,350000,210,405,210
22,1645236313951312169,36,vectorAdd_compute,24230,350000,210,405,210
23,1645236313959236227,36,vectorAdd_compute,24230,350000,210,405,210
24,1645236313967294834,36,vectorAdd_compute,24230,350000,210,405,210
25,1645236313975207136,36,vectorAdd_compute,24230,350000,210,405,210
26,1645236313983127165,36,vectorAdd_compute,24230,350000,210,405,210
27,1645236313991049343,36,vectorAdd_compute,24730,350000,210,405,210
28,1645236313999074335,36,vectorAdd_compute,24730,350000,210,405,210
29,1645236314007019081,36,vectorAdd_compute,24730,350000,210,405,210
30,1645236314014950841,36,vectorAdd_compute,24730,350000,210,405,210
31,1645236314022993418,36,vectorAdd_compute,24730,350000,210,405,210
32,1645236314030957310,36,vectorAdd_compute,24730,350000,210,405,210
33,1645236314038899307,36,vectorAdd_compute,24730,350000,210,405,210
34,1645236314046861550,36,vectorAdd_compute,24730,350000,210,405,210
35,1645236314054826405,36,vectorAdd_compute,24730,350000,210,405,210
36,1645236314062782297,36,vectorAdd_compute,24730,350000,210,405,210
37,1645236314070735271,36,vectorAdd_compute,24730,350000,210,405,210
38,1645236314078686250,36,vectorAdd_compute,24730,350000,210,405,210
39,1645236314086629659,36,vectorAdd_compute,24730,350000,210,405,210
