timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1647368251889736590,34,idle128_matrixMul_compute,23554,350000,210,405,210
1,1647368251898594957,34,idle128_matrixMul_compute,23554,350000,210,405,210
2,1647368251906825443,35,idle128_matrixMul_compute,23554,350000,210,405,210
3,1647368251924020719,35,idle128_matrixMul_compute,23554,350000,210,405,210
4,1647368251932214381,35,idle128_matrixMul_compute,23554,350000,210,405,210
5,1647368251940398133,35,idle128_matrixMul_compute,23554,350000,210,405,210
6,1647368251948510971,35,idle128_matrixMul_compute,23554,350000,210,405,210
7,1647368251956633492,35,idle128_matrixMul_compute,23554,350000,210,405,210
8,1647368251964789697,35,idle128_matrixMul_compute,23554,350000,210,405,210
9,1647368251972910238,35,idle128_matrixMul_compute,23554,350000,210,405,210
10,1647368251981050761,35,idle128_matrixMul_compute,23554,350000,210,405,210
11,1647368251989222307,35,idle128_matrixMul_compute,24116,350000,210,405,210
12,1647368251997490310,35,idle128_matrixMul_compute,24116,350000,210,405,210
13,1647368252005604885,35,idle128_matrixMul_compute,24116,350000,210,405,210
14,1647368252013845585,35,idle128_matrixMul_compute,24116,350000,210,405,210
15,1647368252021980169,35,idle128_matrixMul_compute,24116,350000,210,405,210
16,1647368252033590925,35,idle128_matrixMul_compute,24116,350000,210,405,210
17,1647368252041737557,35,idle128_matrixMul_compute,24116,350000,210,405,210
18,1647368252050067872,35,idle128_matrixMul_compute,24116,350000,210,405,210
19,1647368252058211376,35,idle128_matrixMul_compute,24116,350000,210,405,210
20,1647368252066312597,35,idle128_matrixMul_compute,24116,350000,210,405,210
21,1647368252074438354,35,idle128_matrixMul_compute,24116,350000,210,405,210
22,1647368252082537891,35,idle128_matrixMul_compute,24116,350000,210,405,210
23,1647368252090738101,35,idle128_matrixMul_compute,24116,350000,210,405,210
24,1647368252098848131,35,idle128_matrixMul_compute,24603,350000,210,405,210
25,1647368252107073310,35,idle128_matrixMul_compute,24603,350000,210,405,210
26,1647368252115223259,35,idle128_matrixMul_compute,24603,350000,210,405,210
27,1647368252123335513,35,idle128_matrixMul_compute,24603,350000,210,405,210
28,1647368252131442253,35,idle128_matrixMul_compute,24603,350000,210,405,210
29,1647368252142853098,35,idle128_matrixMul_compute,24603,350000,210,405,210
30,1647368252150989423,35,idle128_matrixMul_compute,24603,350000,210,405,210
31,1647368252159374332,35,idle128_matrixMul_compute,24603,350000,210,405,210
32,1647368252167499516,35,idle128_matrixMul_compute,24603,350000,210,405,210
33,1647368252175899147,35,idle128_matrixMul_compute,24603,350000,210,405,210
34,1647368252184026424,35,idle128_matrixMul_compute,24603,350000,210,405,210
35,1647368252192152894,35,idle128_matrixMul_compute,24603,350000,210,405,210
36,1647368252200341974,35,idle128_matrixMul_compute,24603,350000,210,405,210
37,1647368252208455388,35,idle128_matrixMul_compute,25015,350000,210,405,210
38,1647368252216668600,35,idle128_matrixMul_compute,25015,350000,210,405,210
39,1647368252224785251,35,idle128_matrixMul_compute,25015,350000,210,405,210
40,1647368252232931423,35,idle128_matrixMul_compute,25015,350000,210,405,210
41,1647368252241478870,35,idle128_matrixMul_compute,25015,350000,210,405,210
42,1647368252249580993,35,idle128_matrixMul_compute,25015,350000,210,405,210
43,1647368252257681220,35,idle128_matrixMul_compute,25015,350000,210,405,210
44,1647368252265896533,35,idle128_matrixMul_compute,25015,350000,210,405,210
45,1647368252273997813,35,idle128_matrixMul_compute,25015,350000,210,405,210
46,1647368252282089103,35,idle128_matrixMul_compute,25015,350000,210,405,210
47,1647368252290246352,35,idle128_matrixMul_compute,25015,350000,210,405,210
48,1647368252298337382,35,idle128_matrixMul_compute,25015,350000,210,405,210
