timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1647035130691932799,35,idle128_simpleCUFFT_hybrid,23610,350000,210,405,210
1,1647035130701352236,35,idle128_simpleCUFFT_hybrid,23734,350000,210,405,210
2,1647035130710172638,35,idle128_simpleCUFFT_hybrid,23734,350000,210,405,210
3,1647035130719000903,35,idle128_simpleCUFFT_hybrid,23734,350000,210,405,210
4,1647035130728173971,35,idle128_simpleCUFFT_hybrid,23734,350000,210,405,210
5,1647035130745142490,35,idle128_simpleCUFFT_hybrid,23734,350000,210,405,210
6,1647035130753862311,35,idle128_simpleCUFFT_hybrid,23734,350000,210,405,210
7,1647035130762587150,35,idle128_simpleCUFFT_hybrid,23734,350000,210,405,210
8,1647035130771299254,35,idle128_simpleCUFFT_hybrid,23734,350000,210,405,210
9,1647035130780235294,35,idle128_simpleCUFFT_hybrid,23734,350000,210,405,210
10,1647035130788925581,35,idle128_simpleCUFFT_hybrid,23734,350000,210,405,210
11,1647035130797623562,35,idle128_simpleCUFFT_hybrid,23734,350000,210,405,210
12,1647035130806306939,35,idle128_simpleCUFFT_hybrid,23734,350000,210,405,210
13,1647035130815650844,35,idle128_simpleCUFFT_hybrid,24217,350000,210,405,210
14,1647035130824425280,35,idle128_simpleCUFFT_hybrid,24217,350000,210,405,210
15,1647035130833079991,35,idle128_simpleCUFFT_hybrid,24217,350000,210,405,210
16,1647035130841752114,35,idle128_simpleCUFFT_hybrid,24217,350000,210,405,210
17,1647035130854273416,35,idle128_simpleCUFFT_hybrid,24217,350000,210,405,210
18,1647035130862945087,36,idle128_simpleCUFFT_hybrid,24217,350000,210,405,210
19,1647035130871740112,36,idle128_simpleCUFFT_hybrid,24217,350000,210,405,210
20,1647035130880421714,36,idle128_simpleCUFFT_hybrid,24217,350000,210,405,210
21,1647035130889099874,36,idle128_simpleCUFFT_hybrid,24217,350000,210,405,210
22,1647035130897772101,36,idle128_simpleCUFFT_hybrid,24217,350000,210,405,210
23,1647035130906440812,36,idle128_simpleCUFFT_hybrid,24217,350000,210,405,210
24,1647035130915122356,36,idle128_simpleCUFFT_hybrid,24217,350000,210,405,210
25,1647035130924157073,36,idle128_simpleCUFFT_hybrid,24625,350000,210,405,210
26,1647035130932943733,36,idle128_simpleCUFFT_hybrid,24625,350000,210,405,210
27,1647035130941623127,36,idle128_simpleCUFFT_hybrid,24625,350000,210,405,210
28,1647035130950289868,35,idle128_simpleCUFFT_hybrid,24625,350000,210,405,210
29,1647035130963409556,35,idle128_simpleCUFFT_hybrid,24625,350000,210,405,210
30,1647035130972100332,35,idle128_simpleCUFFT_hybrid,24625,350000,210,405,210
31,1647035130981009438,35,idle128_simpleCUFFT_hybrid,24625,350000,210,405,210
32,1647035130989692836,35,idle128_simpleCUFFT_hybrid,24625,350000,210,405,210
33,1647035130998502292,35,idle128_simpleCUFFT_hybrid,24625,350000,210,405,210
34,1647035131007165666,35,idle128_simpleCUFFT_hybrid,24625,350000,210,405,210
35,1647035131015800875,35,idle128_simpleCUFFT_hybrid,24625,350000,210,405,210
36,1647035131024984636,35,idle128_simpleCUFFT_hybrid,24625,350000,210,405,210
37,1647035131034200469,35,idle128_simpleCUFFT_hybrid,24978,350000,210,405,210
38,1647035131042913233,36,idle128_simpleCUFFT_hybrid,24978,350000,210,405,210
39,1647035131051583254,36,idle128_simpleCUFFT_hybrid,24978,350000,210,405,210
40,1647035131060307822,36,idle128_simpleCUFFT_hybrid,24978,350000,210,405,210
41,1647035131069099265,36,idle128_simpleCUFFT_hybrid,24978,350000,210,405,210
42,1647035131077798309,36,idle128_simpleCUFFT_hybrid,24978,350000,210,405,210
43,1647035131086532871,36,idle128_simpleCUFFT_hybrid,24978,350000,210,405,210
44,1647035131095233922,36,idle128_simpleCUFFT_hybrid,24978,350000,210,405,210
45,1647035131103947047,36,idle128_simpleCUFFT_hybrid,24978,350000,210,405,210
46,1647035131112669655,36,idle128_simpleCUFFT_hybrid,24978,350000,210,405,210
47,1647035131121387773,36,idle128_simpleCUFFT_hybrid,24978,350000,210,405,210
48,1647035131130130578,35,idle128_simpleCUFFT_hybrid,24978,350000,210,405,210
49,1647035131139503520,35,idle128_simpleCUFFT_hybrid,25286,350000,210,405,210
50,1647035131148503107,35,idle128_simpleCUFFT_hybrid,25286,350000,210,405,210
51,1647035131157217916,35,idle128_simpleCUFFT_hybrid,25286,350000,210,405,210
52,1647035131165950258,35,idle128_simpleCUFFT_hybrid,25286,350000,210,405,210
53,1647035131180638661,35,idle128_simpleCUFFT_hybrid,25286,350000,210,405,210
54,1647035131189322146,35,idle128_simpleCUFFT_hybrid,25286,350000,210,405,210
55,1647035131198093141,35,idle128_simpleCUFFT_hybrid,25286,350000,210,405,210
56,1647035131206797173,35,idle128_simpleCUFFT_hybrid,25286,350000,210,405,210
57,1647035131215475100,36,idle128_simpleCUFFT_hybrid,25286,350000,210,405,210
58,1647035131224190772,36,idle128_simpleCUFFT_hybrid,25286,350000,210,405,210
59,1647035131232877639,36,idle128_simpleCUFFT_hybrid,25286,350000,210,405,210
60,1647035131241563595,36,idle128_simpleCUFFT_hybrid,25286,350000,210,405,210
61,1647035131250756588,36,idle128_simpleCUFFT_hybrid,27748,350000,210,405,210
62,1647035131259606361,36,idle128_simpleCUFFT_hybrid,27748,350000,210,405,210
63,1647035131268299559,36,idle128_simpleCUFFT_hybrid,27748,350000,210,405,210
64,1647035131277023530,36,idle128_simpleCUFFT_hybrid,27748,350000,210,405,210
65,1647035131289653331,36,idle128_simpleCUFFT_hybrid,27748,350000,210,405,210
66,1647035131298355016,36,idle128_simpleCUFFT_hybrid,27748,350000,210,405,210
67,1647035131307114098,35,idle128_simpleCUFFT_hybrid,27748,350000,210,405,210
68,1647035131315800716,35,idle128_simpleCUFFT_hybrid,27748,350000,210,405,210
69,1647035131324540392,35,idle128_simpleCUFFT_hybrid,27748,350000,210,405,210
70,1647035131333230425,35,idle128_simpleCUFFT_hybrid,27748,350000,210,405,210
71,1647035131341924775,35,idle128_simpleCUFFT_hybrid,27748,350000,210,405,210
72,1647035131350607919,35,idle128_simpleCUFFT_hybrid,27748,350000,210,405,210
73,1647035131359685029,35,idle128_simpleCUFFT_hybrid,28046,350000,210,405,210
74,1647035131368442488,35,idle128_simpleCUFFT_hybrid,28046,350000,210,405,210
75,1647035131377137612,35,idle128_simpleCUFFT_hybrid,28046,350000,210,405,210
76,1647035131385849820,35,idle128_simpleCUFFT_hybrid,28046,350000,210,405,210
77,1647035131394538737,35,idle128_simpleCUFFT_hybrid,28046,350000,210,405,210
78,1647035131403314244,35,idle128_simpleCUFFT_hybrid,28046,350000,210,405,210
79,1647035131412054848,35,idle128_simpleCUFFT_hybrid,28046,350000,210,405,210
80,1647035131420667481,35,idle128_simpleCUFFT_hybrid,28046,350000,210,405,210
81,1647035131429351022,36,idle128_simpleCUFFT_hybrid,28046,350000,210,405,210
82,1647035131438011125,36,idle128_simpleCUFFT_hybrid,28046,350000,210,405,210
83,1647035131446747510,36,idle128_simpleCUFFT_hybrid,28046,350000,210,405,210
84,1647035131455401971,36,idle128_simpleCUFFT_hybrid,28046,350000,210,405,210
85,1647035131464121739,36,idle128_simpleCUFFT_hybrid,28281,350000,210,405,210
86,1647035131472965567,36,idle128_simpleCUFFT_hybrid,28281,350000,210,405,210
87,1647035131481692981,36,idle128_simpleCUFFT_hybrid,28281,350000,210,405,210
88,1647035131490379592,36,idle128_simpleCUFFT_hybrid,28281,350000,210,405,210
89,1647035131499214909,36,idle128_simpleCUFFT_hybrid,28281,350000,210,405,210
90,1647035131507906516,36,idle128_simpleCUFFT_hybrid,28281,350000,210,405,210
91,1647035131516580731,35,idle128_simpleCUFFT_hybrid,28281,350000,210,405,210
92,1647035131525419738,35,idle128_simpleCUFFT_hybrid,28281,350000,210,405,210
93,1647035131534119418,35,idle128_simpleCUFFT_hybrid,28281,350000,210,405,210
94,1647035131543025308,35,idle128_simpleCUFFT_hybrid,28281,350000,210,405,210
95,1647035131551764296,35,idle128_simpleCUFFT_hybrid,28281,350000,210,405,210
96,1647035131560459967,35,idle128_simpleCUFFT_hybrid,28281,350000,210,405,210
97,1647035131569161702,35,idle128_simpleCUFFT_hybrid,28281,350000,210,405,210
98,1647035131577998902,35,idle128_simpleCUFFT_hybrid,28478,350000,210,405,210
99,1647035131586805135,35,idle128_simpleCUFFT_hybrid,28478,350000,210,405,210
100,1647035131595521674,35,idle128_simpleCUFFT_hybrid,28478,350000,210,405,210
101,1647035131604223361,35,idle128_simpleCUFFT_hybrid,28478,350000,210,405,210
102,1647035131613009384,36,idle128_simpleCUFFT_hybrid,28478,350000,210,405,210
103,1647035131621703209,36,idle128_simpleCUFFT_hybrid,28478,350000,210,405,210
104,1647035131630597963,36,idle128_simpleCUFFT_hybrid,28478,350000,210,405,210
105,1647035131639353862,36,idle128_simpleCUFFT_hybrid,28478,350000,210,405,210
106,1647035131648053927,36,idle128_simpleCUFFT_hybrid,28478,350000,210,405,210
107,1647035131656758748,36,idle128_simpleCUFFT_hybrid,28478,350000,210,405,210
108,1647035131665481643,36,idle128_simpleCUFFT_hybrid,28478,350000,210,405,210
109,1647035131674208008,36,idle128_simpleCUFFT_hybrid,28478,350000,210,405,210
110,1647035131682903685,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
111,1647035131691936417,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
112,1647035131700614321,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
113,1647035131709309095,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
114,1647035131718021575,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
115,1647035131726717246,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
116,1647035131735420498,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
117,1647035131744124929,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
118,1647035131753397185,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
119,1647035131762090570,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
120,1647035131770766927,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
121,1647035131779478348,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
122,1647035131788187746,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
123,1647035131796894867,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
124,1647035131805588221,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
125,1647035131814263571,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
126,1647035131822981333,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
127,1647035131831659643,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
128,1647035131840376738,36,idle128_simpleCUFFT_hybrid,28478,350000,0,405,0
