timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1647371397238124769,36,idle256_transpose_memory,23555,350000,0,405,0
1,1647371397247125581,36,idle256_transpose_memory,23555,350000,0,405,0
2,1647371397255470430,36,idle256_transpose_memory,23555,350000,0,405,0
3,1647371397263775471,36,idle256_transpose_memory,23555,350000,0,405,0
4,1647371397272115463,36,idle256_transpose_memory,23555,350000,0,405,0
5,1647371397280433025,36,idle256_transpose_memory,23555,350000,0,405,0
6,1647371397288739129,36,idle256_transpose_memory,23555,350000,0,405,0
7,1647371397297073457,36,idle256_transpose_memory,23555,350000,0,405,0
8,1647371397305394713,36,idle256_transpose_memory,23555,350000,0,405,0
9,1647371397313697820,36,idle256_transpose_memory,23555,350000,0,405,210
10,1647371397333180284,36,idle256_transpose_memory,23555,350000,0,405,0
11,1647371397341531453,36,idle256_transpose_memory,23555,350000,0,405,0
12,1647371397349891865,36,idle256_transpose_memory,23555,350000,0,405,0
13,1647371397358321596,36,idle256_transpose_memory,23555,350000,0,405,0
14,1647371397366594570,36,idle256_transpose_memory,23555,350000,0,405,0
15,1647371397374889894,36,idle256_transpose_memory,23555,350000,0,405,0
16,1647371397383233059,36,idle256_transpose_memory,23555,350000,0,405,0
17,1647371397391506416,36,idle256_transpose_memory,23555,350000,0,405,0
18,1647371397399819514,36,idle256_transpose_memory,23555,350000,0,405,0
19,1647371397408386118,36,idle256_transpose_memory,23555,350000,0,405,0
20,1647371397416678149,36,idle256_transpose_memory,23555,350000,0,405,0
21,1647371397424986740,36,idle256_transpose_memory,23555,350000,0,405,0
22,1647371397433291861,36,idle256_transpose_memory,23555,350000,0,405,0
23,1647371397441535548,36,idle256_transpose_memory,23555,350000,0,405,0
24,1647371397449869519,36,idle256_transpose_memory,23555,350000,0,405,0
25,1647371397458193024,36,idle256_transpose_memory,23555,350000,0,405,0
26,1647371397466497972,36,idle256_transpose_memory,23555,350000,0,405,0
27,1647371397474818574,36,idle256_transpose_memory,23555,350000,0,405,0
28,1647371397483120304,36,idle256_transpose_memory,23555,350000,0,405,0
29,1647371397491446343,36,idle256_transpose_memory,23555,350000,0,405,0
30,1647371397499740994,36,idle256_transpose_memory,23555,350000,0,405,0
31,1647371397508035295,36,idle256_transpose_memory,23555,350000,0,405,0
32,1647371397516317598,36,idle256_transpose_memory,23555,350000,0,405,0
33,1647371397524560415,36,idle256_transpose_memory,23555,350000,0,405,0
34,1647371397532874840,36,idle256_transpose_memory,23555,350000,0,405,0
35,1647371397541167551,36,idle256_transpose_memory,23555,350000,0,405,0
36,1647371397549465372,36,idle256_transpose_memory,23555,350000,0,405,0
37,1647371397557902813,36,idle256_transpose_memory,23555,350000,0,405,0
38,1647371397566253155,36,idle256_transpose_memory,23555,350000,0,405,0
39,1647371397574620271,36,idle256_transpose_memory,23555,350000,0,405,0
40,1647371397582925688,36,idle256_transpose_memory,23555,350000,0,405,0
41,1647371397591252180,36,idle256_transpose_memory,23555,350000,0,405,0
42,1647371397599533604,36,idle256_transpose_memory,23555,350000,0,405,0
43,1647371397607815795,36,idle256_transpose_memory,23555,350000,0,405,0
44,1647371397616173804,36,idle256_transpose_memory,23555,350000,0,405,0
45,1647371397624490001,36,idle256_transpose_memory,23555,350000,0,405,0
46,1647371397632785699,36,idle256_transpose_memory,23555,350000,0,405,0
47,1647371397641093824,36,idle256_transpose_memory,23555,350000,0,405,0
48,1647371397649392021,36,idle256_transpose_memory,23555,350000,0,405,0
49,1647371397657707873,36,idle256_transpose_memory,23555,350000,0,405,0
50,1647371397666016501,36,idle256_transpose_memory,23555,350000,0,405,0
51,1647371397674303832,36,idle256_transpose_memory,23555,350000,0,405,0
52,1647371397682579212,36,idle256_transpose_memory,23555,350000,0,405,0
53,1647371397690906690,36,idle256_transpose_memory,23555,350000,0,405,0
54,1647371397699202451,36,idle256_transpose_memory,23555,350000,0,405,0
55,1647371397707492966,36,idle256_transpose_memory,23555,350000,0,405,0
56,1647371397715795274,36,idle256_transpose_memory,23555,350000,0,405,0
57,1647371397724097272,36,idle256_transpose_memory,23555,350000,0,405,0
58,1647371397732405709,36,idle256_transpose_memory,23555,350000,0,405,0
59,1647371397740726071,36,idle256_transpose_memory,23555,350000,0,405,0
60,1647371397749042389,36,idle256_transpose_memory,23555,350000,0,405,0
61,1647371397757326406,36,idle256_transpose_memory,23555,350000,0,405,0
62,1647371397765595129,36,idle256_transpose_memory,23555,350000,0,405,0
63,1647371397773905394,36,idle256_transpose_memory,23555,350000,0,405,0
64,1647371397782274271,36,idle256_transpose_memory,23555,350000,0,405,0
65,1647371397790606368,36,idle256_transpose_memory,23555,350000,0,405,0
66,1647371397798909410,36,idle256_transpose_memory,23555,350000,0,405,0
67,1647371397807198738,36,idle256_transpose_memory,23555,350000,0,405,0
68,1647371397815514139,36,idle256_transpose_memory,23555,350000,0,405,0
69,1647371397823866838,36,idle256_transpose_memory,23555,350000,0,405,0
70,1647371397832165475,36,idle256_transpose_memory,23555,350000,0,405,0
71,1647371397840456800,36,idle256_transpose_memory,23555,350000,0,405,0
72,1647371397848748417,36,idle256_transpose_memory,23555,350000,0,405,0
73,1647371397857051868,36,idle256_transpose_memory,23555,350000,0,405,0
74,1647371397865349806,36,idle256_transpose_memory,23555,350000,0,405,0
75,1647371397873611823,36,idle256_transpose_memory,23555,350000,0,405,0
76,1647371397881915984,36,idle256_transpose_memory,23555,350000,0,405,0
77,1647371397890234058,36,idle256_transpose_memory,23555,350000,0,405,0
78,1647371397898527987,36,idle256_transpose_memory,23555,350000,0,405,0
79,1647371397906833311,36,idle256_transpose_memory,23555,350000,0,405,0
80,1647371397915137529,36,idle256_transpose_memory,23555,350000,0,405,0
81,1647371397923424253,36,idle256_transpose_memory,23555,350000,0,405,0
82,1647371397931702704,36,idle256_transpose_memory,23555,350000,0,405,0
