timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1646946724256618042,34,idle32_vectorAdd_compute,23362,350000,210,405,210
1,1646946724270192362,35,idle32_vectorAdd_compute,23362,350000,210,405,210
2,1646946724278028613,35,idle32_vectorAdd_compute,23362,350000,210,405,210
3,1646946724285922871,35,idle32_vectorAdd_compute,23362,350000,210,405,210
4,1646946724293734377,35,idle32_vectorAdd_compute,23362,350000,210,405,210
5,1646946724301502132,34,idle32_vectorAdd_compute,23362,350000,210,405,210
6,1646946724309311201,34,idle32_vectorAdd_compute,23362,350000,210,405,210
7,1646946724317106975,34,idle32_vectorAdd_compute,23730,350000,210,405,210
8,1646946724325042006,34,idle32_vectorAdd_compute,23730,350000,210,405,210
9,1646946724332865351,35,idle32_vectorAdd_compute,23730,350000,210,405,210
10,1646946724340631046,35,idle32_vectorAdd_compute,23730,350000,210,405,210
11,1646946724348413868,35,idle32_vectorAdd_compute,23730,350000,210,405,210
12,1646946724360345389,35,idle32_vectorAdd_compute,23730,350000,210,405,210
13,1646946724368162010,35,idle32_vectorAdd_compute,23730,350000,210,405,210
14,1646946724376452447,35,idle32_vectorAdd_compute,23730,350000,210,405,210
15,1646946724384295660,35,idle32_vectorAdd_compute,23730,350000,210,405,210
16,1646946724392130633,35,idle32_vectorAdd_compute,23730,350000,210,405,210
17,1646946724399970254,35,idle32_vectorAdd_compute,23730,350000,210,405,210
18,1646946724407786021,35,idle32_vectorAdd_compute,23730,350000,210,405,210
19,1646946724415571172,35,idle32_vectorAdd_compute,23730,350000,210,405,210
20,1646946724423363642,35,idle32_vectorAdd_compute,23730,350000,210,405,210
21,1646946724431514946,35,idle32_vectorAdd_compute,24216,350000,210,405,210
22,1646946724439401411,35,idle32_vectorAdd_compute,24216,350000,210,405,210
23,1646946724447204997,35,idle32_vectorAdd_compute,24216,350000,210,405,210
24,1646946724454987740,35,idle32_vectorAdd_compute,24216,350000,210,405,210
25,1646946724468965835,35,idle32_vectorAdd_compute,24216,350000,210,405,210
26,1646946724476760820,35,idle32_vectorAdd_compute,24216,350000,210,405,210
27,1646946724484592833,35,idle32_vectorAdd_compute,24216,350000,210,405,210
28,1646946724492361155,35,idle32_vectorAdd_compute,24216,350000,210,405,210
29,1646946724500117527,35,idle32_vectorAdd_compute,24216,350000,210,405,210
30,1646946724507855060,35,idle32_vectorAdd_compute,24216,350000,210,405,210
31,1646946724515610055,35,idle32_vectorAdd_compute,24216,350000,210,405,210
32,1646946724523362242,35,idle32_vectorAdd_compute,24216,350000,210,405,210
33,1646946724531119552,35,idle32_vectorAdd_compute,24216,350000,210,405,210
34,1646946724539547117,35,idle32_vectorAdd_compute,24625,350000,210,405,210
35,1646946724547653773,35,idle32_vectorAdd_compute,24625,350000,210,405,210
36,1646946724555379011,35,idle32_vectorAdd_compute,24625,350000,210,405,210
37,1646946724563128971,35,idle32_vectorAdd_compute,24625,350000,210,405,210
38,1646946724577548634,35,idle32_vectorAdd_compute,24625,350000,210,405,210
39,1646946724585346720,35,idle32_vectorAdd_compute,24625,350000,210,405,210
40,1646946724593201221,35,idle32_vectorAdd_compute,24625,350000,210,405,210
41,1646946724600965866,35,idle32_vectorAdd_compute,24625,350000,210,405,210
42,1646946724608702250,35,idle32_vectorAdd_compute,24625,350000,210,405,210
43,1646946724616454547,35,idle32_vectorAdd_compute,24625,350000,210,405,210
44,1646946724624189355,35,idle32_vectorAdd_compute,24625,350000,210,405,210
45,1646946724631978130,35,idle32_vectorAdd_compute,24625,350000,210,405,210
46,1646946724639840109,35,idle32_vectorAdd_compute,24625,350000,210,405,210
47,1646946724647877236,35,idle32_vectorAdd_compute,24969,350000,210,405,210
48,1646946724655770894,35,idle32_vectorAdd_compute,24969,350000,210,405,210
49,1646946724663525233,35,idle32_vectorAdd_compute,24969,350000,210,405,210
50,1646946724671293982,35,idle32_vectorAdd_compute,24969,350000,210,405,210
51,1646946724679131596,35,idle32_vectorAdd_compute,24969,350000,210,405,210
52,1646946724686876830,35,idle32_vectorAdd_compute,24969,350000,210,405,210
53,1646946724694591828,35,idle32_vectorAdd_compute,24969,350000,210,405,210
54,1646946724702531107,35,idle32_vectorAdd_compute,24969,350000,210,405,210
55,1646946724710207998,35,idle32_vectorAdd_compute,24969,350000,210,405,210
56,1646946724717959722,35,idle32_vectorAdd_compute,24969,350000,210,405,210
57,1646946724725666033,35,idle32_vectorAdd_compute,24969,350000,210,405,210
58,1646946724733362360,35,idle32_vectorAdd_compute,24969,350000,210,405,210
59,1646946724741111189,35,idle32_vectorAdd_compute,24969,350000,210,405,210
60,1646946724748867735,35,idle32_vectorAdd_compute,24969,350000,210,405,210
61,1646946724757150384,35,idle32_vectorAdd_compute,25261,350000,210,405,210
62,1646946724765089913,35,idle32_vectorAdd_compute,25261,350000,210,405,210
63,1646946724772873032,35,idle32_vectorAdd_compute,25261,350000,210,405,210
64,1646946724780595837,35,idle32_vectorAdd_compute,25261,350000,210,405,210
65,1646946724788516976,35,idle32_vectorAdd_compute,25261,350000,210,405,210
66,1646946724796269857,35,idle32_vectorAdd_compute,25261,350000,210,405,210
67,1646946724804025243,35,idle32_vectorAdd_compute,25261,350000,210,405,210
68,1646946724811998426,35,idle32_vectorAdd_compute,25261,350000,210,405,210
69,1646946724819756451,35,idle32_vectorAdd_compute,25261,350000,210,405,210
70,1646946724827495580,35,idle32_vectorAdd_compute,25261,350000,210,405,210
71,1646946724835262766,35,idle32_vectorAdd_compute,25261,350000,210,405,210
72,1646946724843006371,35,idle32_vectorAdd_compute,25261,350000,210,405,210
73,1646946724850737055,35,idle32_vectorAdd_compute,25261,350000,210,405,210
74,1646946724858480356,35,idle32_vectorAdd_compute,25524,350000,210,405,210
75,1646946724866334851,35,idle32_vectorAdd_compute,25524,350000,210,405,210
76,1646946724874069542,35,idle32_vectorAdd_compute,25524,350000,210,405,210
77,1646946724881837481,35,idle32_vectorAdd_compute,25524,350000,210,405,210
78,1646946724889563463,35,idle32_vectorAdd_compute,25524,350000,210,405,210
79,1646946724897296090,35,idle32_vectorAdd_compute,25524,350000,210,405,210
80,1646946724905024349,35,idle32_vectorAdd_compute,25524,350000,210,405,210
81,1646946724912814298,35,idle32_vectorAdd_compute,25524,350000,210,405,210
82,1646946724920822432,35,idle32_vectorAdd_compute,25524,350000,210,405,210
83,1646946724928561660,35,idle32_vectorAdd_compute,25524,350000,210,405,210
84,1646946724936302834,35,idle32_vectorAdd_compute,25524,350000,210,405,210
