timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1647037491616056133,36,idle128_wordcount_memory,27850,350000,210,405,210
1,1647037491624691912,36,idle128_wordcount_memory,27850,350000,210,405,210
2,1647037491632581409,36,idle128_wordcount_memory,27850,350000,210,405,210
3,1647037491640751729,36,idle128_wordcount_memory,28104,350000,210,405,210
4,1647037491648756062,36,idle128_wordcount_memory,28104,350000,210,405,210
5,1647037491656624462,36,idle128_wordcount_memory,28104,350000,210,405,210
6,1647037491664507099,36,idle128_wordcount_memory,28104,350000,210,405,210
7,1647037491672503012,36,idle128_wordcount_memory,28104,350000,210,405,210
8,1647037491680360222,36,idle128_wordcount_memory,28104,350000,210,405,210
9,1647037491688295904,36,idle128_wordcount_memory,28104,350000,210,405,210
10,1647037491696322387,36,idle128_wordcount_memory,28104,350000,210,405,210
11,1647037491704198801,36,idle128_wordcount_memory,28104,350000,210,405,210
12,1647037491712050694,36,idle128_wordcount_memory,28104,350000,210,405,210
13,1647037491719886699,36,idle128_wordcount_memory,28104,350000,210,405,210
14,1647037491727699926,36,idle128_wordcount_memory,28104,350000,210,405,210
15,1647037491735592666,36,idle128_wordcount_memory,28104,350000,210,405,210
16,1647037491743588299,36,idle128_wordcount_memory,28325,350000,210,405,210
17,1647037491751471492,36,idle128_wordcount_memory,28325,350000,210,405,210
18,1647037491759574101,36,idle128_wordcount_memory,28325,350000,210,405,210
19,1647037491767463415,36,idle128_wordcount_memory,28325,350000,210,405,210
20,1647037491775348278,36,idle128_wordcount_memory,28325,350000,210,405,210
21,1647037491783269593,36,idle128_wordcount_memory,28325,350000,210,405,210
22,1647037491791174958,36,idle128_wordcount_memory,28325,350000,210,405,210
23,1647037491799086281,36,idle128_wordcount_memory,28325,350000,210,405,210
24,1647037491807181211,36,idle128_wordcount_memory,28325,350000,210,405,210
25,1647037491815082375,36,idle128_wordcount_memory,28325,350000,210,405,210
26,1647037491823116638,36,idle128_wordcount_memory,28325,350000,210,405,210
27,1647037491831045710,36,idle128_wordcount_memory,28325,350000,210,405,210
28,1647037491838953774,36,idle128_wordcount_memory,28325,350000,210,405,210
29,1647037491846953646,36,idle128_wordcount_memory,28325,350000,210,405,210
30,1647037491855067458,36,idle128_wordcount_memory,31303,350000,210,405,210
31,1647037491863035288,36,idle128_wordcount_memory,31303,350000,210,405,210
32,1647037491870938105,36,idle128_wordcount_memory,31303,350000,210,405,210
33,1647037491878809072,36,idle128_wordcount_memory,31303,350000,210,405,210
34,1647037491886870806,36,idle128_wordcount_memory,31303,350000,210,405,210
35,1647037491894835658,36,idle128_wordcount_memory,31303,350000,210,405,210
36,1647037491902741262,36,idle128_wordcount_memory,31303,350000,210,405,210
37,1647037491910675230,36,idle128_wordcount_memory,31303,350000,210,405,210
38,1647037491918534881,36,idle128_wordcount_memory,31303,350000,210,405,210
39,1647037491926424921,36,idle128_wordcount_memory,31303,350000,210,405,210
40,1647037491934310295,36,idle128_wordcount_memory,31303,350000,210,405,210
41,1647037491942300208,36,idle128_wordcount_memory,31303,350000,210,405,210
42,1647037491950178568,36,idle128_wordcount_memory,31303,350000,210,405,210
43,1647037491958095743,36,idle128_wordcount_memory,31303,350000,210,405,210
44,1647037491966552705,36,idle128_wordcount_memory,31236,350000,210,405,210
45,1647037491975196798,36,idle128_wordcount_memory,31236,350000,210,405,210
46,1647037491983079262,36,idle128_wordcount_memory,31236,350000,210,405,210
47,1647037491990975183,36,idle128_wordcount_memory,31236,350000,210,405,210
48,1647037491998999476,36,idle128_wordcount_memory,31236,350000,210,405,210
49,1647037492006904563,36,idle128_wordcount_memory,31236,350000,210,405,210
50,1647037492014800157,36,idle128_wordcount_memory,31236,350000,210,405,210
51,1647037492022740756,36,idle128_wordcount_memory,31236,350000,210,405,210
52,1647037492030614206,36,idle128_wordcount_memory,31236,350000,210,405,210
53,1647037492038493106,36,idle128_wordcount_memory,31236,350000,210,405,210
54,1647037492046380443,36,idle128_wordcount_memory,31236,350000,210,405,210
55,1647037492054302588,36,idle128_wordcount_memory,31236,350000,210,405,210
56,1647037492062225630,36,idle128_wordcount_memory,31236,350000,210,405,210
57,1647037492070134617,36,idle128_wordcount_memory,31166,350000,210,405,210
58,1647037492078123410,36,idle128_wordcount_memory,31166,350000,210,405,210
59,1647037492086060604,36,idle128_wordcount_memory,31166,350000,210,405,210
60,1647037492094105322,36,idle128_wordcount_memory,31166,350000,210,405,210
61,1647037492102038263,36,idle128_wordcount_memory,31166,350000,210,405,210
62,1647037492110023426,36,idle128_wordcount_memory,31166,350000,210,405,210
63,1647037492117946074,36,idle128_wordcount_memory,31166,350000,210,405,210
64,1647037492126060336,36,idle128_wordcount_memory,31166,350000,210,405,210
65,1647037492134044041,36,idle128_wordcount_memory,31166,350000,210,405,210
66,1647037492141943190,36,idle128_wordcount_memory,31166,350000,210,405,210
67,1647037492149832240,36,idle128_wordcount_memory,31166,350000,210,405,210
68,1647037492157698413,36,idle128_wordcount_memory,31166,350000,210,405,210
69,1647037492165557883,36,idle128_wordcount_memory,31166,350000,210,405,210
70,1647037492173419297,36,idle128_wordcount_memory,31166,350000,210,405,210
71,1647037492181329481,36,idle128_wordcount_memory,31131,350000,210,405,210
72,1647037492189367955,36,idle128_wordcount_memory,31131,350000,210,405,210
73,1647037492197288696,36,idle128_wordcount_memory,31131,350000,210,405,210
74,1647037492205137063,36,idle128_wordcount_memory,31131,350000,210,405,210
75,1647037492213430352,36,idle128_wordcount_memory,31131,350000,210,405,210
76,1647037492221313221,36,idle128_wordcount_memory,31131,350000,210,405,210
77,1647037492229212122,36,idle128_wordcount_memory,31131,350000,210,405,210
78,1647037492237185281,36,idle128_wordcount_memory,31131,350000,210,405,210
79,1647037492245057425,36,idle128_wordcount_memory,31131,350000,210,405,210
80,1647037492252946926,36,idle128_wordcount_memory,31131,350000,210,405,210
81,1647037492260822505,36,idle128_wordcount_memory,31131,350000,210,405,210
82,1647037492268692243,36,idle128_wordcount_memory,31131,350000,210,405,210
83,1647037492276546033,36,idle128_wordcount_memory,31131,350000,210,405,210
84,1647037492284402736,36,idle128_wordcount_memory,31131,350000,210,405,210
85,1647037492292770585,36,idle128_wordcount_memory,31121,350000,210,405,210
86,1647037492300964053,36,idle128_wordcount_memory,31121,350000,210,405,210
87,1647037492308877698,36,idle128_wordcount_memory,31121,350000,210,405,210
88,1647037492316790048,36,idle128_wordcount_memory,31121,350000,210,405,210
89,1647037492324742817,36,idle128_wordcount_memory,31121,350000,210,405,210
90,1647037492332609848,36,idle128_wordcount_memory,31121,350000,210,405,210
91,1647037492340506349,36,idle128_wordcount_memory,31121,350000,210,405,210
92,1647037492348754127,36,idle128_wordcount_memory,31121,350000,210,405,210
93,1647037492356627859,36,idle128_wordcount_memory,31121,350000,210,405,210
94,1647037492364503993,36,idle128_wordcount_memory,31121,350000,210,405,210
95,1647037492372377040,36,idle128_wordcount_memory,31121,350000,210,405,210
96,1647037492380248367,36,idle128_wordcount_memory,31121,350000,210,405,210
97,1647037492388146182,36,idle128_wordcount_memory,31121,350000,210,405,210
98,1647037492396054845,36,idle128_wordcount_memory,31116,350000,210,405,210
99,1647037492404014457,36,idle128_wordcount_memory,31116,350000,210,405,210
100,1647037492411968473,36,idle128_wordcount_memory,31116,350000,210,405,210
101,1647037492419881454,36,idle128_wordcount_memory,31116,350000,210,405,210
102,1647037492427785095,36,idle128_wordcount_memory,31116,350000,210,405,210
103,1647037492435725537,36,idle128_wordcount_memory,31116,350000,210,405,210
104,1647037492443595120,36,idle128_wordcount_memory,31116,350000,210,405,210
105,1647037492451606633,36,idle128_wordcount_memory,31116,350000,210,405,210
106,1647037492459487220,36,idle128_wordcount_memory,31116,350000,210,405,210
107,1647037492467344166,36,idle128_wordcount_memory,31116,350000,210,405,210
108,1647037492475344230,36,idle128_wordcount_memory,31116,350000,210,405,210
109,1647037492483249870,36,idle128_wordcount_memory,31116,350000,210,405,210
110,1647037492491153074,36,idle128_wordcount_memory,31116,350000,210,405,210
111,1647037492499200822,36,idle128_wordcount_memory,31116,350000,210,405,210
112,1647037492507186921,36,idle128_wordcount_memory,31100,350000,210,405,210
113,1647037492515144256,36,idle128_wordcount_memory,31100,350000,210,405,210
114,1647037492523053584,36,idle128_wordcount_memory,31100,350000,210,405,210
115,1647037492530985532,36,idle128_wordcount_memory,31100,350000,210,405,210
116,1647037492539243804,36,idle128_wordcount_memory,31100,350000,210,405,210
117,1647037492547107721,36,idle128_wordcount_memory,31100,350000,210,405,210
