timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1648606618978431669,56,idle64_r3_coalescing_memory,113122,350000,1395,9751,1395
1,1648606618986168852,56,idle64_r3_coalescing_memory,113122,350000,1395,9751,1395
2,1648606618995607571,56,idle64_r3_coalescing_memory,113122,350000,1395,9751,1395
3,1648606619003190427,56,idle64_r3_coalescing_memory,113122,350000,1395,9751,1395
4,1648606619010624867,56,idle64_r3_coalescing_memory,113122,350000,1395,9751,1395
5,1648606619018136177,56,idle64_r3_coalescing_memory,113122,350000,1395,9751,1395
6,1648606619025550679,56,idle64_r3_coalescing_memory,113122,350000,1395,9751,1395
7,1648606619032977302,56,idle64_r3_coalescing_memory,113122,350000,1395,9751,1395
8,1648606619040564478,56,idle64_r3_coalescing_memory,113122,350000,1395,9751,1395
9,1648606619048015662,56,idle64_r3_coalescing_memory,113122,350000,1395,9751,1395
10,1648606619056003222,56,idle64_r3_coalescing_memory,113196,350000,1395,9751,1395
11,1648606619063616136,56,idle64_r3_coalescing_memory,113196,350000,1395,9751,1395
12,1648606619070985334,56,idle64_r3_coalescing_memory,113196,350000,1395,9751,1395
13,1648606619080137287,56,idle64_r3_coalescing_memory,113196,350000,1395,9751,1395
14,1648606619087707219,56,idle64_r3_coalescing_memory,113196,350000,1395,9751,1395
15,1648606619095180500,56,idle64_r3_coalescing_memory,113196,350000,1395,9751,1395
16,1648606619104432418,56,idle64_r3_coalescing_memory,113196,350000,1395,9751,1395
17,1648606619111911482,56,idle64_r3_coalescing_memory,113196,350000,1395,9751,1395
18,1648606619119372788,56,idle64_r3_coalescing_memory,113196,350000,1395,9751,1395
19,1648606619126903623,56,idle64_r3_coalescing_memory,113196,350000,1395,9751,1395
20,1648606619134380810,56,idle64_r3_coalescing_memory,113196,350000,1395,9751,1395
21,1648606619142101202,56,idle64_r3_coalescing_memory,113196,350000,1395,9751,1395
22,1648606619149633343,56,idle64_r3_coalescing_memory,113196,350000,1395,9751,1395
23,1648606619157112258,56,idle64_r3_coalescing_memory,113153,350000,1395,9751,1395
24,1648606619166036895,56,idle64_r3_coalescing_memory,113153,350000,1395,9751,1395
25,1648606619173515383,56,idle64_r3_coalescing_memory,113153,350000,1395,9751,1395
26,1648606619181346220,56,idle64_r3_coalescing_memory,113153,350000,1395,9751,1395
27,1648606619190627560,56,idle64_r3_coalescing_memory,113153,350000,1395,9751,1395
28,1648606619198162847,56,idle64_r3_coalescing_memory,113153,350000,1395,9751,1395
29,1648606619205580673,56,idle64_r3_coalescing_memory,113153,350000,1395,9751,1395
30,1648606619213292392,56,idle64_r3_coalescing_memory,113153,350000,1395,9751,1395
31,1648606619220809986,56,idle64_r3_coalescing_memory,113153,350000,1395,9751,1395
32,1648606619228384892,56,idle64_r3_coalescing_memory,113153,350000,1395,9751,1395
33,1648606619236250108,56,idle64_r3_coalescing_memory,113153,350000,1395,9751,1395
34,1648606619243640600,56,idle64_r3_coalescing_memory,113153,350000,1395,9751,1395
35,1648606619252288824,56,idle64_r3_coalescing_memory,113153,350000,1395,9751,1395
36,1648606619259860855,56,idle64_r3_coalescing_memory,113153,350000,1395,9751,1395
37,1648606619267491708,56,idle64_r3_coalescing_memory,113207,350000,1395,9751,1395
38,1648606619276843638,56,idle64_r3_coalescing_memory,113207,350000,1395,9751,1395
39,1648606619284358793,56,idle64_r3_coalescing_memory,113207,350000,1395,9751,1395
40,1648606619291767536,56,idle64_r3_coalescing_memory,113207,350000,1395,9751,1395
41,1648606619299565139,56,idle64_r3_coalescing_memory,113207,350000,1395,9751,1395
42,1648606619307041079,56,idle64_r3_coalescing_memory,113207,350000,1395,9751,1395
43,1648606619314539063,56,idle64_r3_coalescing_memory,113207,350000,1395,9751,1395
44,1648606619322309106,56,idle64_r3_coalescing_memory,113207,350000,1395,9751,1395
45,1648606619329741705,56,idle64_r3_coalescing_memory,113207,350000,1395,9751,1395
46,1648606619337896670,56,idle64_r3_coalescing_memory,113207,350000,1395,9751,1395
47,1648606619345695538,56,idle64_r3_coalescing_memory,113207,350000,1395,9751,1395
48,1648606619353166468,56,idle64_r3_coalescing_memory,113207,350000,1395,9751,1395
