timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1648255066610816459,40,idle1024_r2_coalescing_memory,33080,350000,210,405,210
1,1648255066620350327,40,idle1024_r2_coalescing_memory,33080,350000,210,405,210
2,1648255066629096980,40,idle1024_r2_coalescing_memory,33080,350000,210,405,210
3,1648255066637832461,40,idle1024_r2_coalescing_memory,33080,350000,210,405,210
4,1648255066652058514,40,idle1024_r2_coalescing_memory,33080,350000,210,405,210
5,1648255066660747868,40,idle1024_r2_coalescing_memory,33080,350000,210,405,210
6,1648255066669542684,40,idle1024_r2_coalescing_memory,33080,350000,210,405,210
7,1648255066678177820,40,idle1024_r2_coalescing_memory,33080,350000,210,405,210
8,1648255066686825695,40,idle1024_r2_coalescing_memory,33080,350000,210,405,210
9,1648255066695456438,40,idle1024_r2_coalescing_memory,33080,350000,210,405,210
10,1648255066704103337,40,idle1024_r2_coalescing_memory,33080,350000,210,405,210
11,1648255066712723459,40,idle1024_r2_coalescing_memory,33080,350000,210,405,210
12,1648255066721736757,40,idle1024_r2_coalescing_memory,32979,350000,210,405,210
13,1648255066731123856,40,idle1024_r2_coalescing_memory,32979,350000,210,405,210
14,1648255066739761752,40,idle1024_r2_coalescing_memory,32979,350000,210,405,210
15,1648255066748340820,40,idle1024_r2_coalescing_memory,32979,350000,210,405,210
16,1648255066760550616,40,idle1024_r2_coalescing_memory,32979,350000,210,405,210
17,1648255066769187685,40,idle1024_r2_coalescing_memory,32979,350000,210,405,210
18,1648255066777894126,40,idle1024_r2_coalescing_memory,32979,350000,210,405,210
19,1648255066786561730,40,idle1024_r2_coalescing_memory,32979,350000,210,405,210
20,1648255066795166346,40,idle1024_r2_coalescing_memory,32979,350000,210,405,210
21,1648255066803807232,40,idle1024_r2_coalescing_memory,32979,350000,210,405,210
22,1648255066812418364,40,idle1024_r2_coalescing_memory,32979,350000,210,405,210
23,1648255066821068122,40,idle1024_r2_coalescing_memory,32979,350000,210,405,210
24,1648255066829836183,40,idle1024_r2_coalescing_memory,32876,350000,210,405,210
25,1648255066838719347,40,idle1024_r2_coalescing_memory,32876,350000,210,405,210
26,1648255066847370492,40,idle1024_r2_coalescing_memory,32876,350000,210,405,210
27,1648255066855978530,40,idle1024_r2_coalescing_memory,32876,350000,210,405,210
28,1648255066864607726,40,idle1024_r2_coalescing_memory,32876,350000,210,405,210
29,1648255066873191847,40,idle1024_r2_coalescing_memory,32876,350000,210,405,210
30,1648255066881881817,40,idle1024_r2_coalescing_memory,32876,350000,210,405,210
31,1648255066890396532,40,idle1024_r2_coalescing_memory,32876,350000,210,405,210
32,1648255066898966231,40,idle1024_r2_coalescing_memory,32876,350000,210,405,210
33,1648255066907337495,40,idle1024_r2_coalescing_memory,32876,350000,210,405,210
34,1648255066916001983,40,idle1024_r2_coalescing_memory,32876,350000,210,405,210
35,1648255066924636723,40,idle1024_r2_coalescing_memory,32876,350000,210,405,210
36,1648255066933265559,40,idle1024_r2_coalescing_memory,32876,350000,210,405,210
37,1648255066941876584,40,idle1024_r2_coalescing_memory,32782,350000,210,405,210
38,1648255066950685132,40,idle1024_r2_coalescing_memory,32782,350000,210,405,210
39,1648255066959292913,40,idle1024_r2_coalescing_memory,32782,350000,210,405,210
40,1648255066968397608,40,idle1024_r2_coalescing_memory,32782,350000,210,405,210
41,1648255066977003616,40,idle1024_r2_coalescing_memory,32782,350000,210,405,210
42,1648255066985619753,40,idle1024_r2_coalescing_memory,32782,350000,210,405,210
43,1648255066994379353,40,idle1024_r2_coalescing_memory,32782,350000,210,405,210
44,1648255067003023740,40,idle1024_r2_coalescing_memory,32782,350000,210,405,210
45,1648255067011662468,40,idle1024_r2_coalescing_memory,32782,350000,210,405,210
46,1648255067020230688,40,idle1024_r2_coalescing_memory,32782,350000,210,405,210
47,1648255067028862844,40,idle1024_r2_coalescing_memory,32782,350000,210,405,210
