timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1648597958890176633,56,idle64_r2_matrixMul_compute,111917,350000,1395,9751,1395
1,1648597958898180728,56,idle64_r2_matrixMul_compute,111917,350000,1395,9751,1395
2,1648597958906167858,56,idle64_r2_matrixMul_compute,111917,350000,1395,9751,1395
3,1648597958913788632,56,idle64_r2_matrixMul_compute,111917,350000,1395,9751,1395
4,1648597958921568741,56,idle64_r2_matrixMul_compute,111917,350000,1395,9751,1395
5,1648597958929473248,56,idle64_r2_matrixMul_compute,111917,350000,1395,9751,1395
6,1648597958937071918,56,idle64_r2_matrixMul_compute,111917,350000,1395,9751,1395
7,1648597958946457862,56,idle64_r2_matrixMul_compute,111917,350000,1395,9751,1395
8,1648597958954131662,56,idle64_r2_matrixMul_compute,111917,350000,1395,9751,1395
9,1648597958961780943,56,idle64_r2_matrixMul_compute,111917,350000,1395,9751,1395
10,1648597958970360323,56,idle64_r2_matrixMul_compute,111917,350000,1395,9751,1395
11,1648597958977946906,56,idle64_r2_matrixMul_compute,111917,350000,1395,9751,1395
12,1648597958985934570,56,idle64_r2_matrixMul_compute,112002,350000,1395,9751,1395
13,1648597958993838466,56,idle64_r2_matrixMul_compute,112002,350000,1395,9751,1395
14,1648597959001432738,56,idle64_r2_matrixMul_compute,112002,350000,1395,9751,1395
15,1648597959010118471,56,idle64_r2_matrixMul_compute,112002,350000,1395,9751,1395
16,1648597959017971110,56,idle64_r2_matrixMul_compute,112002,350000,1395,9751,1395
17,1648597959025584965,56,idle64_r2_matrixMul_compute,112002,350000,1395,9751,1395
18,1648597959035088236,56,idle64_r2_matrixMul_compute,112002,350000,1395,9751,1395
19,1648597959042940910,56,idle64_r2_matrixMul_compute,112002,350000,1395,9751,1395
20,1648597959050570011,56,idle64_r2_matrixMul_compute,112002,350000,1395,9751,1395
21,1648597959058234365,56,idle64_r2_matrixMul_compute,112002,350000,1395,9751,1395
22,1648597959065846722,56,idle64_r2_matrixMul_compute,112002,350000,1395,9751,1395
23,1648597959073948028,56,idle64_r2_matrixMul_compute,112002,350000,1395,9751,1395
24,1648597959081775216,56,idle64_r2_matrixMul_compute,112002,350000,1395,9751,1395
25,1648597959089378315,56,idle64_r2_matrixMul_compute,112069,350000,1395,9751,1395
26,1648597959098783284,56,idle64_r2_matrixMul_compute,112069,350000,1395,9751,1395
27,1648597959106376923,56,idle64_r2_matrixMul_compute,112069,350000,1395,9751,1395
28,1648597959113869144,56,idle64_r2_matrixMul_compute,112069,350000,1395,9751,1395
29,1648597959121594562,56,idle64_r2_matrixMul_compute,112069,350000,1395,9751,1395
