timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1648084510457434013,42,idle128_r4_matrixMul_compute,35184,350000,210,405,210
1,1648084510466427116,42,idle128_r4_matrixMul_compute,35184,350000,210,405,210
2,1648084510474596797,42,idle128_r4_matrixMul_compute,35184,350000,210,405,210
3,1648084510482785981,42,idle128_r4_matrixMul_compute,35184,350000,210,405,210
4,1648084510491131215,42,idle128_r4_matrixMul_compute,35184,350000,210,405,210
5,1648084510499512861,42,idle128_r4_matrixMul_compute,35184,350000,210,405,210
6,1648084510507671225,42,idle128_r4_matrixMul_compute,35184,350000,210,405,210
7,1648084510515827159,42,idle128_r4_matrixMul_compute,35184,350000,210,405,210
8,1648084510524445466,42,idle128_r4_matrixMul_compute,35014,350000,210,405,210
9,1648084510532758730,42,idle128_r4_matrixMul_compute,35014,350000,210,405,210
10,1648084510540958422,42,idle128_r4_matrixMul_compute,35014,350000,210,405,210
11,1648084510549131169,42,idle128_r4_matrixMul_compute,35014,350000,210,405,210
12,1648084510557306480,42,idle128_r4_matrixMul_compute,35014,350000,210,405,210
13,1648084510565473785,42,idle128_r4_matrixMul_compute,35014,350000,210,405,210
14,1648084510573594928,42,idle128_r4_matrixMul_compute,35014,350000,210,405,210
15,1648084510581861040,42,idle128_r4_matrixMul_compute,35014,350000,210,405,210
16,1648084510590031314,42,idle128_r4_matrixMul_compute,35014,350000,210,405,210
17,1648084510598196898,42,idle128_r4_matrixMul_compute,35014,350000,210,405,210
18,1648084510606346063,42,idle128_r4_matrixMul_compute,35014,350000,210,405,210
19,1648084510614506433,42,idle128_r4_matrixMul_compute,35014,350000,210,405,210
20,1648084510622669771,42,idle128_r4_matrixMul_compute,35014,350000,210,405,210
21,1648084510630991784,42,idle128_r4_matrixMul_compute,34821,350000,210,405,210
22,1648084510639192437,42,idle128_r4_matrixMul_compute,34821,350000,210,405,210
23,1648084510647487490,42,idle128_r4_matrixMul_compute,34821,350000,210,405,210
24,1648084510655629427,42,idle128_r4_matrixMul_compute,34821,350000,210,405,210
25,1648084510664375990,42,idle128_r4_matrixMul_compute,34821,350000,210,405,210
26,1648084510672531098,42,idle128_r4_matrixMul_compute,34821,350000,210,405,210
27,1648084510680702034,42,idle128_r4_matrixMul_compute,34821,350000,210,405,210
28,1648084510689178149,42,idle128_r4_matrixMul_compute,34821,350000,210,405,210
29,1648084510697344089,42,idle128_r4_matrixMul_compute,34821,350000,210,405,210
30,1648084510705506637,42,idle128_r4_matrixMul_compute,34821,350000,210,405,210
31,1648084510713684791,42,idle128_r4_matrixMul_compute,34821,350000,210,405,210
32,1648084510721944724,42,idle128_r4_matrixMul_compute,34821,350000,210,405,210
33,1648084510730219087,42,idle128_r4_matrixMul_compute,34821,350000,210,405,210
34,1648084510738421499,42,idle128_r4_matrixMul_compute,34654,350000,210,405,210
35,1648084510746606070,42,idle128_r4_matrixMul_compute,34654,350000,210,405,210
36,1648084510754862136,42,idle128_r4_matrixMul_compute,34654,350000,210,405,210
37,1648084510763061014,42,idle128_r4_matrixMul_compute,34654,350000,210,405,210
38,1648084510771492470,42,idle128_r4_matrixMul_compute,34654,350000,210,405,210
39,1648084510779670445,42,idle128_r4_matrixMul_compute,34654,350000,210,405,210
40,1648084510787854009,42,idle128_r4_matrixMul_compute,34654,350000,210,405,210
41,1648084510796081591,42,idle128_r4_matrixMul_compute,34654,350000,210,405,210
42,1648084510804329171,42,idle128_r4_matrixMul_compute,34654,350000,210,405,210
43,1648084510812509825,42,idle128_r4_matrixMul_compute,34654,350000,210,405,210
44,1648084510820708740,42,idle128_r4_matrixMul_compute,34654,350000,210,405,210
45,1648084510828908458,42,idle128_r4_matrixMul_compute,34654,350000,210,405,210
46,1648084510837113063,42,idle128_r4_matrixMul_compute,34654,350000,210,405,210
47,1648084510845314775,42,idle128_r4_matrixMul_compute,34524,350000,210,405,210
48,1648084510853548130,42,idle128_r4_matrixMul_compute,34524,350000,210,405,210
49,1648084510861767116,42,idle128_r4_matrixMul_compute,34524,350000,210,405,210
50,1648084510870076053,42,idle128_r4_matrixMul_compute,34524,350000,210,405,210
51,1648084510878287282,42,idle128_r4_matrixMul_compute,34524,350000,210,405,210
52,1648084510886481939,42,idle128_r4_matrixMul_compute,34524,350000,210,405,210
53,1648084510894660484,42,idle128_r4_matrixMul_compute,34524,350000,210,405,210
54,1648084510903117271,42,idle128_r4_matrixMul_compute,34524,350000,210,405,210
55,1648084510911340606,42,idle128_r4_matrixMul_compute,34524,350000,210,405,210
56,1648084510919535455,42,idle128_r4_matrixMul_compute,34524,350000,210,405,210
