timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1648605138497888245,56,idle128_r1_simpleCUFFT_hybrid,111755,350000,1395,9751,1395
1,1648605138505948281,56,idle128_r1_simpleCUFFT_hybrid,111755,350000,1395,9751,1395
2,1648605138514082656,56,idle128_r1_simpleCUFFT_hybrid,111717,350000,1395,9751,1395
3,1648605138522164266,56,idle128_r1_simpleCUFFT_hybrid,111717,350000,1395,9751,1395
4,1648605138529948536,56,idle128_r1_simpleCUFFT_hybrid,111717,350000,1395,9751,1395
5,1648605138539197031,56,idle128_r1_simpleCUFFT_hybrid,111717,350000,1395,9751,1395
6,1648605138547178068,56,idle128_r1_simpleCUFFT_hybrid,111717,350000,1395,9751,1395
7,1648605138554947348,56,idle128_r1_simpleCUFFT_hybrid,111717,350000,1395,9751,1395
8,1648605138563854043,56,idle128_r1_simpleCUFFT_hybrid,111717,350000,1395,9751,1395
9,1648605138571587285,56,idle128_r1_simpleCUFFT_hybrid,111717,350000,1395,9751,1395
10,1648605138579390643,56,idle128_r1_simpleCUFFT_hybrid,111717,350000,1395,9751,1395
11,1648605138587291913,56,idle128_r1_simpleCUFFT_hybrid,111717,350000,1395,9751,1395
12,1648605138595071080,56,idle128_r1_simpleCUFFT_hybrid,111717,350000,1395,9751,1395
13,1648605138604157159,56,idle128_r1_simpleCUFFT_hybrid,111717,350000,1395,9751,1395
14,1648605138611936708,56,idle128_r1_simpleCUFFT_hybrid,111717,350000,1395,9751,1395
15,1648605138620042478,56,idle128_r1_simpleCUFFT_hybrid,111879,350000,1395,9751,1395
16,1648605138628304942,56,idle128_r1_simpleCUFFT_hybrid,111879,350000,1395,9751,1395
17,1648605138636078605,56,idle128_r1_simpleCUFFT_hybrid,111879,350000,1395,9751,1395
18,1648605138643867239,56,idle128_r1_simpleCUFFT_hybrid,111879,350000,1395,9751,1395
19,1648605138651943662,56,idle128_r1_simpleCUFFT_hybrid,111879,350000,1395,9751,1395
20,1648605138659672701,56,idle128_r1_simpleCUFFT_hybrid,111879,350000,1395,9751,1395
21,1648605138668467036,56,idle128_r1_simpleCUFFT_hybrid,111879,350000,1395,9751,1395
22,1648605138676394512,56,idle128_r1_simpleCUFFT_hybrid,111879,350000,1395,9751,1395
23,1648605138684123029,56,idle128_r1_simpleCUFFT_hybrid,111879,350000,1395,9751,1395
24,1648605138693736885,56,idle128_r1_simpleCUFFT_hybrid,111879,350000,1395,9751,1395
25,1648605138701510229,56,idle128_r1_simpleCUFFT_hybrid,111879,350000,1395,9751,1395
26,1648605138709231034,56,idle128_r1_simpleCUFFT_hybrid,111879,350000,1395,9751,1395
27,1648605138717156087,56,idle128_r1_simpleCUFFT_hybrid,111879,350000,1395,9751,1395
28,1648605138724995556,56,idle128_r1_simpleCUFFT_hybrid,112036,350000,1395,9751,1395
29,1648605138734251544,56,idle128_r1_simpleCUFFT_hybrid,112036,350000,1395,9751,1395
30,1648605138742109348,56,idle128_r1_simpleCUFFT_hybrid,112036,350000,1395,9751,1395
31,1648605138749881232,56,idle128_r1_simpleCUFFT_hybrid,112036,350000,1395,9751,1395
32,1648605138758138787,56,idle128_r1_simpleCUFFT_hybrid,112036,350000,1395,9751,1395
33,1648605138765861325,56,idle128_r1_simpleCUFFT_hybrid,112036,350000,1395,9751,1395
34,1648605138773620091,56,idle128_r1_simpleCUFFT_hybrid,112036,350000,1395,9751,1395
35,1648605138781673431,56,idle128_r1_simpleCUFFT_hybrid,112036,350000,1395,9751,1395
36,1648605138789396102,56,idle128_r1_simpleCUFFT_hybrid,112036,350000,1395,9751,1395
37,1648605138798269710,56,idle128_r1_simpleCUFFT_hybrid,112036,350000,1395,9751,1395
38,1648605138806104858,56,idle128_r1_simpleCUFFT_hybrid,112036,350000,1395,9751,1395
39,1648605138813891168,56,idle128_r1_simpleCUFFT_hybrid,112036,350000,1395,9751,1395
40,1648605138823613543,56,idle128_r1_simpleCUFFT_hybrid,112036,350000,1395,9751,1395
41,1648605138831437318,56,idle128_r1_simpleCUFFT_hybrid,112036,350000,1395,9751,1395
42,1648605138840334453,56,idle128_r1_simpleCUFFT_hybrid,112244,350000,1395,9751,1395
43,1648605138848226062,56,idle128_r1_simpleCUFFT_hybrid,112244,350000,1395,9751,1395
44,1648605138855890110,56,idle128_r1_simpleCUFFT_hybrid,112244,350000,1395,9751,1395
45,1648605138865451061,56,idle128_r1_simpleCUFFT_hybrid,112244,350000,1395,9751,1395
46,1648605138873246462,56,idle128_r1_simpleCUFFT_hybrid,112244,350000,1395,9751,1395
47,1648605138881031295,56,idle128_r1_simpleCUFFT_hybrid,112244,350000,1395,9751,1395
48,1648605138888865333,56,idle128_r1_simpleCUFFT_hybrid,112244,350000,1395,9751,1395
49,1648605138896594748,56,idle128_r1_simpleCUFFT_hybrid,112244,350000,1395,9751,1395
50,1648605138904308425,56,idle128_r1_simpleCUFFT_hybrid,112244,350000,1395,9751,1395
51,1648605138912230271,56,idle128_r1_simpleCUFFT_hybrid,112244,350000,1395,9751,1395
52,1648605138919987010,56,idle128_r1_simpleCUFFT_hybrid,112244,350000,1395,9751,1395
53,1648605138929411470,56,idle128_r1_simpleCUFFT_hybrid,112244,350000,1395,9751,1395
54,1648605138937201833,56,idle128_r1_simpleCUFFT_hybrid,112244,350000,1395,9751,1395
55,1648605138945145961,56,idle128_r1_simpleCUFFT_hybrid,112451,350000,1395,9751,1395
56,1648605138953048606,56,idle128_r1_simpleCUFFT_hybrid,112451,350000,1395,9751,1395
57,1648605138960801212,56,idle128_r1_simpleCUFFT_hybrid,112451,350000,1395,9751,1395
58,1648605138968549955,56,idle128_r1_simpleCUFFT_hybrid,112451,350000,1395,9751,1395
59,1648605138976637925,56,idle128_r1_simpleCUFFT_hybrid,112451,350000,1395,9751,1395
60,1648605138984329600,56,idle128_r1_simpleCUFFT_hybrid,112451,350000,1395,9751,1395
61,1648605138993223741,56,idle128_r1_simpleCUFFT_hybrid,112451,350000,1395,9751,1395
62,1648605139001176435,56,idle128_r1_simpleCUFFT_hybrid,112451,350000,1395,9751,1395
63,1648605139008921924,56,idle128_r1_simpleCUFFT_hybrid,112451,350000,1395,9751,1395
64,1648605139018435880,56,idle128_r1_simpleCUFFT_hybrid,112451,350000,1395,9751,1395
65,1648605139026139893,56,idle128_r1_simpleCUFFT_hybrid,112451,350000,1395,9751,1395
66,1648605139033934777,56,idle128_r1_simpleCUFFT_hybrid,112451,350000,1395,9751,1395
67,1648605139041837237,56,idle128_r1_simpleCUFFT_hybrid,112451,350000,1395,9751,1395
68,1648605139049591022,56,idle128_r1_simpleCUFFT_hybrid,112639,350000,1395,9751,1395
69,1648605139058762872,56,idle128_r1_simpleCUFFT_hybrid,112639,350000,1395,9751,1395
70,1648605139066590261,56,idle128_r1_simpleCUFFT_hybrid,112639,350000,1395,9751,1395
71,1648605139074314719,56,idle128_r1_simpleCUFFT_hybrid,112639,350000,1395,9751,1395
72,1648605139084340511,56,idle128_r1_simpleCUFFT_hybrid,112639,350000,1395,9751,1395
73,1648605139092186576,56,idle128_r1_simpleCUFFT_hybrid,112639,350000,1395,9751,1395
74,1648605139100490991,56,idle128_r1_simpleCUFFT_hybrid,112639,350000,1395,9751,1395
75,1648605139108371447,56,idle128_r1_simpleCUFFT_hybrid,112639,350000,1395,9751,1395
76,1648605139116131013,56,idle128_r1_simpleCUFFT_hybrid,112639,350000,1395,9751,1395
77,1648605139125775700,56,idle128_r1_simpleCUFFT_hybrid,112639,350000,1395,9751,1395
78,1648605139133733407,56,idle128_r1_simpleCUFFT_hybrid,112639,350000,1395,9751,1395
79,1648605139141511921,56,idle128_r1_simpleCUFFT_hybrid,112639,350000,1395,9751,1395
80,1648605139149355172,56,idle128_r1_simpleCUFFT_hybrid,112639,350000,1395,9751,1395
81,1648605139157061269,56,idle128_r1_simpleCUFFT_hybrid,112639,350000,1395,9751,1395
82,1648605139165530659,56,idle128_r1_simpleCUFFT_hybrid,112837,350000,1395,9751,1395
83,1648605139173460615,56,idle128_r1_simpleCUFFT_hybrid,112837,350000,1395,9751,1395
84,1648605139181190199,56,idle128_r1_simpleCUFFT_hybrid,112837,350000,1395,9751,1395
85,1648605139190860109,56,idle128_r1_simpleCUFFT_hybrid,112837,350000,1395,9751,1395
86,1648605139198668509,56,idle128_r1_simpleCUFFT_hybrid,112837,350000,1395,9751,1395
87,1648605139206370404,56,idle128_r1_simpleCUFFT_hybrid,112837,350000,1395,9751,1395
88,1648605139214413301,56,idle128_r1_simpleCUFFT_hybrid,112837,350000,1395,9751,1395
89,1648605139222131149,56,idle128_r1_simpleCUFFT_hybrid,112837,350000,1395,9751,1395
90,1648605139230955689,56,idle128_r1_simpleCUFFT_hybrid,112837,350000,1395,9751,1395
91,1648605139238834686,56,idle128_r1_simpleCUFFT_hybrid,112837,350000,1395,9751,1395
92,1648605139246541010,56,idle128_r1_simpleCUFFT_hybrid,112837,350000,1395,9751,1395
93,1648605139256217607,56,idle128_r1_simpleCUFFT_hybrid,112837,350000,1395,9751,1395
94,1648605139264051068,56,idle128_r1_simpleCUFFT_hybrid,112837,350000,1395,9751,1395
95,1648605139272789570,56,idle128_r1_simpleCUFFT_hybrid,113004,350000,1395,9751,1395
96,1648605139280752127,56,idle128_r1_simpleCUFFT_hybrid,113004,350000,1395,9751,1395
97,1648605139288551507,56,idle128_r1_simpleCUFFT_hybrid,113004,350000,1395,9751,1395
98,1648605139298114086,56,idle128_r1_simpleCUFFT_hybrid,113004,350000,1395,9751,1395
99,1648605139305895976,56,idle128_r1_simpleCUFFT_hybrid,113004,350000,1395,9751,1395
100,1648605139313654821,56,idle128_r1_simpleCUFFT_hybrid,113004,350000,1395,9751,1395
101,1648605139321558264,56,idle128_r1_simpleCUFFT_hybrid,113004,350000,1395,9751,1395
102,1648605139329267840,56,idle128_r1_simpleCUFFT_hybrid,113004,350000,1395,9751,1395
103,1648605139337124665,56,idle128_r1_simpleCUFFT_hybrid,113004,350000,1395,9751,1395
104,1648605139345141904,56,idle128_r1_simpleCUFFT_hybrid,113004,350000,1395,9751,1395
105,1648605139352951345,56,idle128_r1_simpleCUFFT_hybrid,113004,350000,1395,9751,1395
106,1648605139362434605,56,idle128_r1_simpleCUFFT_hybrid,113004,350000,1395,9751,1395
107,1648605139370198338,56,idle128_r1_simpleCUFFT_hybrid,113004,350000,1395,9751,1395
108,1648605139378064788,56,idle128_r1_simpleCUFFT_hybrid,113208,350000,1395,9751,1395
109,1648605139385916581,56,idle128_r1_simpleCUFFT_hybrid,113208,350000,1395,9751,1395
110,1648605139393679938,56,idle128_r1_simpleCUFFT_hybrid,113208,350000,1395,9751,1395
111,1648605139401466444,56,idle128_r1_simpleCUFFT_hybrid,113208,350000,1395,9751,1395
112,1648605139409569853,56,idle128_r1_simpleCUFFT_hybrid,113208,350000,1395,9751,1395
113,1648605139417291997,56,idle128_r1_simpleCUFFT_hybrid,113208,350000,1395,9751,1395
114,1648605139426378256,56,idle128_r1_simpleCUFFT_hybrid,113208,350000,1395,9751,1395
115,1648605139434398534,56,idle128_r1_simpleCUFFT_hybrid,113208,350000,1395,9751,1395
116,1648605139442168718,56,idle128_r1_simpleCUFFT_hybrid,113208,350000,1395,9751,1395
117,1648605139450950769,56,idle128_r1_simpleCUFFT_hybrid,113208,350000,1395,9751,1395
118,1648605139458709386,56,idle128_r1_simpleCUFFT_hybrid,113208,350000,1395,9751,1395
119,1648605139466500927,56,idle128_r1_simpleCUFFT_hybrid,113208,350000,1395,9751,1395
120,1648605139474326860,56,idle128_r1_simpleCUFFT_hybrid,113208,350000,1395,9751,1395
121,1648605139482079310,56,idle128_r1_simpleCUFFT_hybrid,113389,350000,1395,9751,1395
122,1648605139491678140,56,idle128_r1_simpleCUFFT_hybrid,113389,350000,1395,9751,1395
123,1648605139499456977,56,idle128_r1_simpleCUFFT_hybrid,113389,350000,1395,9751,1395
124,1648605139507188906,56,idle128_r1_simpleCUFFT_hybrid,113389,350000,1395,9751,1395
125,1648605139515535014,56,idle128_r1_simpleCUFFT_hybrid,113389,350000,1395,9751,1395
126,1648605139523285891,56,idle128_r1_simpleCUFFT_hybrid,113389,350000,1395,9751,1395
127,1648605139531000303,56,idle128_r1_simpleCUFFT_hybrid,113389,350000,1395,9751,1395
128,1648605139539034262,56,idle128_r1_simpleCUFFT_hybrid,113389,350000,1395,9751,1395
129,1648605139546783224,56,idle128_r1_simpleCUFFT_hybrid,113389,350000,1395,9751,1395
130,1648605139555955575,56,idle128_r1_simpleCUFFT_hybrid,113389,350000,1395,9751,1395
131,1648605139563839697,56,idle128_r1_simpleCUFFT_hybrid,113389,350000,1395,9751,1395
132,1648605139571552637,56,idle128_r1_simpleCUFFT_hybrid,113389,350000,1395,9751,1395
133,1648605139581059039,56,idle128_r1_simpleCUFFT_hybrid,113389,350000,1395,9751,1395
134,1648605139588846137,56,idle128_r1_simpleCUFFT_hybrid,113389,350000,1395,9751,1395
135,1648605139597599681,56,idle128_r1_simpleCUFFT_hybrid,113538,350000,1395,9751,1395
136,1648605139605572062,56,idle128_r1_simpleCUFFT_hybrid,113538,350000,1395,9751,1395
137,1648605139613291895,56,idle128_r1_simpleCUFFT_hybrid,113538,350000,1395,9751,1395
138,1648605139622967629,56,idle128_r1_simpleCUFFT_hybrid,113538,350000,1395,9751,1395
139,1648605139630837493,56,idle128_r1_simpleCUFFT_hybrid,113538,350000,1395,9751,1395
140,1648605139638613367,56,idle128_r1_simpleCUFFT_hybrid,113538,350000,1395,9751,1395
141,1648605139646577231,56,idle128_r1_simpleCUFFT_hybrid,113538,350000,1395,9751,1395
142,1648605139654302607,56,idle128_r1_simpleCUFFT_hybrid,113538,350000,1395,9751,1395
143,1648605139662657243,56,idle128_r1_simpleCUFFT_hybrid,113538,350000,1395,9751,1395
144,1648605139670682381,56,idle128_r1_simpleCUFFT_hybrid,113538,350000,1395,9751,1395
145,1648605139678472155,56,idle128_r1_simpleCUFFT_hybrid,113538,350000,1395,9751,1395
146,1648605139688151117,56,idle128_r1_simpleCUFFT_hybrid,113538,350000,1395,9751,1395
147,1648605139696004831,56,idle128_r1_simpleCUFFT_hybrid,113538,350000,1395,9751,1395
148,1648605139704355203,56,idle128_r1_simpleCUFFT_hybrid,113555,350000,1395,9751,1395
149,1648605139712830192,56,idle128_r1_simpleCUFFT_hybrid,113555,350000,1395,9751,1395
150,1648605139720546008,56,idle128_r1_simpleCUFFT_hybrid,113555,350000,1395,9751,1395
151,1648605139729932646,56,idle128_r1_simpleCUFFT_hybrid,113555,350000,1395,9751,1395
152,1648605139737688142,56,idle128_r1_simpleCUFFT_hybrid,113555,350000,1395,9751,1395
153,1648605139745451742,56,idle128_r1_simpleCUFFT_hybrid,113555,350000,1395,9751,1395
154,1648605139753399873,56,idle128_r1_simpleCUFFT_hybrid,113555,350000,1395,9751,1395
155,1648605139761241407,56,idle128_r1_simpleCUFFT_hybrid,113555,350000,1395,9751,1395
156,1648605139769008900,56,idle128_r1_simpleCUFFT_hybrid,113555,350000,1395,9751,1395
157,1648605139776912599,56,idle128_r1_simpleCUFFT_hybrid,113555,350000,1395,9751,1395
158,1648605139784693964,56,idle128_r1_simpleCUFFT_hybrid,113555,350000,1395,9751,1395
159,1648605139793595034,56,idle128_r1_simpleCUFFT_hybrid,113555,350000,1395,9751,1395
160,1648605139801459863,56,idle128_r1_simpleCUFFT_hybrid,113555,350000,1395,9751,1395
161,1648605139809413567,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
162,1648605139818965498,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
163,1648605139826723388,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
164,1648605139834543368,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
165,1648605139844917182,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
166,1648605139852680505,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
167,1648605139862398939,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
168,1648605139870217374,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
169,1648605139878073946,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
170,1648605139886079058,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
171,1648605139893881745,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
172,1648605139903485587,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
173,1648605139911359323,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
174,1648605139919414576,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
175,1648605139927891490,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
176,1648605139935653774,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
177,1648605139944247949,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
178,1648605139953384388,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
179,1648605139961154677,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
180,1648605139970290656,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
181,1648605139978001442,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
182,1648605139985787089,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
183,1648605139993767326,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
184,1648605140001452308,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
185,1648605140010894494,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
186,1648605140018738482,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
187,1648605140026711690,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
188,1648605140034577669,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
189,1648605140042298014,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
190,1648605140050059400,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
191,1648605140058134294,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
192,1648605140065856059,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
193,1648605140074660677,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
194,1648605140082660787,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
195,1648605140090398665,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
196,1648605140100171128,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
197,1648605140108028356,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
198,1648605140115839378,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
199,1648605140123694633,56,idle128_r1_simpleCUFFT_hybrid,113586,350000,1395,9751,1395
200,1648605140131404821,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
201,1648605140141026778,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
202,1648605140148891926,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
203,1648605140156673394,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
204,1648605140164510199,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
205,1648605140172258155,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
206,1648605140180000423,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
207,1648605140188021599,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
208,1648605140195807547,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
209,1648605140204734207,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
210,1648605140212555859,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
211,1648605140220315618,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
212,1648605140229961288,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
213,1648605140237825250,56,idle128_r1_simpleCUFFT_hybrid,113582,350000,1395,9751,1395
214,1648605140246344096,56,idle128_r1_simpleCUFFT_hybrid,113572,350000,1395,9751,1395
215,1648605140254218081,56,idle128_r1_simpleCUFFT_hybrid,113572,350000,1395,9751,1395
216,1648605140261963141,56,idle128_r1_simpleCUFFT_hybrid,113572,350000,1395,9751,1395
217,1648605140271752285,56,idle128_r1_simpleCUFFT_hybrid,113572,350000,1395,9751,1395
218,1648605140279605031,56,idle128_r1_simpleCUFFT_hybrid,113572,350000,1395,9751,1395
219,1648605140287333839,56,idle128_r1_simpleCUFFT_hybrid,113572,350000,1395,9751,1395
220,1648605140295140616,56,idle128_r1_simpleCUFFT_hybrid,113572,350000,1395,9751,1395
221,1648605140302924079,56,idle128_r1_simpleCUFFT_hybrid,113572,350000,1395,9751,1395
222,1648605140310793001,56,idle128_r1_simpleCUFFT_hybrid,113572,350000,1395,9751,1395
223,1648605140318821580,56,idle128_r1_simpleCUFFT_hybrid,113572,350000,1395,9751,1395
224,1648605140326575434,56,idle128_r1_simpleCUFFT_hybrid,113572,350000,1395,9751,1395
225,1648605140336157465,56,idle128_r1_simpleCUFFT_hybrid,113572,350000,1395,9751,1395
226,1648605140343850030,56,idle128_r1_simpleCUFFT_hybrid,113572,350000,1395,9751,1395
227,1648605140351760597,56,idle128_r1_simpleCUFFT_hybrid,113583,350000,1395,9751,1395
228,1648605140359733788,56,idle128_r1_simpleCUFFT_hybrid,113583,350000,1395,9751,1395
229,1648605140367561719,56,idle128_r1_simpleCUFFT_hybrid,113583,350000,1395,9751,1395
230,1648605140375311129,56,idle128_r1_simpleCUFFT_hybrid,113583,350000,1395,9751,1395
231,1648605140383386488,56,idle128_r1_simpleCUFFT_hybrid,113583,350000,1395,9751,1395
232,1648605140391157499,56,idle128_r1_simpleCUFFT_hybrid,113583,350000,1395,9751,1395
233,1648605140400702520,56,idle128_r1_simpleCUFFT_hybrid,113583,350000,1395,9751,1395
234,1648605140408548808,56,idle128_r1_simpleCUFFT_hybrid,113583,350000,1395,9751,1395
235,1648605140416304925,56,idle128_r1_simpleCUFFT_hybrid,113583,350000,1395,9751,1395
236,1648605140424248131,56,idle128_r1_simpleCUFFT_hybrid,113583,350000,1395,9751,1395
237,1648605140431993000,56,idle128_r1_simpleCUFFT_hybrid,113583,350000,1395,9751,1395
238,1648605140439773701,56,idle128_r1_simpleCUFFT_hybrid,113583,350000,1395,9751,1395
239,1648605140447704521,56,idle128_r1_simpleCUFFT_hybrid,113583,350000,1395,9751,1395
240,1648605140455442466,56,idle128_r1_simpleCUFFT_hybrid,113583,350000,1395,9751,1395
241,1648605140464334481,56,idle128_r1_simpleCUFFT_hybrid,113570,350000,1395,9751,1395
242,1648605140472143566,56,idle128_r1_simpleCUFFT_hybrid,113570,350000,1395,9751,1395
243,1648605140479943235,56,idle128_r1_simpleCUFFT_hybrid,113570,350000,1395,9751,1395
244,1648605140489567649,56,idle128_r1_simpleCUFFT_hybrid,113570,350000,1395,9751,1395
245,1648605140497412230,56,idle128_r1_simpleCUFFT_hybrid,113570,350000,1395,9751,1395
246,1648605140505092971,56,idle128_r1_simpleCUFFT_hybrid,113570,350000,1395,9751,1395
247,1648605140513681272,56,idle128_r1_simpleCUFFT_hybrid,113570,350000,1395,9751,1395
248,1648605140521405838,56,idle128_r1_simpleCUFFT_hybrid,113570,350000,1395,9751,1395
249,1648605140531053391,56,idle128_r1_simpleCUFFT_hybrid,113570,350000,1395,9751,1395
250,1648605140538902970,56,idle128_r1_simpleCUFFT_hybrid,113570,350000,1395,9751,1395
251,1648605140546685080,56,idle128_r1_simpleCUFFT_hybrid,113570,350000,1395,9751,1395
252,1648605140554551322,56,idle128_r1_simpleCUFFT_hybrid,113570,350000,1395,9751,1395
253,1648605140562287129,56,idle128_r1_simpleCUFFT_hybrid,113570,350000,1395,9751,1395
254,1648605140571113524,56,idle128_r1_simpleCUFFT_hybrid,113573,350000,1395,9751,1395
255,1648605140578993167,56,idle128_r1_simpleCUFFT_hybrid,113573,350000,1395,9751,1395
256,1648605140586781994,56,idle128_r1_simpleCUFFT_hybrid,113573,350000,1395,9751,1395
257,1648605140596448288,56,idle128_r1_simpleCUFFT_hybrid,113573,350000,1395,9751,1395
258,1648605140604288959,56,idle128_r1_simpleCUFFT_hybrid,113573,350000,1395,9751,1395
259,1648605140612046886,56,idle128_r1_simpleCUFFT_hybrid,113573,350000,1395,9751,1395
260,1648605140619907517,56,idle128_r1_simpleCUFFT_hybrid,113573,350000,1395,9751,1395
261,1648605140627664059,56,idle128_r1_simpleCUFFT_hybrid,113573,350000,1395,9751,1395
262,1648605140635498536,56,idle128_r1_simpleCUFFT_hybrid,113573,350000,1395,9751,1395
263,1648605140643524487,56,idle128_r1_simpleCUFFT_hybrid,113573,350000,1395,9751,1395
264,1648605140651223686,56,idle128_r1_simpleCUFFT_hybrid,113573,350000,1395,9751,1395
265,1648605140660823984,56,idle128_r1_simpleCUFFT_hybrid,113573,350000,1395,9751,1395
266,1648605140668699891,56,idle128_r1_simpleCUFFT_hybrid,113573,350000,1395,9751,1395
267,1648605140676556013,56,idle128_r1_simpleCUFFT_hybrid,113574,350000,1395,9751,1395
268,1648605140684626169,56,idle128_r1_simpleCUFFT_hybrid,113574,350000,1395,9751,1395
269,1648605140692413055,56,idle128_r1_simpleCUFFT_hybrid,113574,350000,1395,9751,1395
270,1648605140700240006,56,idle128_r1_simpleCUFFT_hybrid,113574,350000,1395,9751,1395
271,1648605140708113433,56,idle128_r1_simpleCUFFT_hybrid,113574,350000,1395,9751,1395
