timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1648087038315516853,41,idle128_r4_simpleCUFFT_hybrid,34322,350000,210,405,210
1,1648087038324354822,41,idle128_r4_simpleCUFFT_hybrid,34322,350000,210,405,210
2,1648087038332453509,41,idle128_r4_simpleCUFFT_hybrid,34322,350000,210,405,210
3,1648087038340549178,41,idle128_r4_simpleCUFFT_hybrid,34322,350000,210,405,210
4,1648087038348788264,41,idle128_r4_simpleCUFFT_hybrid,34322,350000,210,405,210
5,1648087038356941045,41,idle128_r4_simpleCUFFT_hybrid,34322,350000,210,405,210
6,1648087038365073671,41,idle128_r4_simpleCUFFT_hybrid,34322,350000,210,405,210
7,1648087038373234691,41,idle128_r4_simpleCUFFT_hybrid,34322,350000,210,405,210
8,1648087038381470248,41,idle128_r4_simpleCUFFT_hybrid,34322,350000,210,405,210
9,1648087038389619461,41,idle128_r4_simpleCUFFT_hybrid,34322,350000,210,405,210
10,1648087038397734544,41,idle128_r4_simpleCUFFT_hybrid,34322,350000,210,405,210
11,1648087038406419776,41,idle128_r4_simpleCUFFT_hybrid,34181,350000,210,405,210
12,1648087038415050313,41,idle128_r4_simpleCUFFT_hybrid,34181,350000,210,405,210
13,1648087038423198523,41,idle128_r4_simpleCUFFT_hybrid,34181,350000,210,405,210
14,1648087038431330544,41,idle128_r4_simpleCUFFT_hybrid,34181,350000,210,405,210
15,1648087038439533863,41,idle128_r4_simpleCUFFT_hybrid,34181,350000,210,405,210
16,1648087038447600671,41,idle128_r4_simpleCUFFT_hybrid,34181,350000,210,405,210
17,1648087038455749315,41,idle128_r4_simpleCUFFT_hybrid,34181,350000,210,405,210
18,1648087038463901263,41,idle128_r4_simpleCUFFT_hybrid,34181,350000,210,405,210
19,1648087038472041133,41,idle128_r4_simpleCUFFT_hybrid,34181,350000,210,405,210
20,1648087038480292658,41,idle128_r4_simpleCUFFT_hybrid,34181,350000,210,405,210
21,1648087038488399498,41,idle128_r4_simpleCUFFT_hybrid,34181,350000,210,405,210
22,1648087038496514220,41,idle128_r4_simpleCUFFT_hybrid,34181,350000,210,405,210
23,1648087038504646637,41,idle128_r4_simpleCUFFT_hybrid,34181,350000,210,405,210
24,1648087038512770003,41,idle128_r4_simpleCUFFT_hybrid,34051,350000,210,405,210
25,1648087038521182217,41,idle128_r4_simpleCUFFT_hybrid,34051,350000,210,405,210
26,1648087038529387823,41,idle128_r4_simpleCUFFT_hybrid,34051,350000,210,405,210
27,1648087038537520396,41,idle128_r4_simpleCUFFT_hybrid,34051,350000,210,405,210
28,1648087038545609922,41,idle128_r4_simpleCUFFT_hybrid,34051,350000,210,405,210
29,1648087038553734622,41,idle128_r4_simpleCUFFT_hybrid,34051,350000,210,405,210
30,1648087038561876615,41,idle128_r4_simpleCUFFT_hybrid,34051,350000,210,405,210
31,1648087038570059799,41,idle128_r4_simpleCUFFT_hybrid,34051,350000,210,405,210
32,1648087038578190789,41,idle128_r4_simpleCUFFT_hybrid,34051,350000,210,405,210
33,1648087038586442143,41,idle128_r4_simpleCUFFT_hybrid,34051,350000,210,405,210
34,1648087038594639970,41,idle128_r4_simpleCUFFT_hybrid,34051,350000,210,405,210
35,1648087038602780568,41,idle128_r4_simpleCUFFT_hybrid,34051,350000,210,405,210
36,1648087038610905120,41,idle128_r4_simpleCUFFT_hybrid,34051,350000,210,405,210
37,1648087038619055938,41,idle128_r4_simpleCUFFT_hybrid,33947,350000,210,405,210
38,1648087038627285670,41,idle128_r4_simpleCUFFT_hybrid,33947,350000,210,405,210
39,1648087038635514240,41,idle128_r4_simpleCUFFT_hybrid,33947,350000,210,405,210
40,1648087038643646680,41,idle128_r4_simpleCUFFT_hybrid,33947,350000,210,405,210
41,1648087038652039905,41,idle128_r4_simpleCUFFT_hybrid,33947,350000,210,405,210
42,1648087038660242443,41,idle128_r4_simpleCUFFT_hybrid,33947,350000,210,405,210
43,1648087038668364137,41,idle128_r4_simpleCUFFT_hybrid,33947,350000,210,405,210
44,1648087038676549741,41,idle128_r4_simpleCUFFT_hybrid,33947,350000,210,405,210
45,1648087038684677055,41,idle128_r4_simpleCUFFT_hybrid,33947,350000,210,405,210
46,1648087038692789924,41,idle128_r4_simpleCUFFT_hybrid,33947,350000,210,405,210
47,1648087038700974876,41,idle128_r4_simpleCUFFT_hybrid,33947,350000,210,405,210
48,1648087038709130399,41,idle128_r4_simpleCUFFT_hybrid,33947,350000,210,405,210
49,1648087038717306361,41,idle128_r4_simpleCUFFT_hybrid,33947,350000,210,405,210
50,1648087038725406752,41,idle128_r4_simpleCUFFT_hybrid,33947,350000,210,405,210
51,1648087038733652322,41,idle128_r4_simpleCUFFT_hybrid,33845,350000,210,405,210
52,1648087038741839246,41,idle128_r4_simpleCUFFT_hybrid,33845,350000,210,405,210
