timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1648653369140580452,56,idle128_r2_transpose_memory,111576,350000,1395,9751,1395
1,1648653369150063593,56,idle128_r2_transpose_memory,111576,350000,1395,9751,1395
2,1648653369157553186,56,idle128_r2_transpose_memory,111576,350000,1395,9751,1395
3,1648653369164868463,56,idle128_r2_transpose_memory,111576,350000,1395,9751,1395
4,1648653369173438029,56,idle128_r2_transpose_memory,111576,350000,1395,9751,1395
5,1648653369180878334,56,idle128_r2_transpose_memory,111576,350000,1395,9751,1395
6,1648653369188134300,56,idle128_r2_transpose_memory,111576,350000,1395,9751,1395
7,1648653369195585170,56,idle128_r2_transpose_memory,111576,350000,1395,9751,1395
8,1648653369202919493,56,idle128_r2_transpose_memory,111576,350000,1395,9751,1395
9,1648653369210212358,56,idle128_r2_transpose_memory,111576,350000,1395,9751,1395
10,1648653369217669444,56,idle128_r2_transpose_memory,111576,350000,1395,9751,1395
11,1648653369224972864,56,idle128_r2_transpose_memory,111576,350000,1395,9751,1395
12,1648653369232297331,56,idle128_r2_transpose_memory,111576,350000,1395,9751,1395
13,1648653369239734510,56,idle128_r2_transpose_memory,111576,350000,1395,9751,1395
14,1648653369247021363,56,idle128_r2_transpose_memory,111576,350000,1395,9751,1395
15,1648653369255274509,56,idle128_r2_transpose_memory,111757,350000,1395,9751,1395
16,1648653369262699831,56,idle128_r2_transpose_memory,111757,350000,1395,9751,1395
17,1648653369270002511,56,idle128_r2_transpose_memory,111757,350000,1395,9751,1395
18,1648653369278631528,56,idle128_r2_transpose_memory,111757,350000,1395,9751,1395
19,1648653369286088811,56,idle128_r2_transpose_memory,111757,350000,1395,9751,1395
20,1648653369293413731,56,idle128_r2_transpose_memory,111757,350000,1395,9751,1395
21,1648653369302740446,56,idle128_r2_transpose_memory,111757,350000,1395,9751,1395
22,1648653369310247624,56,idle128_r2_transpose_memory,111757,350000,1395,9751,1395
23,1648653369317506142,56,idle128_r2_transpose_memory,111757,350000,1395,9751,1395
24,1648653369324980509,56,idle128_r2_transpose_memory,111757,350000,1395,9751,1395
25,1648653369332239685,56,idle128_r2_transpose_memory,111757,350000,1395,9751,1395
26,1648653369339566231,56,idle128_r2_transpose_memory,111757,350000,1395,9751,1395
27,1648653369346994919,56,idle128_r2_transpose_memory,111757,350000,1395,9751,1395
28,1648653369354298985,56,idle128_r2_transpose_memory,111757,350000,1395,9751,1395
29,1648653369362266209,56,idle128_r2_transpose_memory,111976,350000,1395,9751,1395
30,1648653369370376492,56,idle128_r2_transpose_memory,111976,350000,1395,9751,1395
31,1648653369377667872,56,idle128_r2_transpose_memory,111976,350000,1395,9751,1395
32,1648653369385902632,56,idle128_r2_transpose_memory,111976,350000,1395,9751,1395
33,1648653369393385198,56,idle128_r2_transpose_memory,111976,350000,1395,9751,1395
34,1648653369400763179,56,idle128_r2_transpose_memory,111976,350000,1395,9751,1395
35,1648653369409987849,56,idle128_r2_transpose_memory,111976,350000,1395,9751,1395
36,1648653369417648683,56,idle128_r2_transpose_memory,111976,350000,1395,9751,1395
37,1648653369424973773,56,idle128_r2_transpose_memory,111976,350000,1395,9751,1395
38,1648653369433121844,56,idle128_r2_transpose_memory,111976,350000,1395,9751,1395
39,1648653369440446668,56,idle128_r2_transpose_memory,111976,350000,1395,9751,1395
40,1648653369447775921,56,idle128_r2_transpose_memory,111976,350000,1395,9751,1395
41,1648653369455192493,56,idle128_r2_transpose_memory,111976,350000,1395,9751,1395
42,1648653369462547987,56,idle128_r2_transpose_memory,111976,350000,1395,9751,1395
43,1648653369470336794,56,idle128_r2_transpose_memory,112158,350000,1395,9751,1395
44,1648653369477892171,56,idle128_r2_transpose_memory,112158,350000,1395,9751,1395
45,1648653369485721963,56,idle128_r2_transpose_memory,112158,350000,1395,9751,1395
