timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1648329679883271224,44,idle256_r3_transpose_memory,34234,350000,210,405,210
1,1648329679892750984,44,idle256_r3_transpose_memory,34234,350000,210,405,210
2,1648329679901512458,44,idle256_r3_transpose_memory,34234,350000,210,405,210
3,1648329679910254735,44,idle256_r3_transpose_memory,34234,350000,210,405,210
4,1648329679918988643,44,idle256_r3_transpose_memory,34234,350000,210,405,210
5,1648329679927721178,44,idle256_r3_transpose_memory,34234,350000,210,405,210
6,1648329679936479327,44,idle256_r3_transpose_memory,34234,350000,210,405,210
7,1648329679945216757,44,idle256_r3_transpose_memory,34234,350000,210,405,210
8,1648329679954044189,44,idle256_r3_transpose_memory,34234,350000,210,405,210
9,1648329679962870957,44,idle256_r3_transpose_memory,34234,350000,210,405,210
10,1648329679971679363,44,idle256_r3_transpose_memory,34234,350000,210,405,210
11,1648329679980374790,45,idle256_r3_transpose_memory,34234,350000,210,405,210
12,1648329679989163157,45,idle256_r3_transpose_memory,34234,350000,210,405,210
13,1648329679997979259,45,idle256_r3_transpose_memory,34234,350000,210,405,210
14,1648329680006663977,44,idle256_r3_transpose_memory,34234,350000,210,405,210
15,1648329680015415198,44,idle256_r3_transpose_memory,34234,350000,210,405,210
16,1648329680024433651,44,idle256_r3_transpose_memory,34234,350000,210,405,210
17,1648329680033832355,44,idle256_r3_transpose_memory,34234,350000,210,405,210
18,1648329680042620416,44,idle256_r3_transpose_memory,34234,350000,210,405,210
19,1648329680051389087,44,idle256_r3_transpose_memory,34234,350000,210,405,210
20,1648329680060251469,44,idle256_r3_transpose_memory,34234,350000,210,405,210
21,1648329680068985640,44,idle256_r3_transpose_memory,34234,350000,210,405,210
22,1648329680077721581,44,idle256_r3_transpose_memory,34234,350000,210,405,210
23,1648329680086500949,44,idle256_r3_transpose_memory,34234,350000,210,405,210
24,1648329680095354462,44,idle256_r3_transpose_memory,34234,350000,210,405,210
25,1648329680104197597,44,idle256_r3_transpose_memory,34234,350000,210,405,210
26,1648329680112944851,44,idle256_r3_transpose_memory,34234,350000,210,405,210
27,1648329680121699379,44,idle256_r3_transpose_memory,34234,350000,210,405,210
28,1648329680130551494,44,idle256_r3_transpose_memory,35462,350000,210,405,210
29,1648329680139428682,44,idle256_r3_transpose_memory,35462,350000,210,405,210
30,1648329680148273110,44,idle256_r3_transpose_memory,35462,350000,210,405,210
31,1648329680157068672,44,idle256_r3_transpose_memory,35462,350000,210,405,210
32,1648329680165941378,44,idle256_r3_transpose_memory,35462,350000,210,405,210
33,1648329680174845058,44,idle256_r3_transpose_memory,35462,350000,210,405,210
34,1648329680183637100,44,idle256_r3_transpose_memory,35462,350000,210,405,210
35,1648329680192383727,44,idle256_r3_transpose_memory,35462,350000,210,405,210
36,1648329680201303205,44,idle256_r3_transpose_memory,35462,350000,210,405,210
37,1648329680210024885,44,idle256_r3_transpose_memory,35462,350000,210,405,210
38,1648329680218731469,44,idle256_r3_transpose_memory,35462,350000,210,405,210
39,1648329680227534475,44,idle256_r3_transpose_memory,35462,350000,210,405,210
40,1648329680236308761,44,idle256_r3_transpose_memory,35462,350000,210,405,210
41,1648329680245146035,44,idle256_r3_transpose_memory,35462,350000,210,405,210
42,1648329680253892264,44,idle256_r3_transpose_memory,35462,350000,210,405,210
43,1648329680262595693,44,idle256_r3_transpose_memory,35462,350000,210,405,210
44,1648329680271381533,44,idle256_r3_transpose_memory,35462,350000,210,405,210
45,1648329680280091188,44,idle256_r3_transpose_memory,35462,350000,210,405,210
46,1648329680288809999,44,idle256_r3_transpose_memory,35462,350000,210,405,210
47,1648329680297719224,44,idle256_r3_transpose_memory,35462,350000,210,405,210
48,1648329680306425542,44,idle256_r3_transpose_memory,35462,350000,210,405,210
49,1648329680315274452,44,idle256_r3_transpose_memory,35462,350000,210,405,210
50,1648329680323961603,44,idle256_r3_transpose_memory,35462,350000,210,405,210
51,1648329680332725535,44,idle256_r3_transpose_memory,35462,350000,210,405,210
52,1648329680341496500,44,idle256_r3_transpose_memory,35462,350000,210,405,210
53,1648329680350648710,44,idle256_r3_transpose_memory,35462,350000,210,405,210
54,1648329680359407626,44,idle256_r3_transpose_memory,35462,350000,210,405,210
55,1648329680368269719,44,idle256_r3_transpose_memory,35462,350000,210,405,210
56,1648329680377012930,44,idle256_r3_transpose_memory,35462,350000,210,405,210
57,1648329680385760080,44,idle256_r3_transpose_memory,35462,350000,210,405,210
58,1648329680394542282,44,idle256_r3_transpose_memory,35462,350000,210,405,210
59,1648329680403694571,44,idle256_r3_transpose_memory,35462,350000,210,405,210
60,1648329680412495829,44,idle256_r3_transpose_memory,35462,350000,210,405,210
61,1648329680421285628,44,idle256_r3_transpose_memory,35462,350000,210,405,210
62,1648329680430132726,44,idle256_r3_transpose_memory,35462,350000,210,405,210
63,1648329680438966889,44,idle256_r3_transpose_memory,35462,350000,210,405,210
64,1648329680447703489,44,idle256_r3_transpose_memory,35462,350000,210,405,210
65,1648329680456457933,44,idle256_r3_transpose_memory,35462,350000,210,405,210
66,1648329680465320622,44,idle256_r3_transpose_memory,35462,350000,210,405,210
67,1648329680474183515,44,idle256_r3_transpose_memory,35462,350000,210,405,210
68,1648329680482955986,44,idle256_r3_transpose_memory,35462,350000,210,405,210
69,1648329680491728160,44,idle256_r3_transpose_memory,35462,350000,210,405,210
70,1648329680501122531,44,idle256_r3_transpose_memory,35462,350000,210,405,210
71,1648329680509916730,44,idle256_r3_transpose_memory,35462,350000,210,405,210
72,1648329680518659977,44,idle256_r3_transpose_memory,35462,350000,210,405,210
73,1648329680527423194,44,idle256_r3_transpose_memory,35462,350000,210,405,210
74,1648329680536236092,44,idle256_r3_transpose_memory,35462,350000,210,405,210
75,1648329680544995217,44,idle256_r3_transpose_memory,35462,350000,210,405,210
76,1648329680553864283,45,idle256_r3_transpose_memory,35462,350000,210,405,210
77,1648329680562618683,45,idle256_r3_transpose_memory,35462,350000,210,405,210
78,1648329680571409105,45,idle256_r3_transpose_memory,35462,350000,210,405,210
79,1648329680580292261,44,idle256_r3_transpose_memory,35462,350000,210,405,210
80,1648329680589027856,44,idle256_r3_transpose_memory,35462,350000,210,405,210
81,1648329680597783179,44,idle256_r3_transpose_memory,35462,350000,210,405,210
82,1648329680606665869,44,idle256_r3_transpose_memory,35462,350000,210,405,210
83,1648329680615396293,44,idle256_r3_transpose_memory,35462,350000,210,405,210
84,1648329680624152140,44,idle256_r3_transpose_memory,35462,350000,210,405,210
85,1648329680633048864,44,idle256_r3_transpose_memory,35462,350000,210,405,210
86,1648329680642086323,44,idle256_r3_transpose_memory,35462,350000,210,405,210
87,1648329680650815400,44,idle256_r3_transpose_memory,35462,350000,210,405,210
88,1648329680659565670,44,idle256_r3_transpose_memory,35462,350000,210,405,210
89,1648329680668312785,44,idle256_r3_transpose_memory,35462,350000,210,405,210
90,1648329680677381897,44,idle256_r3_transpose_memory,35462,350000,210,405,210
91,1648329680686179600,44,idle256_r3_transpose_memory,35462,350000,210,405,210
92,1648329680694965206,44,idle256_r3_transpose_memory,35462,350000,210,405,210
93,1648329680703833997,44,idle256_r3_transpose_memory,35462,350000,210,405,210
94,1648329680712698551,44,idle256_r3_transpose_memory,35462,350000,210,405,210
95,1648329680721435292,44,idle256_r3_transpose_memory,35462,350000,210,405,210
96,1648329680730186476,44,idle256_r3_transpose_memory,35462,350000,210,405,210
97,1648329680738961923,44,idle256_r3_transpose_memory,35462,350000,210,405,210
98,1648329680747734317,44,idle256_r3_transpose_memory,35462,350000,210,405,210
99,1648329680756428638,44,idle256_r3_transpose_memory,35462,350000,210,405,210
100,1648329680765123204,44,idle256_r3_transpose_memory,35462,350000,210,405,210
101,1648329680773908556,44,idle256_r3_transpose_memory,35462,350000,210,405,210
102,1648329680782613851,44,idle256_r3_transpose_memory,35462,350000,210,405,210
103,1648329680791337109,44,idle256_r3_transpose_memory,35462,350000,210,405,210
104,1648329680800039036,44,idle256_r3_transpose_memory,35462,350000,210,405,210
