timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1648602712230823558,56,idle64_r5_vectorAdd_compute,112523,350000,1395,9751,1395
1,1648602712238726134,56,idle64_r5_vectorAdd_compute,112523,350000,1395,9751,1395
2,1648602712246197395,56,idle64_r5_vectorAdd_compute,112523,350000,1395,9751,1395
3,1648602712253765328,56,idle64_r5_vectorAdd_compute,112523,350000,1395,9751,1395
4,1648602712261346316,56,idle64_r5_vectorAdd_compute,112523,350000,1395,9751,1395
5,1648602712268782530,56,idle64_r5_vectorAdd_compute,112523,350000,1395,9751,1395
6,1648602712276339398,56,idle64_r5_vectorAdd_compute,112523,350000,1395,9751,1395
7,1648602712283805879,56,idle64_r5_vectorAdd_compute,112523,350000,1395,9751,1395
8,1648602712291264215,56,idle64_r5_vectorAdd_compute,112523,350000,1395,9751,1395
9,1648602712298877222,56,idle64_r5_vectorAdd_compute,112523,350000,1395,9751,1395
10,1648602712306391219,56,idle64_r5_vectorAdd_compute,112624,350000,1395,9751,1395
11,1648602712315065587,56,idle64_r5_vectorAdd_compute,112624,350000,1395,9751,1395
12,1648602712322821336,56,idle64_r5_vectorAdd_compute,112624,350000,1395,9751,1395
13,1648602712330330051,56,idle64_r5_vectorAdd_compute,112624,350000,1395,9751,1395
14,1648602712339680998,56,idle64_r5_vectorAdd_compute,112624,350000,1395,9751,1395
15,1648602712347269377,56,idle64_r5_vectorAdd_compute,112624,350000,1395,9751,1395
16,1648602712354828156,56,idle64_r5_vectorAdd_compute,112624,350000,1395,9751,1395
17,1648602712362404443,56,idle64_r5_vectorAdd_compute,112624,350000,1395,9751,1395
18,1648602712369905446,56,idle64_r5_vectorAdd_compute,112624,350000,1395,9751,1395
19,1648602712377413858,56,idle64_r5_vectorAdd_compute,112624,350000,1395,9751,1395
20,1648602712385042645,56,idle64_r5_vectorAdd_compute,112624,350000,1395,9751,1395
21,1648602712392562050,56,idle64_r5_vectorAdd_compute,112624,350000,1395,9751,1395
22,1648602712400731718,56,idle64_r5_vectorAdd_compute,112624,350000,1395,9751,1395
23,1648602712408429244,56,idle64_r5_vectorAdd_compute,112624,350000,1395,9751,1395
24,1648602712415850699,56,idle64_r5_vectorAdd_compute,112745,350000,1395,9751,1395
25,1648602712425456235,56,idle64_r5_vectorAdd_compute,112745,350000,1395,9751,1395
26,1648602712433032468,56,idle64_r5_vectorAdd_compute,112745,350000,1395,9751,1395
27,1648602712440570538,56,idle64_r5_vectorAdd_compute,112745,350000,1395,9751,1395
28,1648602712448100680,56,idle64_r5_vectorAdd_compute,112745,350000,1395,9751,1395
29,1648602712455769499,56,idle64_r5_vectorAdd_compute,112745,350000,1395,9751,1395
30,1648602712463234456,56,idle64_r5_vectorAdd_compute,112745,350000,1395,9751,1395
31,1648602712470974856,56,idle64_r5_vectorAdd_compute,112745,350000,1395,9751,1395
32,1648602712478451503,56,idle64_r5_vectorAdd_compute,112745,350000,1395,9751,1395
33,1648602712485999718,56,idle64_r5_vectorAdd_compute,112745,350000,1395,9751,1395
34,1648602712493703734,56,idle64_r5_vectorAdd_compute,112745,350000,1395,9751,1395
35,1648602712501190994,56,idle64_r5_vectorAdd_compute,112745,350000,1395,9751,1395
36,1648602712509983020,56,idle64_r5_vectorAdd_compute,112745,350000,1395,9751,1395
37,1648602712517499174,56,idle64_r5_vectorAdd_compute,112745,350000,1395,9751,1395
38,1648602712525136618,56,idle64_r5_vectorAdd_compute,112878,350000,1395,9751,1395
39,1648602712534567008,56,idle64_r5_vectorAdd_compute,112878,350000,1395,9751,1395
40,1648602712542149306,56,idle64_r5_vectorAdd_compute,112878,350000,1395,9751,1395
41,1648602712549578086,56,idle64_r5_vectorAdd_compute,112878,350000,1395,9751,1395
42,1648602712557564638,56,idle64_r5_vectorAdd_compute,112878,350000,1395,9751,1395
43,1648602712565053118,56,idle64_r5_vectorAdd_compute,112878,350000,1395,9751,1395
44,1648602712573035366,56,idle64_r5_vectorAdd_compute,112878,350000,1395,9751,1395
45,1648602712580711734,56,idle64_r5_vectorAdd_compute,112878,350000,1395,9751,1395
46,1648602712588621611,56,idle64_r5_vectorAdd_compute,112878,350000,1395,9751,1395
47,1648602712597915937,56,idle64_r5_vectorAdd_compute,112878,350000,1395,9751,1395
48,1648602712605530837,56,idle64_r5_vectorAdd_compute,112878,350000,1395,9751,1395
49,1648602712613003731,56,idle64_r5_vectorAdd_compute,112878,350000,1395,9751,1395
50,1648602712620846446,56,idle64_r5_vectorAdd_compute,112878,350000,1395,9751,1395
51,1648602712628372770,56,idle64_r5_vectorAdd_compute,112878,350000,1395,9751,1395
52,1648602712636460568,56,idle64_r5_vectorAdd_compute,113017,350000,1395,9751,1395
53,1648602712644671277,56,idle64_r5_vectorAdd_compute,113017,350000,1395,9751,1395
54,1648602712652161268,56,idle64_r5_vectorAdd_compute,113017,350000,1395,9751,1395
55,1648602712660843118,56,idle64_r5_vectorAdd_compute,113017,350000,1395,9751,1395
56,1648602712668491759,56,idle64_r5_vectorAdd_compute,113017,350000,1395,9751,1395
57,1648602712675928214,56,idle64_r5_vectorAdd_compute,113017,350000,1395,9751,1395
58,1648602712685240025,56,idle64_r5_vectorAdd_compute,113017,350000,1395,9751,1395
59,1648602712692823557,56,idle64_r5_vectorAdd_compute,113017,350000,1395,9751,1395
60,1648602712700298478,56,idle64_r5_vectorAdd_compute,113017,350000,1395,9751,1395
61,1648602712707846247,56,idle64_r5_vectorAdd_compute,113017,350000,1395,9751,1395
62,1648602712715360560,56,idle64_r5_vectorAdd_compute,113017,350000,1395,9751,1395
63,1648602712722850501,56,idle64_r5_vectorAdd_compute,113017,350000,1395,9751,1395
64,1648602712730496316,56,idle64_r5_vectorAdd_compute,113017,350000,1395,9751,1395
65,1648602712737925939,56,idle64_r5_vectorAdd_compute,113017,350000,1395,9751,1395
66,1648602712746320832,56,idle64_r5_vectorAdd_compute,113118,350000,1395,9751,1395
67,1648602712753917376,56,idle64_r5_vectorAdd_compute,113118,350000,1395,9751,1395
68,1648602712761399045,56,idle64_r5_vectorAdd_compute,113118,350000,1395,9751,1395
69,1648602712770704062,56,idle64_r5_vectorAdd_compute,113118,350000,1395,9751,1395
70,1648602712778325282,56,idle64_r5_vectorAdd_compute,113118,350000,1395,9751,1395
71,1648602712785746332,56,idle64_r5_vectorAdd_compute,113118,350000,1395,9751,1395
72,1648602712795712619,56,idle64_r5_vectorAdd_compute,113118,350000,1395,9751,1395
73,1648602712803165646,56,idle64_r5_vectorAdd_compute,113118,350000,1395,9751,1395
