timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1648081418915762863,40,idle128_r3_vectorAdd_compute,32272,350000,210,405,210
1,1648081418924560528,40,idle128_r3_vectorAdd_compute,32272,350000,210,405,210
2,1648081418932580138,40,idle128_r3_vectorAdd_compute,32272,350000,210,405,210
3,1648081418940626879,40,idle128_r3_vectorAdd_compute,32272,350000,210,405,210
4,1648081418948655680,40,idle128_r3_vectorAdd_compute,32272,350000,210,405,210
5,1648081418956726781,40,idle128_r3_vectorAdd_compute,32272,350000,210,405,210
6,1648081418964769700,40,idle128_r3_vectorAdd_compute,32272,350000,210,405,210
7,1648081418972930589,40,idle128_r3_vectorAdd_compute,32272,350000,210,405,210
8,1648081418981065064,40,idle128_r3_vectorAdd_compute,32272,350000,210,405,210
9,1648081418989198582,40,idle128_r3_vectorAdd_compute,32272,350000,210,405,210
10,1648081418997245817,40,idle128_r3_vectorAdd_compute,32272,350000,210,405,210
11,1648081419005294859,40,idle128_r3_vectorAdd_compute,32272,350000,210,405,210
12,1648081419013323463,40,idle128_r3_vectorAdd_compute,32272,350000,210,405,210
13,1648081419021365580,40,idle128_r3_vectorAdd_compute,32210,350000,210,405,210
14,1648081419029605512,40,idle128_r3_vectorAdd_compute,32210,350000,210,405,210
15,1648081419037777315,40,idle128_r3_vectorAdd_compute,32210,350000,210,405,210
16,1648081419045852475,40,idle128_r3_vectorAdd_compute,32210,350000,210,405,210
17,1648081419054058189,40,idle128_r3_vectorAdd_compute,32210,350000,210,405,210
18,1648081419062122007,40,idle128_r3_vectorAdd_compute,32210,350000,210,405,210
19,1648081419070185353,40,idle128_r3_vectorAdd_compute,32210,350000,210,405,210
20,1648081419078385380,40,idle128_r3_vectorAdd_compute,32210,350000,210,405,210
21,1648081419086408370,40,idle128_r3_vectorAdd_compute,32210,350000,210,405,210
22,1648081419094420841,40,idle128_r3_vectorAdd_compute,32210,350000,210,405,210
23,1648081419102492289,40,idle128_r3_vectorAdd_compute,32210,350000,210,405,210
24,1648081419110506696,40,idle128_r3_vectorAdd_compute,32210,350000,210,405,210
25,1648081419118560344,40,idle128_r3_vectorAdd_compute,32210,350000,210,405,210
26,1648081419126597027,40,idle128_r3_vectorAdd_compute,32161,350000,210,405,210
27,1648081419134708042,40,idle128_r3_vectorAdd_compute,32161,350000,210,405,210
28,1648081419142786064,40,idle128_r3_vectorAdd_compute,32161,350000,210,405,210
29,1648081419150855952,40,idle128_r3_vectorAdd_compute,32161,350000,210,405,210
