timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1648684770772585902,56,idle64_r4_wordcount_memory,111423,350000,1395,9751,1395
1,1648684770780470057,56,idle64_r4_wordcount_memory,111423,350000,1395,9751,1395
2,1648684770787953973,56,idle64_r4_wordcount_memory,111423,350000,1395,9751,1395
3,1648684770795868402,56,idle64_r4_wordcount_memory,111423,350000,1395,9751,1395
4,1648684770803442150,56,idle64_r4_wordcount_memory,111423,350000,1395,9751,1395
5,1648684770811795199,56,idle64_r4_wordcount_memory,111423,350000,1395,9751,1395
6,1648684770819402789,56,idle64_r4_wordcount_memory,111423,350000,1395,9751,1395
7,1648684770826935741,56,idle64_r4_wordcount_memory,111562,350000,1395,9751,1395
8,1648684770836464742,56,idle64_r4_wordcount_memory,111562,350000,1395,9751,1395
9,1648684770843980181,56,idle64_r4_wordcount_memory,111562,350000,1395,9751,1395
10,1648684770851468536,56,idle64_r4_wordcount_memory,111562,350000,1395,9751,1395
11,1648684770859071906,56,idle64_r4_wordcount_memory,111562,350000,1395,9751,1395
12,1648684770866622740,56,idle64_r4_wordcount_memory,111562,350000,1395,9751,1395
13,1648684770874076715,56,idle64_r4_wordcount_memory,111562,350000,1395,9751,1395
14,1648684770881964538,56,idle64_r4_wordcount_memory,111562,350000,1395,9751,1395
15,1648684770889493982,56,idle64_r4_wordcount_memory,111562,350000,1395,9751,1395
16,1648684770897386860,56,idle64_r4_wordcount_memory,111562,350000,1395,9751,1395
17,1648684770905168214,56,idle64_r4_wordcount_memory,111562,350000,1395,9751,1395
18,1648684770912691658,56,idle64_r4_wordcount_memory,111562,350000,1395,9751,1395
19,1648684770922019260,56,idle64_r4_wordcount_memory,111562,350000,1395,9751,1395
20,1648684770929568795,56,idle64_r4_wordcount_memory,111562,350000,1395,9751,1395
21,1648684770937367319,56,idle64_r4_wordcount_memory,111788,350000,1395,9751,1395
22,1648684770945208755,56,idle64_r4_wordcount_memory,111788,350000,1395,9751,1395
23,1648684770952726530,56,idle64_r4_wordcount_memory,111788,350000,1395,9751,1395
24,1648684770960267960,56,idle64_r4_wordcount_memory,111788,350000,1395,9751,1395
25,1648684770968046823,56,idle64_r4_wordcount_memory,111788,350000,1395,9751,1395
26,1648684770975569791,56,idle64_r4_wordcount_memory,111788,350000,1395,9751,1395
27,1648684770983099631,56,idle64_r4_wordcount_memory,111788,350000,1395,9751,1395
28,1648684770990940385,56,idle64_r4_wordcount_memory,111788,350000,1395,9751,1395
29,1648684770998450096,56,idle64_r4_wordcount_memory,111788,350000,1395,9751,1395
30,1648684771007031599,56,idle64_r4_wordcount_memory,111788,350000,1395,9751,1395
31,1648684771014769818,56,idle64_r4_wordcount_memory,111788,350000,1395,9751,1395
32,1648684771022336400,56,idle64_r4_wordcount_memory,111788,350000,1395,9751,1395
33,1648684771031773618,56,idle64_r4_wordcount_memory,111788,350000,1395,9751,1395
34,1648684771039368076,56,idle64_r4_wordcount_memory,111788,350000,1395,9751,1395
35,1648684771047289533,56,idle64_r4_wordcount_memory,111979,350000,1395,9751,1395
36,1648684771055485738,56,idle64_r4_wordcount_memory,111979,350000,1395,9751,1395
37,1648684771063024452,56,idle64_r4_wordcount_memory,111979,350000,1395,9751,1395
38,1648684771071430482,56,idle64_r4_wordcount_memory,111979,350000,1395,9751,1395
39,1648684771079100939,56,idle64_r4_wordcount_memory,111979,350000,1395,9751,1395
40,1648684771086625869,56,idle64_r4_wordcount_memory,111979,350000,1395,9751,1395
41,1648684771096015970,56,idle64_r4_wordcount_memory,111979,350000,1395,9751,1395
42,1648684771103664417,56,idle64_r4_wordcount_memory,111979,350000,1395,9751,1395
43,1648684771111164000,56,idle64_r4_wordcount_memory,111979,350000,1395,9751,1395
44,1648684771118780123,56,idle64_r4_wordcount_memory,111979,350000,1395,9751,1395
45,1648684771126301707,56,idle64_r4_wordcount_memory,111979,350000,1395,9751,1395
46,1648684771133738949,56,idle64_r4_wordcount_memory,111979,350000,1395,9751,1395
47,1648684771141358986,56,idle64_r4_wordcount_memory,111979,350000,1395,9751,1395
48,1648684771148807678,56,idle64_r4_wordcount_memory,111979,350000,1395,9751,1395
49,1648684771156835527,56,idle64_r4_wordcount_memory,112201,350000,1395,9751,1395
50,1648684771164437642,56,idle64_r4_wordcount_memory,112201,350000,1395,9751,1395
51,1648684771171947845,56,idle64_r4_wordcount_memory,112201,350000,1395,9751,1395
52,1648684771180908074,56,idle64_r4_wordcount_memory,112201,350000,1395,9751,1395
53,1648684771188698040,56,idle64_r4_wordcount_memory,112201,350000,1395,9751,1395
54,1648684771196199397,56,idle64_r4_wordcount_memory,112201,350000,1395,9751,1395
55,1648684771205599554,56,idle64_r4_wordcount_memory,112201,350000,1395,9751,1395
56,1648684771213332320,56,idle64_r4_wordcount_memory,112201,350000,1395,9751,1395
57,1648684771220795130,56,idle64_r4_wordcount_memory,112201,350000,1395,9751,1395
58,1648684771228422856,56,idle64_r4_wordcount_memory,112201,350000,1395,9751,1395
59,1648684771235905349,56,idle64_r4_wordcount_memory,112201,350000,1395,9751,1395
60,1648684771243568432,56,idle64_r4_wordcount_memory,112201,350000,1395,9751,1395
61,1648684771251145080,56,idle64_r4_wordcount_memory,112201,350000,1395,9751,1395
62,1648684771258607623,56,idle64_r4_wordcount_memory,112406,350000,1395,9751,1395
63,1648684771267564639,56,idle64_r4_wordcount_memory,112406,350000,1395,9751,1395
64,1648684771275143436,56,idle64_r4_wordcount_memory,112406,350000,1395,9751,1395
65,1648684771282613875,56,idle64_r4_wordcount_memory,112406,350000,1395,9751,1395
66,1648684771291911409,56,idle64_r4_wordcount_memory,112406,350000,1395,9751,1395
67,1648684771299368667,56,idle64_r4_wordcount_memory,112406,350000,1395,9751,1395
68,1648684771306813327,56,idle64_r4_wordcount_memory,112406,350000,1395,9751,1395
69,1648684771314547665,56,idle64_r4_wordcount_memory,112406,350000,1395,9751,1395
70,1648684771321994667,56,idle64_r4_wordcount_memory,112406,350000,1395,9751,1395
71,1648684771330302235,56,idle64_r4_wordcount_memory,112406,350000,1395,9751,1395
72,1648684771338010966,56,idle64_r4_wordcount_memory,112406,350000,1395,9751,1395
73,1648684771345439695,56,idle64_r4_wordcount_memory,112406,350000,1395,9751,1395
74,1648684771354629192,56,idle64_r4_wordcount_memory,112406,350000,1395,9751,1395
75,1648684771362170789,56,idle64_r4_wordcount_memory,112406,350000,1395,9751,1395
76,1648684771369846954,56,idle64_r4_wordcount_memory,112619,350000,1395,9751,1395
77,1648684771378403595,56,idle64_r4_wordcount_memory,112619,350000,1395,9751,1395
78,1648684771385942636,56,idle64_r4_wordcount_memory,112619,350000,1395,9751,1395
79,1648684771393476888,56,idle64_r4_wordcount_memory,112619,350000,1395,9751,1395
80,1648684771401347526,56,idle64_r4_wordcount_memory,112619,350000,1395,9751,1395
81,1648684771408861542,56,idle64_r4_wordcount_memory,112619,350000,1395,9751,1395
82,1648684771416650143,56,idle64_r4_wordcount_memory,112619,350000,1395,9751,1395
83,1648684771424480250,56,idle64_r4_wordcount_memory,112619,350000,1395,9751,1395
84,1648684771431990271,56,idle64_r4_wordcount_memory,112619,350000,1395,9751,1395
85,1648684771441233524,56,idle64_r4_wordcount_memory,112619,350000,1395,9751,1395
86,1648684771448784582,56,idle64_r4_wordcount_memory,112619,350000,1395,9751,1395
87,1648684771456345254,56,idle64_r4_wordcount_memory,112619,350000,1395,9751,1395
88,1648684771465196953,56,idle64_r4_wordcount_memory,112619,350000,1395,9751,1395
89,1648684771472667743,56,idle64_r4_wordcount_memory,112619,350000,1395,9751,1395
90,1648684771480790576,56,idle64_r4_wordcount_memory,112823,350000,1395,9751,1395
91,1648684771489002989,56,idle64_r4_wordcount_memory,112823,350000,1395,9751,1395
92,1648684771496499141,56,idle64_r4_wordcount_memory,112823,350000,1395,9751,1395
93,1648684771505791267,56,idle64_r4_wordcount_memory,112823,350000,1395,9751,1395
94,1648684771513456058,56,idle64_r4_wordcount_memory,112823,350000,1395,9751,1395
95,1648684771520956258,56,idle64_r4_wordcount_memory,112823,350000,1395,9751,1395
96,1648684771530395604,56,idle64_r4_wordcount_memory,112823,350000,1395,9751,1395
97,1648684771537945471,56,idle64_r4_wordcount_memory,112823,350000,1395,9751,1395
98,1648684771545438224,56,idle64_r4_wordcount_memory,112823,350000,1395,9751,1395
99,1648684771553049350,56,idle64_r4_wordcount_memory,112823,350000,1395,9751,1395
100,1648684771560604198,56,idle64_r4_wordcount_memory,112823,350000,1395,9751,1395
101,1648684771568829563,56,idle64_r4_wordcount_memory,112823,350000,1395,9751,1395
102,1648684771576541551,56,idle64_r4_wordcount_memory,112823,350000,1395,9751,1395
103,1648684771584002445,56,idle64_r4_wordcount_memory,113003,350000,1395,9751,1395
104,1648684771593463763,56,idle64_r4_wordcount_memory,113003,350000,1395,9751,1395
105,1648684771601039935,56,idle64_r4_wordcount_memory,113003,350000,1395,9751,1395
106,1648684771608561792,56,idle64_r4_wordcount_memory,113003,350000,1395,9751,1395
107,1648684771616169598,56,idle64_r4_wordcount_memory,113003,350000,1395,9751,1395
108,1648684771623783151,56,idle64_r4_wordcount_memory,113003,350000,1395,9751,1395
109,1648684771631264627,56,idle64_r4_wordcount_memory,113003,350000,1395,9751,1395
110,1648684771638996619,56,idle64_r4_wordcount_memory,113003,350000,1395,9751,1395
111,1648684771646451821,56,idle64_r4_wordcount_memory,113003,350000,1395,9751,1395
112,1648684771653885286,56,idle64_r4_wordcount_memory,113003,350000,1395,9751,1395
113,1648684771661586575,56,idle64_r4_wordcount_memory,113003,350000,1395,9751,1395
114,1648684771669089419,56,idle64_r4_wordcount_memory,113003,350000,1395,9751,1395
115,1648684771677519829,56,idle64_r4_wordcount_memory,113003,350000,1395,9751,1395
116,1648684771685158399,56,idle64_r4_wordcount_memory,113003,350000,1395,9751,1395
