timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1648256289384231352,39,idle128_r1_wordcount_memory,32933,350000,210,405,210
1,1648256289393093455,39,idle128_r1_wordcount_memory,32933,350000,210,405,210
2,1648256289401354912,39,idle128_r1_wordcount_memory,32933,350000,210,405,210
3,1648256289409960787,39,idle128_r1_wordcount_memory,32901,350000,210,405,210
4,1648256289418292964,39,idle128_r1_wordcount_memory,32901,350000,210,405,210
5,1648256289426612214,39,idle128_r1_wordcount_memory,32901,350000,210,405,210
6,1648256289434839948,39,idle128_r1_wordcount_memory,32901,350000,210,405,210
7,1648256289443107986,39,idle128_r1_wordcount_memory,32901,350000,210,405,210
8,1648256289451368323,39,idle128_r1_wordcount_memory,32901,350000,210,405,210
9,1648256289459577996,39,idle128_r1_wordcount_memory,32901,350000,210,405,210
10,1648256289467910699,39,idle128_r1_wordcount_memory,32901,350000,210,405,210
11,1648256289476124160,39,idle128_r1_wordcount_memory,32901,350000,210,405,210
12,1648256289484457172,39,idle128_r1_wordcount_memory,32901,350000,210,405,210
13,1648256289492682877,39,idle128_r1_wordcount_memory,32901,350000,210,405,210
14,1648256289500902064,39,idle128_r1_wordcount_memory,32901,350000,210,405,210
15,1648256289509146387,39,idle128_r1_wordcount_memory,32901,350000,210,405,210
16,1648256289517809796,39,idle128_r1_wordcount_memory,32796,350000,210,405,210
17,1648256289526811156,39,idle128_r1_wordcount_memory,32796,350000,210,405,210
18,1648256289535060405,39,idle128_r1_wordcount_memory,32796,350000,210,405,210
19,1648256289543301182,39,idle128_r1_wordcount_memory,32796,350000,210,405,210
20,1648256289551547682,39,idle128_r1_wordcount_memory,32796,350000,210,405,210
21,1648256289559747897,39,idle128_r1_wordcount_memory,32796,350000,210,405,210
22,1648256289567992003,39,idle128_r1_wordcount_memory,32796,350000,210,405,210
23,1648256289576270492,39,idle128_r1_wordcount_memory,32796,350000,210,405,210
24,1648256289584575760,39,idle128_r1_wordcount_memory,32796,350000,210,405,210
25,1648256289592822916,39,idle128_r1_wordcount_memory,32796,350000,210,405,210
26,1648256289601058113,39,idle128_r1_wordcount_memory,32796,350000,210,405,210
27,1648256289609257352,39,idle128_r1_wordcount_memory,32796,350000,210,405,210
28,1648256289617448527,39,idle128_r1_wordcount_memory,32796,350000,210,405,210
29,1648256289625965136,39,idle128_r1_wordcount_memory,32704,350000,210,405,210
30,1648256289634337178,39,idle128_r1_wordcount_memory,32704,350000,210,405,210
31,1648256289642694811,39,idle128_r1_wordcount_memory,32704,350000,210,405,210
32,1648256289650905524,39,idle128_r1_wordcount_memory,32704,350000,210,405,210
33,1648256289659127843,39,idle128_r1_wordcount_memory,32704,350000,210,405,210
34,1648256289667364059,39,idle128_r1_wordcount_memory,32704,350000,210,405,210
35,1648256289675595990,39,idle128_r1_wordcount_memory,32704,350000,210,405,210
36,1648256289683912747,39,idle128_r1_wordcount_memory,32704,350000,210,405,210
37,1648256289692193845,39,idle128_r1_wordcount_memory,32704,350000,210,405,210
38,1648256289700531555,39,idle128_r1_wordcount_memory,32704,350000,210,405,210
39,1648256289708746745,39,idle128_r1_wordcount_memory,32704,350000,210,405,210
40,1648256289716931265,39,idle128_r1_wordcount_memory,32704,350000,210,405,210
41,1648256289725128434,39,idle128_r1_wordcount_memory,32704,350000,210,405,210
42,1648256289733389887,39,idle128_r1_wordcount_memory,32611,350000,210,405,210
43,1648256289741713672,39,idle128_r1_wordcount_memory,32611,350000,210,405,210
44,1648256289749978085,39,idle128_r1_wordcount_memory,32611,350000,210,405,210
45,1648256289758138908,39,idle128_r1_wordcount_memory,32611,350000,210,405,210
46,1648256289766472407,39,idle128_r1_wordcount_memory,32611,350000,210,405,210
47,1648256289774671658,39,idle128_r1_wordcount_memory,32611,350000,210,405,210
48,1648256289782878244,39,idle128_r1_wordcount_memory,32611,350000,210,405,210
49,1648256289791220142,39,idle128_r1_wordcount_memory,32611,350000,210,405,210
50,1648256289799421552,39,idle128_r1_wordcount_memory,32611,350000,210,405,210
51,1648256289807651671,39,idle128_r1_wordcount_memory,32611,350000,210,405,210
52,1648256289815885285,39,idle128_r1_wordcount_memory,32611,350000,210,405,210
