timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1643141254877285603,37, global-stride, 37718, 350000,1695,9501,1695
1, 1643141254880094971,37, global-stride, 37718, 350000,1695,9501,1695
2, 1643141254882371891,37, global-stride, 37718, 350000,1695,9501,1695
3, 1643141254884603589,37, global-stride, 37718, 350000,1695,9501,1695
4, 1643141254886755051,37, global-stride, 37718, 350000,1695,9501,1695
5, 1643141254891810941,37, global-stride, 37718, 350000,1695,9501,1695
6, 1643141254895389952,37, global-stride, 37718, 350000,1695,9501,1695
7, 1643141254899863204,37, global-stride, 37718, 350000,1695,9501,1695
8, 1643141254904104985,37, global-stride, 37718, 350000,1695,9501,1695
9, 1643141254906276272,37, global-stride, 37718, 350000,1695,9501,1695
10, 1643141254908403224,37, global-stride, 37718, 350000,1695,9501,1695
11, 1643141254910495095,37, global-stride, 37718, 350000,1695,9501,1695
12, 1643141254912644811,37, global-stride, 37718, 350000,1695,9501,1695
13, 1643141254915625017,37, global-stride, 37718, 350000,1695,9501,1695
14, 1643141254919681242,37, global-stride, 37718, 350000,1695,9501,1695
15, 1643141254923918307,37, global-stride, 37718, 350000,1695,9501,1695
16, 1643141254926073410,37, global-stride, 37718, 350000,1695,9501,1695
17, 1643141254928222572,37, global-stride, 37718, 350000,1695,9501,1695
18, 1643141254930358707,37, global-stride, 37718, 350000,1695,9501,1695
19, 1643141254932783443,37, global-stride, 37718, 350000,1695,9501,1695
20, 1643141254935631311,37, global-stride, 51091, 350000,1695,9501,1695
21, 1643141254939604578,37, global-stride, 51091, 350000,1695,9501,1695
22, 1643141254950948171,37, global-stride, 51091, 350000,1695,9501,1695
23, 1643141254953089919,37, global-stride, 51091, 350000,1695,9501,1695
24, 1643141254955216457,37, global-stride, 51091, 350000,1695,9501,1695
25, 1643141254957969205,37, global-stride, 51091, 350000,1695,9501,1695
26, 1643141254961882687,37, global-stride, 51091, 350000,1695,9501,1695
27, 1643141254965905668,37, global-stride, 51091, 350000,1695,9501,1695
28, 1643141254968551558,37, global-stride, 51091, 350000,1695,9501,1695
29, 1643141254970705720,37, global-stride, 51091, 350000,1695,9501,1695
30, 1643141254972851040,37, global-stride, 51091, 350000,1695,9501,1695
31, 1643141254974984180,37, global-stride, 51091, 350000,1695,9501,1695
32, 1643141254977130620,37, global-stride, 51091, 350000,1695,9501,1695
33, 1643141254980445786,37, global-stride, 51091, 350000,1695,9501,1695
34, 1643141254984437097,37, global-stride, 51091, 350000,1695,9501,1695
35, 1643141254987922519,37, global-stride, 51091, 350000,1695,9501,1695
36, 1643141254990178125,37, global-stride, 51091, 350000,1695,9501,1695
37, 1643141254992327629,37, global-stride, 51091, 350000,1695,9501,1695
38, 1643141254994487007,37, global-stride, 51091, 350000,1695,9501,1695
39, 1643141254996870704,37, global-stride, 51091, 350000,1695,9501,1695
40, 1643141254999020768,37, global-stride, 51091, 350000,1695,9501,1695
41, 1643141255002618893,37, global-stride, 51091, 350000,1695,9501,1695
42, 1643141255006623649,37, global-stride, 51091, 350000,1695,9501,1695
43, 1643141255010771978,37, global-stride, 51091, 350000,1695,9501,1695
44, 1643141255012928589,37, global-stride, 51091, 350000,1695,9501,1695
45, 1643141255015050092,37, global-stride, 51091, 350000,1695,9501,1695
46, 1643141255017194947,37, global-stride, 51091, 350000,1695,9501,1695
47, 1643141255019324222,37, global-stride, 51091, 350000,1695,9501,1695
48, 1643141255021796267,37, global-stride, 51091, 350000,1695,9501,1695
49, 1643141255025946197,37, global-stride, 51091, 350000,1695,9501,1695
