timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1643140869489831199,39, simpleCUBLAS, 109373, 350000,1695,9501,1695
1, 1643140869492771027,39, simpleCUBLAS, 109373, 350000,1695,9501,1695
2, 1643140869494998017,39, simpleCUBLAS, 109373, 350000,1695,9501,1695
3, 1643140869497355633,39, simpleCUBLAS, 109373, 350000,1695,9501,1695
4, 1643140869500693801,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
5, 1643140869504800134,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
6, 1643140869512619050,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
7, 1643140869514840337,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
8, 1643140869517074698,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
9, 1643140869519275391,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
10, 1643140869522004858,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
11, 1643140869526129981,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
12, 1643140869530229074,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
13, 1643140869532632514,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
14, 1643140869534822557,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
15, 1643140869537041570,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
16, 1643140869539239523,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
17, 1643140869541455426,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
18, 1643140869544946067,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
19, 1643140869548998650,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
20, 1643140869552472570,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
21, 1643140869554867218,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
22, 1643140869557083667,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
23, 1643140869559487234,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
24, 1643140869561678798,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
25, 1643140869564006591,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
26, 1643140869568197923,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
27, 1643140869572366374,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
28, 1643140869575347683,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
29, 1643140869577555754,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
30, 1643140869579753964,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
31, 1643140869581945882,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
32, 1643140869584138227,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
33, 1643140869587416791,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
34, 1643140869591478187,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
35, 1643140869595575494,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
36, 1643140869597824026,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
37, 1643140869600032099,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
38, 1643140869602254056,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
39, 1643140869604621314,39, simpleCUBLAS, 108656, 350000,1695,9501,1695
40, 1643140869607664331,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
41, 1643140869611809611,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
42, 1643140869616171483,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
43, 1643140869618554220,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
44, 1643140869620761991,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
45, 1643140869622959839,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
46, 1643140869625143271,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
47, 1643140869627338267,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
48, 1643140869630788684,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
49, 1643140869634906116,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
50, 1643140869638690059,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
51, 1643140869640924431,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
52, 1643140869643135060,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
53, 1643140869645341723,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
54, 1643140869647555161,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
55, 1643140869650135669,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
56, 1643140869654378919,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
57, 1643140869658591347,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
58, 1643140869660979971,39, simpleCUBLAS, 109335, 350000,1695,9501,1695
