timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1643141296961994707,37, transpose, 39458, 350000,1695,9501,1695
1, 1643141296964654568,37, transpose, 39458, 350000,1695,9501,1695
2, 1643141296967027775,37, transpose, 39458, 350000,1695,9501,1695
3, 1643141296969860786,37, transpose, 45757, 350000,1695,9501,1695
4, 1643141296973952051,37, transpose, 45757, 350000,1695,9501,1695
5, 1643141296985320706,37, transpose, 45757, 350000,1695,9501,1695
6, 1643141296987526777,37, transpose, 45757, 350000,1695,9501,1695
7, 1643141296989694361,37, transpose, 45757, 350000,1695,9501,1695
8, 1643141296992377906,37, transpose, 45757, 350000,1695,9501,1695
9, 1643141296996425355,37, transpose, 45757, 350000,1695,9501,1695
10, 1643141297000425635,37, transpose, 45757, 350000,1695,9501,1695
11, 1643141297002896790,37, transpose, 45757, 350000,1695,9501,1695
12, 1643141297005076218,37, transpose, 45757, 350000,1695,9501,1695
13, 1643141297007253453,37, transpose, 45757, 350000,1695,9501,1695
14, 1643141297009430571,37, transpose, 45757, 350000,1695,9501,1695
15, 1643141297011598859,37, transpose, 45757, 350000,1695,9501,1695
16, 1643141297014478858,37, transpose, 45757, 350000,1695,9501,1695
17, 1643141297018550721,37, transpose, 45757, 350000,1695,9501,1695
18, 1643141297022542244,37, transpose, 45757, 350000,1695,9501,1695
19, 1643141297024778913,37, transpose, 45757, 350000,1695,9501,1695
20, 1643141297027049367,37, transpose, 45757, 350000,1695,9501,1695
21, 1643141297029218102,37, transpose, 45757, 350000,1695,9501,1695
22, 1643141297031649665,37, transpose, 45757, 350000,1695,9501,1695
23, 1643141297033806415,37, transpose, 45757, 350000,1695,9501,1695
24, 1643141297037667062,37, transpose, 45757, 350000,1695,9501,1695
25, 1643141297041676673,37, transpose, 45757, 350000,1695,9501,1695
26, 1643141297045739522,37, transpose, 45757, 350000,1695,9501,1695
27, 1643141297047924206,37, transpose, 45757, 350000,1695,9501,1695
28, 1643141297050100277,37, transpose, 45757, 350000,1695,9501,1695
29, 1643141297052272606,37, transpose, 45757, 350000,1695,9501,1695
30, 1643141297054446808,37, transpose, 45757, 350000,1695,9501,1695
31, 1643141297057245522,37, transpose, 45757, 350000,1695,9501,1695
32, 1643141297061420659,37, transpose, 45757, 350000,1695,9501,1695
33, 1643141297065653771,37, transpose, 45757, 350000,1695,9501,1695
34, 1643141297068299662,37, transpose, 45757, 350000,1695,9501,1695
35, 1643141297070485169,37, transpose, 45757, 350000,1695,9501,1695
36, 1643141297072644948,37, transpose, 45757, 350000,1695,9501,1695
37, 1643141297075072449,37, transpose, 45757, 350000,1695,9501,1695
38, 1643141297077838324,37, transpose, 51033, 350000,1695,9501,1695
39, 1643141297081880167,37, transpose, 51033, 350000,1695,9501,1695
40, 1643141297086224935,37, transpose, 51033, 350000,1695,9501,1695
41, 1643141297088902042,37, transpose, 51033, 350000,1695,9501,1695
42, 1643141297091067210,37, transpose, 51033, 350000,1695,9501,1695
43, 1643141297093237697,37, transpose, 51033, 350000,1695,9501,1695
44, 1643141297095405859,37, transpose, 51033, 350000,1695,9501,1695
45, 1643141297097574051,37, transpose, 51033, 350000,1695,9501,1695
46, 1643141297100989771,37, transpose, 51033, 350000,1695,9501,1695
47, 1643141297104943431,37, transpose, 51033, 350000,1695,9501,1695
48, 1643141297108995808,37, transpose, 51033, 350000,1695,9501,1695
49, 1643141297111210049,37, transpose, 51033, 350000,1695,9501,1695
50, 1643141297113381011,37, transpose, 51033, 350000,1695,9501,1695
51, 1643141297115663012,37, transpose, 51033, 350000,1695,9501,1695
52, 1643141297117858028,37, transpose, 51033, 350000,1695,9501,1695
53, 1643141297120116071,37, transpose, 51033, 350000,1695,9501,1695
54, 1643141297124037771,37, transpose, 51033, 350000,1695,9501,1695
