timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1643142785288944668,36, word_count, 43688, 350000,1695,9501,1695
1, 1643142785293903224,36, word_count, 43688, 350000,1695,9501,1695
2, 1643142785296522972,36, word_count, 43688, 350000,1695,9501,1695
3, 1643142785298976307,36, word_count, 43688, 350000,1695,9501,1695
4, 1643142785301391499,36, word_count, 43688, 350000,1695,9501,1695
5, 1643142785303845733,36, word_count, 43688, 350000,1695,9501,1695
6, 1643142785306658362,36, word_count, 43688, 350000,1695,9501,1695
7, 1643142785309006713,36, word_count, 43688, 350000,1695,9501,1695
8, 1643142785312941257,36, word_count, 43688, 350000,1695,9501,1695
9, 1643142785317316378,36, word_count, 43688, 350000,1695,9501,1695
10, 1643142785320536040,36, word_count, 43688, 350000,1695,9501,1695
11, 1643142785322881545,36, word_count, 43688, 350000,1695,9501,1695
12, 1643142785325213582,36, word_count, 43688, 350000,1695,9501,1695
13, 1643142785327792421,36, word_count, 43688, 350000,1695,9501,1695
14, 1643142785330844148,36, word_count, 48368, 350000,1695,9501,1695
15, 1643142785335166860,36, word_count, 48368, 350000,1695,9501,1695
16, 1643142785343485405,36, word_count, 48368, 350000,1695,9501,1695
17, 1643142785345823987,36, word_count, 48368, 350000,1695,9501,1695
18, 1643142785348160258,36, word_count, 48368, 350000,1695,9501,1695
19, 1643142785350510214,36, word_count, 48368, 350000,1695,9501,1695
20, 1643142785353250338,36, word_count, 48368, 350000,1695,9501,1695
21, 1643142785357588772,36, word_count, 48368, 350000,1695,9501,1695
22, 1643142785361961613,36, word_count, 48368, 350000,1695,9501,1695
23, 1643142785364518401,36, word_count, 48368, 350000,1695,9501,1695
24, 1643142785366855356,37, word_count, 48368, 350000,1695,9501,1695
25, 1643142785369188887,37, word_count, 48368, 350000,1695,9501,1695
26, 1643142785371507405,37, word_count, 48368, 350000,1695,9501,1695
27, 1643142785373849936,37, word_count, 48368, 350000,1695,9501,1695
28, 1643142785377965635,37, word_count, 48368, 350000,1695,9501,1695
29, 1643142785382938585,37, word_count, 48368, 350000,1695,9501,1695
30, 1643142785385372268,37, word_count, 48368, 350000,1695,9501,1695
31, 1643142785387796210,37, word_count, 48368, 350000,1695,9501,1695
32, 1643142785390136609,37, word_count, 48368, 350000,1695,9501,1695
33, 1643142785395402096,36, word_count, 48368, 350000,1695,9501,1695
34, 1643142785399416543,36, word_count, 48368, 350000,1695,9501,1695
35, 1643142785403584526,36, word_count, 48368, 350000,1695,9501,1695
36, 1643142785406582218,36, word_count, 48368, 350000,1695,9501,1695
37, 1643142785409116533,36, word_count, 48368, 350000,1695,9501,1695
38, 1643142785411435283,36, word_count, 48368, 350000,1695,9501,1695
39, 1643142785413763264,36, word_count, 48368, 350000,1695,9501,1695
40, 1643142785416111539,36, word_count, 48368, 350000,1695,9501,1695
41, 1643142785419831223,36, word_count, 48368, 350000,1695,9501,1695
42, 1643142785424014454,36, word_count, 48368, 350000,1695,9501,1695
43, 1643142785427392581,36, word_count, 48368, 350000,1695,9501,1695
44, 1643142785429634871,36, word_count, 48368, 350000,1695,9501,1695
45, 1643142785431951255,36, word_count, 48368, 350000,1695,9501,1695
46, 1643142785434304943,36, word_count, 48368, 350000,1695,9501,1695
47, 1643142785436882048,36, word_count, 48368, 350000,1695,9501,1695
48, 1643142785439996724,36, word_count, 52638, 350000,1695,9501,1695
49, 1643142785444558606,36, word_count, 52638, 350000,1695,9501,1695
50, 1643142785448625290,36, word_count, 52638, 350000,1695,9501,1695
51, 1643142785450956912,36, word_count, 52638, 350000,1695,9501,1695
52, 1643142785453275569,36, word_count, 52638, 350000,1695,9501,1695
53, 1643142785455613286,37, word_count, 52638, 350000,1695,9501,1695
54, 1643142785457951278,37, word_count, 52638, 350000,1695,9501,1695
55, 1643142785460532119,37, word_count, 52638, 350000,1695,9501,1695
56, 1643142785464755156,37, word_count, 52638, 350000,1695,9501,1695
57, 1643142785469010533,37, word_count, 52638, 350000,1695,9501,1695
58, 1643142785471421359,37, word_count, 52638, 350000,1695,9501,1695
59, 1643142785473766605,37, word_count, 52638, 350000,1695,9501,1695
60, 1643142785476085756,37, word_count, 52638, 350000,1695,9501,1695
61, 1643142785478446151,37, word_count, 52638, 350000,1695,9501,1695
62, 1643142785480780840,37, word_count, 52638, 350000,1695,9501,1695
63, 1643142785484761822,37, word_count, 52638, 350000,1695,9501,1695
64, 1643142785490080753,37, word_count, 52638, 350000,1695,9501,1695
65, 1643142785492550816,37, word_count, 52638, 350000,1695,9501,1695
66, 1643142785494986831,37, word_count, 52638, 350000,1695,9501,1695
67, 1643142785497340591,37, word_count, 52638, 350000,1695,9501,1695
68, 1643142785502551213,37, word_count, 52638, 350000,1695,9501,1695
69, 1643142785506636694,37, word_count, 52638, 350000,1695,9501,1695
70, 1643142785510833807,37, word_count, 52638, 350000,1695,9501,1695
71, 1643142785514467071,37, word_count, 52638, 350000,1695,9501,1695
72, 1643142785516809229,37, word_count, 52638, 350000,1695,9501,1695
73, 1643142785519158466,37, word_count, 52638, 350000,1695,9501,1695
74, 1643142785521522844,37, word_count, 52638, 350000,1695,9501,1695
75, 1643142785523875323,37, word_count, 52638, 350000,1695,9501,1695
76, 1643142785527968163,37, word_count, 52638, 350000,1695,9501,1695
77, 1643142785532249102,37, word_count, 52638, 350000,1695,9501,1695
78, 1643142785535399994,37, word_count, 52638, 350000,1695,9501,1695
79, 1643142785537747444,37, word_count, 52638, 350000,1695,9501,1695
80, 1643142785540091075,37, word_count, 52638, 350000,1695,9501,1695
81, 1643142785542676810,37, word_count, 52638, 350000,1695,9501,1695
82, 1643142785545703141,37, word_count, 56442, 350000,1695,9501,1695
83, 1643142785549909002,37, word_count, 56442, 350000,1695,9501,1695
84, 1643142785555065636,37, word_count, 56442, 350000,1695,9501,1695
85, 1643142785558153711,37, word_count, 56442, 350000,1695,9501,1695
86, 1643142785560873472,37, word_count, 56442, 350000,1695,9501,1695
87, 1643142785563213719,37, word_count, 56442, 350000,1695,9501,1695
88, 1643142785565555506,37, word_count, 56442, 350000,1695,9501,1695
89, 1643142785568388450,37, word_count, 56442, 350000,1695,9501,1695
90, 1643142785572485584,37, word_count, 56442, 350000,1695,9501,1695
91, 1643142785576704462,37, word_count, 56442, 350000,1695,9501,1695
92, 1643142785579135608,37, word_count, 56442, 350000,1695,9501,1695
93, 1643142785581469922,37, word_count, 56442, 350000,1695,9501,1695
94, 1643142785583815249,37, word_count, 56442, 350000,1695,9501,1695
95, 1643142785586142280,37, word_count, 56442, 350000,1695,9501,1695
96, 1643142785588482465,37, word_count, 56442, 350000,1695,9501,1695
