timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1644179145021136065,36, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
1, 1644179145024645115,36, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
2, 1644179145027430823,36, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
3, 1644179145030213646,36, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
4, 1644179145032975550,36, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
5, 1644179145036445339,36, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
6, 1644179145041113653,36, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
7, 1644179145044428601,37, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
8, 1644179145047298621,37, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
9, 1644179145050033051,37, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
10, 1644179145052917756,37, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
11, 1644179145055614418,37, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
12, 1644179145060148738,37, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
13, 1644179145064666434,37, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
14, 1644179145067473636,37, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
15, 1644179145070176307,37, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
16, 1644179145072883945,37, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
17, 1644179145075565889,37, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
18, 1644179145078463124,37, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
19, 1644179145082899241,37, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
20, 1644179145086845909,37, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
21, 1644179145089563935,37, 1024 blocks 256 threads, 42437, 350000,1695,9501,1695
