timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1650157635007210398,56,t1024_b1024_coalescing_memory,111689,350000,1395,9751,1395
1,1650157635017250614,56,t1024_b1024_coalescing_memory,111689,350000,1395,9751,1395
2,1650157635024740621,56,t1024_b1024_coalescing_memory,111689,350000,1395,9751,1395
3,1650157635032105173,56,t1024_b1024_coalescing_memory,111689,350000,1395,9751,1395
4,1650157635041023248,56,t1024_b1024_coalescing_memory,111689,350000,1395,9751,1395
5,1650157635048549599,56,t1024_b1024_coalescing_memory,111689,350000,1395,9751,1395
6,1650157635055942508,56,t1024_b1024_coalescing_memory,111689,350000,1395,9751,1395
7,1650157635063435646,56,t1024_b1024_coalescing_memory,111689,350000,1395,9751,1395
8,1650157635070847211,56,t1024_b1024_coalescing_memory,111689,350000,1395,9751,1395
9,1650157635078319452,56,t1024_b1024_coalescing_memory,111689,350000,1395,9751,1395
10,1650157635085784735,56,t1024_b1024_coalescing_memory,111689,350000,1395,9751,1395
11,1650157635093107243,56,t1024_b1024_coalescing_memory,111689,350000,1395,9751,1395
12,1650157635101139458,56,t1024_b1024_coalescing_memory,111774,350000,1395,9751,1395
13,1650157635108609335,56,t1024_b1024_coalescing_memory,111774,350000,1395,9751,1395
14,1650157635115965549,56,t1024_b1024_coalescing_memory,111774,350000,1395,9751,1395
15,1650157635125511031,56,t1024_b1024_coalescing_memory,111774,350000,1395,9751,1395
16,1650157635132969785,56,t1024_b1024_coalescing_memory,111774,350000,1395,9751,1395
17,1650157635140300749,56,t1024_b1024_coalescing_memory,111774,350000,1395,9751,1395
18,1650157635149151749,56,t1024_b1024_coalescing_memory,111774,350000,1395,9751,1395
19,1650157635156672947,56,t1024_b1024_coalescing_memory,111774,350000,1395,9751,1395
20,1650157635164037857,56,t1024_b1024_coalescing_memory,111774,350000,1395,9751,1395
21,1650157635171480868,56,t1024_b1024_coalescing_memory,111774,350000,1395,9751,1395
22,1650157635178891424,56,t1024_b1024_coalescing_memory,111774,350000,1395,9751,1395
23,1650157635186244545,56,t1024_b1024_coalescing_memory,111774,350000,1395,9751,1395
24,1650157635193768882,56,t1024_b1024_coalescing_memory,111774,350000,1395,9751,1395
25,1650157635201079591,56,t1024_b1024_coalescing_memory,111774,350000,1395,9751,1395
26,1650157635209084394,56,t1024_b1024_coalescing_memory,111881,350000,1395,9751,1395
27,1650157635216550765,56,t1024_b1024_coalescing_memory,111881,350000,1395,9751,1395
28,1650157635223937304,56,t1024_b1024_coalescing_memory,111881,350000,1395,9751,1395
29,1650157635233387064,56,t1024_b1024_coalescing_memory,111881,350000,1395,9751,1395
30,1650157635240875818,56,t1024_b1024_coalescing_memory,111881,350000,1395,9751,1395
31,1650157635248248914,56,t1024_b1024_coalescing_memory,111881,350000,1395,9751,1395
32,1650157635257114470,56,t1024_b1024_coalescing_memory,111881,350000,1395,9751,1395
33,1650157635264620591,56,t1024_b1024_coalescing_memory,111881,350000,1395,9751,1395
34,1650157635272024554,56,t1024_b1024_coalescing_memory,111881,350000,1395,9751,1395
35,1650157635279445746,56,t1024_b1024_coalescing_memory,111881,350000,1395,9751,1395
36,1650157635286904740,56,t1024_b1024_coalescing_memory,111881,350000,1395,9751,1395
37,1650157635294229000,56,t1024_b1024_coalescing_memory,111881,350000,1395,9751,1395
38,1650157635301688640,56,t1024_b1024_coalescing_memory,111881,350000,1395,9751,1395
39,1650157635309070822,56,t1024_b1024_coalescing_memory,111881,350000,1395,9751,1395
40,1650157635317271960,56,t1024_b1024_coalescing_memory,111985,350000,1395,9751,1395
41,1650157635324779119,56,t1024_b1024_coalescing_memory,111985,350000,1395,9751,1395
42,1650157635332154551,56,t1024_b1024_coalescing_memory,111985,350000,1395,9751,1395
43,1650157635341495872,56,t1024_b1024_coalescing_memory,111985,350000,1395,9751,1395
44,1650157635348982932,56,t1024_b1024_coalescing_memory,111985,350000,1395,9751,1395
45,1650157635356324986,56,t1024_b1024_coalescing_memory,111985,350000,1395,9751,1395
46,1650157635365594426,56,t1024_b1024_coalescing_memory,111985,350000,1395,9751,1395
47,1650157635373063916,56,t1024_b1024_coalescing_memory,111985,350000,1395,9751,1395
48,1650157635380448435,56,t1024_b1024_coalescing_memory,111985,350000,1395,9751,1395
49,1650157635387996756,56,t1024_b1024_coalescing_memory,111985,350000,1395,9751,1395
50,1650157635395353024,56,t1024_b1024_coalescing_memory,111985,350000,1395,9751,1395
51,1650157635402868723,56,t1024_b1024_coalescing_memory,111985,350000,1395,9751,1395
52,1650157635410381921,56,t1024_b1024_coalescing_memory,111985,350000,1395,9751,1395
53,1650157635417713784,56,t1024_b1024_coalescing_memory,112082,350000,1395,9751,1395
54,1650157635426033030,56,t1024_b1024_coalescing_memory,112082,350000,1395,9751,1395
55,1650157635433588465,56,t1024_b1024_coalescing_memory,112082,350000,1395,9751,1395
56,1650157635441012246,56,t1024_b1024_coalescing_memory,112082,350000,1395,9751,1395
57,1650157635450608284,56,t1024_b1024_coalescing_memory,112082,350000,1395,9751,1395
58,1650157635458066750,56,t1024_b1024_coalescing_memory,112082,350000,1395,9751,1395
59,1650157635465420222,56,t1024_b1024_coalescing_memory,112082,350000,1395,9751,1395
60,1650157635473006735,56,t1024_b1024_coalescing_memory,112082,350000,1395,9751,1395
61,1650157635480449558,56,t1024_b1024_coalescing_memory,112082,350000,1395,9751,1395
62,1650157635487862877,56,t1024_b1024_coalescing_memory,112082,350000,1395,9751,1395
63,1650157635495342818,56,t1024_b1024_coalescing_memory,112082,350000,1395,9751,1395
64,1650157635502744270,56,t1024_b1024_coalescing_memory,112082,350000,1395,9751,1395
65,1650157635510093415,56,t1024_b1024_coalescing_memory,112082,350000,1395,9751,1395
66,1650157635517610713,56,t1024_b1024_coalescing_memory,112082,350000,1395,9751,1395
