timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1650143383874033796,56,t64_b200_matrixMul_compute,112092,350000,1395,9751,1395
1,1650143383884185711,56,t64_b200_matrixMul_compute,112092,350000,1395,9751,1395
2,1650143383892214294,56,t64_b200_matrixMul_compute,112092,350000,1395,9751,1395
3,1650143383900988692,56,t64_b200_matrixMul_compute,112127,350000,1395,9751,1395
4,1650143383909103658,56,t64_b200_matrixMul_compute,112127,350000,1395,9751,1395
5,1650143383917034884,56,t64_b200_matrixMul_compute,112127,350000,1395,9751,1395
6,1650143383931965688,56,t64_b200_matrixMul_compute,112127,350000,1395,9751,1395
7,1650143383939916380,56,t64_b200_matrixMul_compute,112127,350000,1395,9751,1395
8,1650143383948850078,56,t64_b200_matrixMul_compute,112127,350000,1395,9751,1395
9,1650143383956941770,56,t64_b200_matrixMul_compute,112127,350000,1395,9751,1395
10,1650143383965045066,56,t64_b200_matrixMul_compute,112127,350000,1395,9751,1395
11,1650143383973328684,56,t64_b200_matrixMul_compute,112127,350000,1395,9751,1395
12,1650143383981307434,56,t64_b200_matrixMul_compute,112127,350000,1395,9751,1395
13,1650143383991312638,56,t64_b200_matrixMul_compute,112127,350000,1395,9751,1395
14,1650143383999330171,56,t64_b200_matrixMul_compute,112127,350000,1395,9751,1395
15,1650143384007950023,56,t64_b200_matrixMul_compute,112265,350000,1395,9751,1395
16,1650143384016280949,56,t64_b200_matrixMul_compute,112265,350000,1395,9751,1395
17,1650143384024301652,56,t64_b200_matrixMul_compute,112265,350000,1395,9751,1395
18,1650143384034375338,56,t64_b200_matrixMul_compute,112265,350000,1395,9751,1395
19,1650143384042499966,56,t64_b200_matrixMul_compute,112265,350000,1395,9751,1395
20,1650143384050565780,56,t64_b200_matrixMul_compute,112265,350000,1395,9751,1395
21,1650143384058867471,56,t64_b200_matrixMul_compute,112265,350000,1395,9751,1395
22,1650143384066926254,56,t64_b200_matrixMul_compute,112265,350000,1395,9751,1395
23,1650143384076649643,56,t64_b200_matrixMul_compute,112265,350000,1395,9751,1395
24,1650143384084770928,56,t64_b200_matrixMul_compute,112265,350000,1395,9751,1395
