timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1643904579619955042,36, 16 Blocks 256 Threads, 56630, 350000,1695,9501,1695
1, 1643904579625298170,36, 16 Blocks 256 Threads, 56630, 350000,1695,9501,1695
2, 1643904579628109807,36, 16 Blocks 256 Threads, 56630, 350000,1695,9501,1695
3, 1643904579630763597,36, 16 Blocks 256 Threads, 56630, 350000,1695,9501,1695
4, 1643904579633415446,36, 16 Blocks 256 Threads, 56630, 350000,1695,9501,1695
5, 1643904579636060127,36, 16 Blocks 256 Threads, 56630, 350000,1695,9501,1695
6, 1643904579638871012,36, 16 Blocks 256 Threads, 56630, 350000,1695,9501,1695
7, 1643904579642102217,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
8, 1643904579646736584,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
9, 1643904579651020587,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
10, 1643904579653637535,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
11, 1643904579656240421,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
12, 1643904579658855344,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
13, 1643904579661468617,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
14, 1643904579665779394,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
15, 1643904579670262574,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
16, 1643904579673087014,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
17, 1643904579675778113,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
18, 1643904579678399195,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
19, 1643904579681011608,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
20, 1643904579683623573,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
21, 1643904579688014404,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
22, 1643904579724681504,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
23, 1643904579728357988,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
24, 1643904579732828123,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
25, 1643904579735941132,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
26, 1643904579738571587,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
27, 1643904579741170526,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
28, 1643904579743964703,36, 16 Blocks 256 Threads, 64481, 350000,1695,9501,1695
29, 1643904579747265353,36, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
30, 1643904579751692301,36, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
31, 1643904579763103277,36, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
32, 1643904579765745774,36, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
33, 1643904579768345477,36, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
34, 1643904579772859890,36, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
35, 1643904579777335626,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
36, 1643904579780315239,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
37, 1643904579782916315,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
38, 1643904579785525791,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
39, 1643904579788138135,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
40, 1643904579790931422,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
41, 1643904579795458947,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
42, 1643904579799620102,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
43, 1643904579802317115,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
44, 1643904579804923768,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
45, 1643904579807737002,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
46, 1643904579810354548,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
47, 1643904579813993769,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
48, 1643904579818513219,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
49, 1643904579821529360,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
50, 1643904579824135063,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
51, 1643904579826752713,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
52, 1643904579829334407,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
53, 1643904579831922951,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
54, 1643904579835593745,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
55, 1643904579840101783,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
56, 1643904579843100492,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
57, 1643904579845702301,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
58, 1643904579848294071,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
59, 1643904579851035355,37, 16 Blocks 256 Threads, 72829, 350000,1695,9501,1695
60, 1643904579853989910,37, 16 Blocks 256 Threads, 81137, 350000,1695,9501,1695
61, 1643904579858383611,37, 16 Blocks 256 Threads, 81137, 350000,1695,9501,1695
62, 1643904579863222463,37, 16 Blocks 256 Threads, 81137, 350000,1695,9501,1695
63, 1643904579865973636,37, 16 Blocks 256 Threads, 81137, 350000,1695,9501,1695
64, 1643904579868569145,37, 16 Blocks 256 Threads, 81137, 350000,1695,9501,1695
65, 1643904579871172675,37, 16 Blocks 256 Threads, 81137, 350000,1695,9501,1695
66, 1643904579873781271,37, 16 Blocks 256 Threads, 81137, 350000,1695,9501,1695
67, 1643904579876604655,37, 16 Blocks 256 Threads, 81137, 350000,1695,9501,1695
