timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1650153059496437823,56,t256_b32_simpleCUFFT_hybrid,111265,350000,1395,9751,1395
1,1650153059505017385,56,t256_b32_simpleCUFFT_hybrid,111265,350000,1395,9751,1395
2,1650153059513144718,56,t256_b32_simpleCUFFT_hybrid,111304,350000,1395,9751,1395
3,1650153059521465805,56,t256_b32_simpleCUFFT_hybrid,111304,350000,1395,9751,1395
4,1650153059529484152,56,t256_b32_simpleCUFFT_hybrid,111304,350000,1395,9751,1395
5,1650153059538293323,56,t256_b32_simpleCUFFT_hybrid,111304,350000,1395,9751,1395
6,1650153059546495549,56,t256_b32_simpleCUFFT_hybrid,111304,350000,1395,9751,1395
7,1650153059554477766,56,t256_b32_simpleCUFFT_hybrid,111304,350000,1395,9751,1395
8,1650153059564420971,56,t256_b32_simpleCUFFT_hybrid,111304,350000,1395,9751,1395
9,1650153059572483815,56,t256_b32_simpleCUFFT_hybrid,111304,350000,1395,9751,1395
10,1650153059581132431,56,t256_b32_simpleCUFFT_hybrid,111304,350000,1395,9751,1395
11,1650153059589342561,56,t256_b32_simpleCUFFT_hybrid,111304,350000,1395,9751,1395
12,1650153059597380194,56,t256_b32_simpleCUFFT_hybrid,111304,350000,1395,9751,1395
13,1650153059607311624,56,t256_b32_simpleCUFFT_hybrid,111304,350000,1395,9751,1395
14,1650153059615409456,56,t256_b32_simpleCUFFT_hybrid,111304,350000,1395,9751,1395
15,1650153059624466110,56,t256_b32_simpleCUFFT_hybrid,111406,350000,1395,9751,1395
16,1650153059632533850,56,t256_b32_simpleCUFFT_hybrid,111406,350000,1395,9751,1395
17,1650153059640498716,56,t256_b32_simpleCUFFT_hybrid,111406,350000,1395,9751,1395
18,1650153059650859287,56,t256_b32_simpleCUFFT_hybrid,111406,350000,1395,9751,1395
19,1650153059658943665,56,t256_b32_simpleCUFFT_hybrid,111406,350000,1395,9751,1395
20,1650153059667503915,56,t256_b32_simpleCUFFT_hybrid,111406,350000,1395,9751,1395
21,1650153059675671926,56,t256_b32_simpleCUFFT_hybrid,111406,350000,1395,9751,1395
22,1650153059683649134,56,t256_b32_simpleCUFFT_hybrid,111406,350000,1395,9751,1395
23,1650153059693467212,56,t256_b32_simpleCUFFT_hybrid,111406,350000,1395,9751,1395
24,1650153059701560362,56,t256_b32_simpleCUFFT_hybrid,111406,350000,1395,9751,1395
25,1650153059709549715,56,t256_b32_simpleCUFFT_hybrid,111406,350000,1395,9751,1395
26,1650153059717697432,56,t256_b32_simpleCUFFT_hybrid,111406,350000,1395,9751,1395
27,1650153059725723798,56,t256_b32_simpleCUFFT_hybrid,111507,350000,1395,9751,1395
28,1650153059735497460,56,t256_b32_simpleCUFFT_hybrid,111507,350000,1395,9751,1395
29,1650153059743609763,56,t256_b32_simpleCUFFT_hybrid,111507,350000,1395,9751,1395
30,1650153059751642130,56,t256_b32_simpleCUFFT_hybrid,111507,350000,1395,9751,1395
31,1650153059759727641,56,t256_b32_simpleCUFFT_hybrid,111507,350000,1395,9751,1395
32,1650153059767689128,56,t256_b32_simpleCUFFT_hybrid,111507,350000,1395,9751,1395
