timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1643899629125485756,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
1, 1643899629128739136,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
2, 1643899629131426244,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
3, 1643899629134115304,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
4, 1643899629136815399,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
5, 1643899629139803569,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
6, 1643899629144507034,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
7, 1643899629148434048,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
8, 1643899629151173765,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
9, 1643899629153852386,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
10, 1643899629157080120,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
11, 1643899629161778331,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
12, 1643899629166380554,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
13, 1643899629170529832,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
14, 1643899629173183700,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
15, 1643899629175828566,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
16, 1643899629178498415,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
17, 1643899629181155358,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
18, 1643899629185213863,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
19, 1643899629189743787,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
20, 1643899629192652166,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
21, 1643899629195287313,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
22, 1643899629197946110,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
23, 1643899629200853941,36, 16 Blocks 512 Threads, 58988, 350000,1695,9501,1695
24, 1643899629204033272,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
25, 1643899629208486177,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
26, 1643899629213155554,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
27, 1643899629215835220,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
28, 1643899629218496370,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
29, 1643899629221151506,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
30, 1643899629223811589,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
31, 1643899629227656722,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
32, 1643899629232174853,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
33, 1643899629235060315,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
34, 1643899629237696368,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
35, 1643899629240335844,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
36, 1643899629242980334,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
37, 1643899629245629119,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
38, 1643899629249622892,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
39, 1643899629255597850,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
40, 1643899629258464797,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
41, 1643899629261157206,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
42, 1643899629263820950,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
43, 1643899629266500620,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
44, 1643899629269750941,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
45, 1643899629274318325,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
46, 1643899629277868725,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
47, 1643899629280543940,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
48, 1643899629283193463,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
49, 1643899629285830830,36, 16 Blocks 512 Threads, 63473, 350000,1695,9501,1695
