timestep, timestamp, temperature_gpu, type, power_draw_mW, power_limit_mW, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
0, 1644180274598391053,36, transpose, 42519, 350000,1695,9501,1695
1, 1644180274601845476,36, transpose, 42519, 350000,1695,9501,1695
2, 1644180274606550317,36, transpose, 42519, 350000,1695,9501,1695
3, 1644180274611377109,36, transpose, 42519, 350000,1695,9501,1695
4, 1644180274614301644,36, transpose, 42519, 350000,1695,9501,1695
5, 1644180274617127048,36, transpose, 42519, 350000,1695,9501,1695
6, 1644180274619934362,36, transpose, 42519, 350000,1695,9501,1695
7, 1644180274622735863,36, transpose, 42519, 350000,1695,9501,1695
8, 1644180274627015493,37, transpose, 42519, 350000,1695,9501,1695
9, 1644180274663781526,38, transpose, 42519, 350000,1695,9501,1695
10, 1644180274669471586,38, transpose, 42519, 350000,1695,9501,1695
11, 1644180274674188397,38, transpose, 42519, 350000,1695,9501,1695
12, 1644180274677449946,38, transpose, 42519, 350000,1695,9501,1695
13, 1644180274680238992,38, transpose, 42519, 350000,1695,9501,1695
14, 1644180274683045494,38, transpose, 42519, 350000,1695,9501,1695
15, 1644180274686158064,38, transpose, 42519, 350000,1695,9501,1695
16, 1644180274690384314,38, transpose, 52797, 350000,1695,9501,1695
17, 1644180274699939071,38, transpose, 52797, 350000,1890,9501,1890
18, 1644180274707139586,38, transpose, 52797, 350000,1890,9501,1890
19, 1644180274710484734,38, transpose, 52797, 350000,1890,9501,1890
20, 1644180274715290542,38, transpose, 52797, 350000,1890,9501,1890
21, 1644180274720401670,39, transpose, 52797, 350000,1890,9501,1890
22, 1644180274723202611,39, transpose, 52797, 350000,1890,9501,1890
23, 1644180274725996721,39, transpose, 52797, 350000,1890,9501,1890
24, 1644180274728792497,39, transpose, 52797, 350000,1890,9501,1890
25, 1644180274732092061,39, transpose, 52797, 350000,1890,9501,1890
26, 1644180274736806166,39, transpose, 52797, 350000,1890,9501,1890
27, 1644180274741475916,39, transpose, 52797, 350000,1890,9501,1890
28, 1644180274744017439,39, transpose, 52797, 350000,1890,9501,1890
29, 1644180274746486315,39, transpose, 52797, 350000,1890,9501,1890
30, 1644180274751936470,39, transpose, 52797, 350000,1890,9501,1890
31, 1644180274756148127,39, transpose, 52797, 350000,1890,9501,1890
32, 1644180274760403551,39, transpose, 52797, 350000,1890,9501,1890
33, 1644180274765031014,39, transpose, 52797, 350000,1890,9501,1890
34, 1644180274767490486,39, transpose, 52797, 350000,1890,9501,1890
35, 1644180274769945108,39, transpose, 52797, 350000,1890,9501,1890
36, 1644180274772400579,39, transpose, 52797, 350000,1890,9501,1890
37, 1644180274775383589,38, transpose, 52797, 350000,1890,9501,1890
38, 1644180274779768089,38, transpose, 52797, 350000,1890,9501,1890
39, 1644180274785634129,38, transpose, 52797, 350000,1890,9501,1890
40, 1644180274788159930,38, transpose, 52797, 350000,1890,9501,1890
41, 1644180274790615656,38, transpose, 52797, 350000,1890,9501,1890
42, 1644180274793330112,38, transpose, 52797, 350000,1890,9501,1890
43, 1644180274796626353,38, transpose, 60845, 350000,1890,9501,1890
44, 1644180274800994934,38, transpose, 60845, 350000,1890,9501,1890
