timestep,timestamp,temperature_gpu,type,power_draw_mW,power_limit_mW,g_clock_freq_mhz,mem_clock_freq_mhz,sm_clock_freq_mhz
0,1650907525540310997,56,t128_b4096_transpose_memory,112180,350000,1395,9751,1395
1,1650907525549587533,56,t128_b4096_transpose_memory,112180,350000,1395,9751,1395
2,1650907525556975445,56,t128_b4096_transpose_memory,112201,350000,1395,9751,1395
3,1650907525564317748,56,t128_b4096_transpose_memory,112201,350000,1395,9751,1395
4,1650907525571496200,56,t128_b4096_transpose_memory,112201,350000,1395,9751,1395
5,1650907525578936489,56,t128_b4096_transpose_memory,112201,350000,1395,9751,1395
6,1650907525589849672,56,t128_b4096_transpose_memory,112201,350000,1395,9751,1395
7,1650907525597005283,56,t128_b4096_transpose_memory,112201,350000,1395,9751,1395
8,1650907525606002789,56,t128_b4096_transpose_memory,112201,350000,1395,9751,1395
9,1650907525613321430,56,t128_b4096_transpose_memory,112201,350000,1395,9751,1395
10,1650907525620491121,56,t128_b4096_transpose_memory,112201,350000,1395,9751,1395
11,1650907525629553219,56,t128_b4096_transpose_memory,112201,350000,1395,9751,1395
12,1650907525636821616,56,t128_b4096_transpose_memory,112201,350000,1395,9751,1395
13,1650907525644070577,56,t128_b4096_transpose_memory,112201,350000,1395,9751,1395
14,1650907525651460888,56,t128_b4096_transpose_memory,112201,350000,1395,9751,1395
15,1650907525658591889,56,t128_b4096_transpose_memory,112201,350000,1395,9751,1395
16,1650907525666083183,56,t128_b4096_transpose_memory,112395,350000,1395,9751,1395
17,1650907525673530246,56,t128_b4096_transpose_memory,112395,350000,1395,9751,1395
18,1650907525680790159,56,t128_b4096_transpose_memory,112395,350000,1395,9751,1395
19,1650907525688019334,56,t128_b4096_transpose_memory,112395,350000,1395,9751,1395
20,1650907525698221856,56,t128_b4096_transpose_memory,112395,350000,1395,9751,1395
21,1650907525705479872,56,t128_b4096_transpose_memory,112395,350000,1395,9751,1395
22,1650907525714673926,56,t128_b4096_transpose_memory,112395,350000,1395,9751,1395
